; Candidate 14499
; ADRP+ADD at VM 0xfffffff0097fcaa0 (fileoff 0x27f8aa0): page=0x1fddb8000 add_imm=0xdc2

0xfffffff0097fca20: 05008052  mov	w5, #0
0xfffffff0097fca24: 070080d2  mov	x7, #0
0xfffffff0097fca28: f10309aa  mov	x17, x9
0xfffffff0097fca2c: 91fbe2f2  movk	x17, #0x17dc, lsl #48
0xfffffff0097fca30: 11093fd7  blraa	x8, x17
0xfffffff0097fca34: e0030035  cbnz	w0, #0xfffffff0097fcab0
0xfffffff0097fca38: 9c070071  subs	w28, w28, #1
0xfffffff0097fca3c: 21fdff54  b.ne	#0xfffffff0097fc9e0
0xfffffff0097fca40: e0c30091  add	x0, sp, #0x30
0xfffffff0097fca44: 2cdaa797  bl	#0xfffffff0081f32f4
0xfffffff0097fca48: e0c30091  add	x0, sp, #0x30
0xfffffff0097fca4c: e1030191  add	x1, sp, #0x40
0xfffffff0097fca50: d4daa797  bl	#0xfffffff0081f35a0
0xfffffff0097fca54: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0097fca58: e93b80b9  ldrsw	x9, [sp, #0x38]
0xfffffff0097fca5c: 0a488852  mov	w10, #0x4240
0xfffffff0097fca60: ea01a072  movk	w10, #0xf, lsl #16
0xfffffff0097fca64: 08250a9b  madd	x8, x8, x10, x9
0xfffffff0097fca68: 69298bd2  mov	x9, #0x594b
0xfffffff0097fca6c: c910a7f2  movk	x9, #0x3886, lsl #16
0xfffffff0097fca70: c9bad8f2  movk	x9, #0xc5d6, lsl #32
0xfffffff0097fca74: a98de6f2  movk	x9, #0x346d, lsl #48
0xfffffff0097fca78: 087dc99b  umulh	x8, x8, x9
0xfffffff0097fca7c: 08fd4bd3  lsr	x8, x8, #0xb
0xfffffff0097fca80: f82300a9  stp	x24, x8, [sp]
0xfffffff0097fca84: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fca88: 009c3891  add	x0, x0, #0xe27
0xfffffff0097fca8c: b1cab197  bl	#0xfffffff00846f550
0xfffffff0097fca90: 7a7b1f53  lsl	w26, w27, #1
0xfffffff0097fca94: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff0097fca98: 5f03086b  cmp	w26, w8
0xfffffff0097fca9c: e80318aa  mov	x8, x24
0xfffffff0097fcaa0: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fcaa4: 00083791  add	x0, x0, #0xdc2
0xfffffff0097fcaa8: c9f8ff54  b.ls	#0xfffffff0097fc9c0
0xfffffff0097fcaac: abffff17  b	#0xfffffff0097fc958
0xfffffff0097fcab0: fa0300aa  mov	x26, x0
0xfffffff0097fcab4: f86b00a9  stp	x24, x26, [sp]
0xfffffff0097fcab8: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fcabc: 000c3891  add	x0, x0, #0xe03
0xfffffff0097fcac0: a4cab197  bl	#0xfffffff00846f550
0xfffffff0097fcac4: 69000014  b	#0xfffffff0097fcc68
0xfffffff0097fcac8: 08028052  mov	w8, #0x10
0xfffffff0097fcacc: 02000014  b	#0xfffffff0097fcad4
0xfffffff0097fcad0: 28410091  add	x8, x9, #0x10
0xfffffff0097fcad4: c90208cb  sub	x9, x22, x8
0xfffffff0097fcad8: caedfe90  adrp	x10, #0xfffffff0075b4000
0xfffffff0097fcadc: 4a553a91  add	x10, x10, #0xe95
0xfffffff0097fcae0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0097fcae4: ea0300f9  str	x10, [sp]
0xfffffff0097fcae8: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fcaec: 00783991  add	x0, x0, #0xe5e
0xfffffff0097fcaf0: 4c69ad97  bl	#0xfffffff008357020
0xfffffff0097fcaf4: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0097fcaf8: e0a30091  add	x0, sp, #0x28
0xfffffff0097fcafc: a5000094  bl	#0xfffffff0097fcd90
0xfffffff0097fcb00: e80300aa  mov	x8, x0
0xfffffff0097fcb04: f91740f9  ldr	x25, [sp, #0x28]
0xfffffff0097fcb08: 20430091  add	x0, x25, #0x10
0xfffffff0097fcb0c: e80f00f9  str	x8, [sp, #0x18]
0xfffffff0097fcb10: 178100d1  sub	x23, x8, #0x20
0xfffffff0097fcb14: 81168052  mov	w1, #0xb4
0xfffffff0097fcb18: e20317aa  mov	x2, x23
0xfffffff0097fcb1c: 29409597  bl	#0xfffffff007d4cbc0
