; Candidate 15215
; ADRP+ADD at VM 0xfffffff009b3f108 (fileoff 0x2b3b108): page=0x1fe19a000 add_imm=0xd78

0xfffffff009b3f088: 10222c91  add	x16, x16, #0xb08
0xfffffff009b3f08c: 10420091  add	x16, x16, #0x10
0xfffffff009b3f090: f10300aa  mov	x17, x0
0xfffffff009b3f094: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b3f098: 300ac1da  pacda	x16, x17
0xfffffff009b3f09c: 100000f9  str	x16, [x0]
0xfffffff009b3f0a0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b3f0a4: ff0f5fd6  retab	
0xfffffff009b3f0a8: 5f2403d5  bti	c
0xfffffff009b3f0ac: 48070014  b	#0xfffffff009b40dcc
0xfffffff009b3f0b0: 5f2403d5  bti	c
0xfffffff009b3f0b4: 46070014  b	#0xfffffff009b40dcc
0xfffffff009b3f0b8: 7f2303d5  pacibsp	
0xfffffff009b3f0bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009b3f0c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b3f0c4: fd430091  add	x29, sp, #0x10
0xfffffff009b3f0c8: f30300aa  mov	x19, x0
0xfffffff009b3f0cc: 40070094  bl	#0xfffffff009b40dcc
0xfffffff009b3f0d0: c00cffd0  adrp	x0, #0xfffffff007cd9000
0xfffffff009b3f0d4: 00e03591  add	x0, x0, #0xd78
0xfffffff009b3f0d8: e10313aa  mov	x1, x19
0xfffffff009b3f0dc: 028e8052  mov	w2, #0x470
0xfffffff009b3f0e0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009b3f0e4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009b3f0e8: ff2303d5  autibsp	
0xfffffff009b3f0ec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009b3f0f0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009b3f0f8
0xfffffff009b3f0f4: 208e38d4  brk	#0xc471
0xfffffff009b3f0f8: 69a19e17  b	#0xfffffff0082e769c
0xfffffff009b3f0fc: 5f2403d5  bti	c
0xfffffff009b3f100: e20301aa  mov	x2, x1
0xfffffff009b3f104: e10300aa  mov	x1, x0
0xfffffff009b3f108: c00cffd0  adrp	x0, #0xfffffff007cd9000
0xfffffff009b3f10c: 00e03591  add	x0, x0, #0xd78
0xfffffff009b3f110: 63a19e17  b	#0xfffffff0082e769c
0xfffffff009b3f114: 5f2403d5  bti	c
0xfffffff009b3f118: c04300d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b3f11c: 00e03b91  add	x0, x0, #0xef8
0xfffffff009b3f120: c0035fd6  ret	
0xfffffff009b3f124: 7f2303d5  pacibsp	
0xfffffff009b3f128: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b3f12c: fd030091  mov	x29, sp
0xfffffff009b3f130: 41d7fed0  adrp	x1, #0xfffffff007629000
0xfffffff009b3f134: 21e01491  add	x1, x1, #0x538
0xfffffff009b3f138: c24300d0  adrp	x2, #0xfffffff00a3b9000
0xfffffff009b3f13c: 42803c91  add	x2, x2, #0xf20
0xfffffff009b3f140: 038e8052  mov	w3, #0x470
0xfffffff009b3f144: 7d929e97  bl	#0xfffffff0082e3b38
0xfffffff009b3f148: d00cffd0  adrp	x16, #0xfffffff007cd9000
0xfffffff009b3f14c: 10620c91  add	x16, x16, #0x318
0xfffffff009b3f150: 10420091  add	x16, x16, #0x10
0xfffffff009b3f154: f10300aa  mov	x17, x0
0xfffffff009b3f158: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b3f15c: 300ac1da  pacda	x16, x17
0xfffffff009b3f160: 100000f9  str	x16, [x0]
0xfffffff009b3f164: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b3f168: ff0f5fd6  retab	
0xfffffff009b3f16c: 7f2303d5  pacibsp	
0xfffffff009b3f170: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009b3f174: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b3f178: fd430091  add	x29, sp, #0x10
0xfffffff009b3f17c: c00cffd0  adrp	x0, #0xfffffff007cd9000
0xfffffff009b3f180: 00e03591  add	x0, x0, #0xd78
0xfffffff009b3f184: 018e8052  mov	w1, #0x470
