; Candidate 13182
; ADRP+ADD at VM 0xfffffff009211c2c (fileoff 0x220dc2c): page=0x1fe29b000 add_imm=0xdb5

0xfffffff009211bac: f50300a9  stp	x21, x0, [sp]
0xfffffff009211bb0: c114fff0  adrp	x1, #0xfffffff0074ac000
0xfffffff009211bb4: 21203691  add	x1, x1, #0xd88
0xfffffff009211bb8: 00008052  mov	w0, #0
0xfffffff009211bbc: d1410094  bl	#0xfffffff009222300
0xfffffff009211bc0: 488800d0  adrp	x8, #0xfffffff00a31b000
0xfffffff009211bc4: 08353891  add	x8, x8, #0xe0d
0xfffffff009211bc8: 08014039  ldrb	w8, [x8]
0xfffffff009211bcc: 08410135  cbnz	w8, #0xfffffff0092143ec
0xfffffff009211bd0: 280340b9  ldr	w8, [x25]
0xfffffff009211bd4: 09050011  add	w9, w8, #1
0xfffffff009211bd8: 290300b9  str	w9, [x25]
0xfffffff009211bdc: 1f250071  cmp	w8, #9
0xfffffff009211be0: 68400154  b.hi	#0xfffffff0092143ec
0xfffffff009211be4: 700240f9  ldr	x16, [x19]
0xfffffff009211be8: f10313aa  mov	x17, x19
0xfffffff009211bec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009211bf0: 301ac1da  autda	x16, x17
0xfffffff009211bf4: 113d80d2  mov	x17, #0x1e8
0xfffffff009211bf8: 1002118b  add	x16, x16, x17
0xfffffff009211bfc: 080240f9  ldr	x8, [x16]
0xfffffff009211c00: e90310aa  mov	x9, x16
0xfffffff009211c04: e00313aa  mov	x0, x19
0xfffffff009211c08: 010080d2  mov	x1, #0
0xfffffff009211c0c: f10309aa  mov	x17, x9
0xfffffff009211c10: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009211c14: 11093fd7  blraa	x8, x17
0xfffffff009211c18: 08248052  mov	w8, #0x120
0xfffffff009211c1c: c914fff0  adrp	x9, #0xfffffff0074ac000
0xfffffff009211c20: 29453491  add	x9, x9, #0xd11
0xfffffff009211c24: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009211c28: e00300f9  str	x0, [sp]
0xfffffff009211c2c: c014fff0  adrp	x0, #0xfffffff0074ac000
0xfffffff009211c30: 00d43691  add	x0, x0, #0xdb5
0xfffffff009211c34: 40000014  b	#0xfffffff009211d34
0xfffffff009211c38: 68034039  ldrb	w8, [x27]
0xfffffff009211c3c: 28040034  cbz	w8, #0xfffffff009211cc0
0xfffffff009211c40: 48034039  ldrb	w8, [x26]
0xfffffff009211c44: e8030034  cbz	w8, #0xfffffff009211cc0
0xfffffff009211c48: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff009211c4c: a109b397  bl	#0xfffffff007ed42d0
0xfffffff009211c50: e1030191  add	x1, sp, #0x40
0xfffffff009211c54: fb0ab397  bl	#0xfffffff007ed4840
0xfffffff009211c58: f52340f9  ldr	x21, [sp, #0x40]
0xfffffff009211c5c: 700240f9  ldr	x16, [x19]
0xfffffff009211c60: f10313aa  mov	x17, x19
0xfffffff009211c64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009211c68: 301ac1da  autda	x16, x17
0xfffffff009211c6c: f10310aa  mov	x17, x16
0xfffffff009211c70: f147c1da  xpacd	x17
0xfffffff009211c74: 1f0211eb  cmp	x16, x17
0xfffffff009211c78: 40000054  b.eq	#0xfffffff009211c80
0xfffffff009211c7c: 408e38d4  brk	#0xc472
0xfffffff009211c80: 08a20791  add	x8, x16, #0x1e8
0xfffffff009211c84: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009211c88: e00313aa  mov	x0, x19
0xfffffff009211c8c: 010080d2  mov	x1, #0
0xfffffff009211c90: f10308aa  mov	x17, x8
0xfffffff009211c94: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009211c98: 31093fd7  blraa	x9, x17
0xfffffff009211c9c: c8248052  mov	w8, #0x126
0xfffffff009211ca0: c914fff0  adrp	x9, #0xfffffff0074ac000
0xfffffff009211ca4: 29453491  add	x9, x9, #0xd11
0xfffffff009211ca8: e92301a9  stp	x9, x8, [sp, #0x10]
