; Candidate 16449
; ADRP+ADD at VM 0xfffffff009eada3c (fileoff 0x2ea9a3c): page=0x1fd98e000 add_imm=0xe27

0xfffffff009ead9bc: eaa703a9  stp	x10, x9, [sp, #0x38]
0xfffffff009ead9c0: f64b00b9  str	w22, [sp, #0x48]
0xfffffff009ead9c4: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009ead9c8: 5f0108eb  cmp	x10, x8
0xfffffff009ead9cc: 417a0054  b.ne	#0xfffffff009eae914
0xfffffff009ead9d0: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009ead9d4: e82b00f9  str	x8, [sp, #0x50]
0xfffffff009ead9d8: 1a2140f9  ldr	x26, [x8, #0x40]
0xfffffff009ead9dc: e0e30291  add	x0, sp, #0xb8
0xfffffff009ead9e0: 01008052  mov	w1, #0
0xfffffff009ead9e4: 02038052  mov	w2, #0x18
0xfffffff009ead9e8: 767c7a97  bl	#0xfffffff007d4cbc0
0xfffffff009ead9ec: b60356f8  ldur	x22, [x29, #-0xa0]
0xfffffff009ead9f0: f66300f9  str	x22, [sp, #0xc0]
0xfffffff009ead9f4: c8208052  mov	w8, #0x106
0xfffffff009ead9f8: 0803a072  movk	w8, #0x18, lsl #16
0xfffffff009ead9fc: e8bb00b9  str	w8, [sp, #0xb8]
0xfffffff009eada00: 28008052  mov	w8, #1
0xfffffff009eada04: e8cb00b9  str	w8, [sp, #0xc8]
0xfffffff009eada08: e2e30291  add	x2, sp, #0xb8
0xfffffff009eada0c: e00313aa  mov	x0, x19
0xfffffff009eada10: 21008052  mov	w1, #1
0xfffffff009eada14: e30314aa  mov	x3, x20
0xfffffff009eada18: e3ee0094  bl	#0xfffffff009ee95a4
0xfffffff009eada1c: 60100034  cbz	w0, #0xfffffff009eadc28
0xfffffff009eada20: f70300aa  mov	x23, x0
0xfffffff009eada24: 080740f9  ldr	x8, [x24, #8]
0xfffffff009eada28: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009eada2c: 68ccfed0  adrp	x8, #0xfffffff00783b000
0xfffffff009eada30: 08f13591  add	x8, x8, #0xd7c
0xfffffff009eada34: 49fa8e52  mov	w9, #0x77d2
0xfffffff009eada38: e82700a9  stp	x8, x9, [sp]
0xfffffff009eada3c: 60ccfed0  adrp	x0, #0xfffffff00783b000
0xfffffff009eada40: 009c3891  add	x0, x0, #0xe27
0xfffffff009eada44: 87267c97  bl	#0xfffffff007db7460
0xfffffff009eada48: f62b40f9  ldr	x22, [sp, #0x50]
0xfffffff009eada4c: 68008052  mov	w8, #3
0xfffffff009eada50: e8e70239  strb	w8, [sp, #0xb9]
0xfffffff009eada54: e2e30291  add	x2, sp, #0xb8
0xfffffff009eada58: e00313aa  mov	x0, x19
0xfffffff009eada5c: 21008052  mov	w1, #1
0xfffffff009eada60: e30314aa  mov	x3, x20
0xfffffff009eada64: 76ef0094  bl	#0xfffffff009ee983c
0xfffffff009eada68: 5d010014  b	#0xfffffff009eadfdc
0xfffffff009eada6c: e00313aa  mov	x0, x19
0xfffffff009eada70: e10315aa  mov	x1, x21
0xfffffff009eada74: 811c0194  bl	#0xfffffff009ef4c78
0xfffffff009eada78: 1f040071  cmp	w0, #1
0xfffffff009eada7c: 81750054  b.ne	#0xfffffff009eae92c
0xfffffff009eada80: a8a24139  ldrb	w8, [x21, #0x68]
0xfffffff009eada84: 08762037  tbnz	w8, #4, #0xfffffff009eae944
0xfffffff009eada88: 190b40f9  ldr	x25, [x24, #0x10]
0xfffffff009eada8c: 997600b4  cbz	x25, #0xfffffff009eae95c
0xfffffff009eada90: e00313aa  mov	x0, x19
0xfffffff009eada94: e10319aa  mov	x1, x25
0xfffffff009eada98: e20314aa  mov	x2, x20
0xfffffff009eada9c: 74040194  bl	#0xfffffff009eeec6c
0xfffffff009eadaa0: bb2240f9  ldr	x27, [x21, #0x40]
0xfffffff009eadaa4: b60354f8  ldur	x22, [x29, #-0xc0]
0xfffffff009eadaa8: da2240f9  ldr	x26, [x22, #0x40]
0xfffffff009eadaac: e00313aa  mov	x0, x19
0xfffffff009eadab0: e10315aa  mov	x1, x21
0xfffffff009eadab4: e2031aaa  mov	x2, x26
0xfffffff009eadab8: e30314aa  mov	x3, x20
