; Candidate 12525
; ADRP+ADD at VM 0xfffffff0090ae654 (fileoff 0x20aa654): page=0x1fe3ab000 add_imm=0xe24

0xfffffff0090ae5d4: a8024039  ldrb	w8, [x21]
0xfffffff0090ae5d8: 1fc90071  cmp	w8, #0x32
0xfffffff0090ae5dc: 48010054  b.hi	#0xfffffff0090ae604
0xfffffff0090ae5e0: c81dff90  adrp	x8, #0xfffffff007466000
0xfffffff0090ae5e4: 08ed0e91  add	x8, x8, #0x3bb
0xfffffff0090ae5e8: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090ae5ec: 299d3891  add	x9, x9, #0xe27
0xfffffff0090ae5f0: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff0090ae5f4: e90300f9  str	x9, [sp]
0xfffffff0090ae5f8: c01dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090ae5fc: 002c0f91  add	x0, x0, #0x3cb
0xfffffff0090ae600: 88a2ca97  bl	#0xfffffff008357020
0xfffffff0090ae604: e00314aa  mov	x0, x20
0xfffffff0090ae608: 21008052  mov	w1, #1
0xfffffff0090ae60c: bb020094  bl	#0xfffffff0090af0f8
0xfffffff0090ae610: f30300aa  mov	x19, x0
0xfffffff0090ae614: 20070035  cbnz	w0, #0xfffffff0090ae6f8
0xfffffff0090ae618: e00314aa  mov	x0, x20
0xfffffff0090ae61c: 21008052  mov	w1, #1
0xfffffff0090ae620: 9a020094  bl	#0xfffffff0090af088
0xfffffff0090ae624: 48018052  mov	w8, #0xa
0xfffffff0090ae628: a9024039  ldrb	w9, [x21]
0xfffffff0090ae62c: 1f01096b  cmp	w8, w9
0xfffffff0090ae630: 83010054  b.lo	#0xfffffff0090ae660
0xfffffff0090ae634: e80313aa  mov	x8, x19
0xfffffff0090ae638: 087d4093  sxtw	x8, w8
0xfffffff0090ae63c: c91dff90  adrp	x9, #0xfffffff007466000
0xfffffff0090ae640: 29ed0e91  add	x9, x9, #0x3bb
0xfffffff0090ae644: aa1dfff0  adrp	x10, #0xfffffff007465000
0xfffffff0090ae648: 4a9d3891  add	x10, x10, #0xe27
0xfffffff0090ae64c: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090ae650: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090ae654: 401dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ae658: 00903891  add	x0, x0, #0xe24
0xfffffff0090ae65c: 71a2ca97  bl	#0xfffffff008357020
0xfffffff0090ae660: e00313aa  mov	x0, x19
0xfffffff0090ae664: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090ae668: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090ae66c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090ae670: ff830191  add	sp, sp, #0x60
0xfffffff0090ae674: ff0f5fd6  retab	
0xfffffff0090ae678: 68338052  mov	w8, #0x19b
0xfffffff0090ae67c: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090ae680: 29c13891  add	x9, x9, #0xe30
0xfffffff0090ae684: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090ae688: 481dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090ae68c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090ae690: ca1dff90  adrp	x10, #0xfffffff007466000
0xfffffff0090ae694: 4a110f91  add	x10, x10, #0x3c4
0xfffffff0090ae698: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090ae69c: ea0300f9  str	x10, [sp]
0xfffffff0090ae6a0: 401dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ae6a4: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090ae6a8: 5ea2ca97  bl	#0xfffffff008357020
0xfffffff0090ae6ac: c8088052  mov	w8, #0x46
0xfffffff0090ae6b0: 53008012  mov	w19, #-3
0xfffffff0090ae6b4: ddffff17  b	#0xfffffff0090ae628
0xfffffff0090ae6b8: 88338052  mov	w8, #0x19c
0xfffffff0090ae6bc: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090ae6c0: 29c13891  add	x9, x9, #0xe30
0xfffffff0090ae6c4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090ae6c8: 481dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090ae6cc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090ae6d0: 6a1dff90  adrp	x10, #0xfffffff00745a000
