; Candidate 8837
; ADRP+ADD at VM 0xfffffff0088d925c (fileoff 0x18d525c): page=0x1fe991000 add_imm=0xdd7

0xfffffff0088d91dc: 040080d2  mov	x4, #0
0xfffffff0088d91e0: 050080d2  mov	x5, #0
0xfffffff0088d91e4: f10309aa  mov	x17, x9
0xfffffff0088d91e8: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff0088d91ec: 11093fd7  blraa	x8, x17
0xfffffff0088d91f0: c889ffd0  adrp	x8, #0xfffffff007a13000
0xfffffff0088d91f4: 08012791  add	x8, x8, #0x9c0
0xfffffff0088d91f8: 09610591  add	x9, x8, #0x158
0xfffffff0088d91fc: 08ad40f9  ldr	x8, [x8, #0x158]
0xfffffff0088d9200: e00314aa  mov	x0, x20
0xfffffff0088d9204: e10313aa  mov	x1, x19
0xfffffff0088d9208: f10309aa  mov	x17, x9
0xfffffff0088d920c: 1144ebf2  movk	x17, #0x5a20, lsl #48
0xfffffff0088d9210: 11093fd7  blraa	x8, x17
0xfffffff0088d9214: c00200b5  cbnz	x0, #0xfffffff0088d926c
0xfffffff0088d9218: 900240f9  ldr	x16, [x20]
0xfffffff0088d921c: f10314aa  mov	x17, x20
0xfffffff0088d9220: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d9224: 301ac1da  autda	x16, x17
0xfffffff0088d9228: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d922c: 1002118b  add	x16, x16, x17
0xfffffff0088d9230: 080240f9  ldr	x8, [x16]
0xfffffff0088d9234: e90310aa  mov	x9, x16
0xfffffff0088d9238: e00314aa  mov	x0, x20
0xfffffff0088d923c: 010080d2  mov	x1, #0
0xfffffff0088d9240: f10309aa  mov	x17, x9
0xfffffff0088d9244: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d9248: 11093fd7  blraa	x8, x17
0xfffffff0088d924c: 884cffb0  adrp	x8, #0xfffffff00726a000
0xfffffff0088d9250: 08293791  add	x8, x8, #0xdca
0xfffffff0088d9254: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff0088d9258: e00300f9  str	x0, [sp]
0xfffffff0088d925c: 804cffb0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d9260: 005c3791  add	x0, x0, #0xdd7
0xfffffff0088d9264: 6ff7e997  bl	#0xfffffff008357020
0xfffffff0088d9268: 000080d2  mov	x0, #0
0xfffffff0088d926c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0088d9270: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0088d9274: ff030191  add	sp, sp, #0x40
0xfffffff0088d9278: ff0f5fd6  retab	
0xfffffff0088d927c: 7f2303d5  pacibsp	
0xfffffff0088d9280: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088d9284: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088d9288: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088d928c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088d9290: fd430291  add	x29, sp, #0x90
0xfffffff0088d9294: f40301aa  mov	x20, x1
0xfffffff0088d9298: 211800b4  cbz	x1, #0xfffffff0088d959c
0xfffffff0088d929c: f30300aa  mov	x19, x0
0xfffffff0088d92a0: 814cffb0  adrp	x1, #0xfffffff00726a000
0xfffffff0088d92a4: 21fc3891  add	x1, x1, #0xe3f
0xfffffff0088d92a8: e00314aa  mov	x0, x20
0xfffffff0088d92ac: ff18d797  bl	#0xfffffff007e9f6a8
0xfffffff0088d92b0: 00040034  cbz	w0, #0xfffffff0088d9330
0xfffffff0088d92b4: 814cffb0  adrp	x1, #0xfffffff00726a000
0xfffffff0088d92b8: 21503291  add	x1, x1, #0xc94
0xfffffff0088d92bc: e00314aa  mov	x0, x20
0xfffffff0088d92c0: fa18d797  bl	#0xfffffff007e9f6a8
0xfffffff0088d92c4: 60060034  cbz	w0, #0xfffffff0088d9390
0xfffffff0088d92c8: e10314aa  mov	x1, x20
0xfffffff0088d92cc: 5c010094  bl	#0xfffffff0088d983c
0xfffffff0088d92d0: e0070034  cbz	w0, #0xfffffff0088d93cc
0xfffffff0088d92d4: e00313aa  mov	x0, x19
0xfffffff0088d92d8: adfaff97  bl	#0xfffffff0088d7d8c
