; Candidate 11435
; ADRP+ADD at VM 0xfffffff008f482e4 (fileoff 0x1f442e4): page=0x1fe4d3000 add_imm=0xed3

0xfffffff008f48264: 17000014  b	#0xfffffff008f482c0
0xfffffff008f48268: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4826c: 8026fff0  adrp	x0, #0xfffffff00741b000
0xfffffff008f48270: 002c3a91  add	x0, x0, #0xe8b
0xfffffff008f48274: 22000014  b	#0xfffffff008f482fc
0xfffffff008f48278: 741240f9  ldr	x20, [x19, #0x20]
0xfffffff008f4827c: 700240f9  ldr	x16, [x19]
0xfffffff008f48280: f10313aa  mov	x17, x19
0xfffffff008f48284: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f48288: 301ac1da  autda	x16, x17
0xfffffff008f4828c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f48290: e90310aa  mov	x9, x16
0xfffffff008f48294: e00313aa  mov	x0, x19
0xfffffff008f48298: f10309aa  mov	x17, x9
0xfffffff008f4829c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f482a0: 11093fd7  blraa	x8, x17
0xfffffff008f482a4: ad71ce97  bl	#0xfffffff0082e4958
0xfffffff008f482a8: 8826fff0  adrp	x8, #0xfffffff00741b000
0xfffffff008f482ac: 08813991  add	x8, x8, #0xe60
0xfffffff008f482b0: 140200b4  cbz	x20, #0xfffffff008f482f0
0xfffffff008f482b4: e02300a9  stp	x0, x8, [sp]
0xfffffff008f482b8: 8226fff0  adrp	x2, #0xfffffff00741b000
0xfffffff008f482bc: 42dc3b91  add	x2, x2, #0xef7
0xfffffff008f482c0: e00314aa  mov	x0, x20
0xfffffff008f482c4: 21008052  mov	w1, #1
0xfffffff008f482c8: dff04094  bl	#0xfffffff009f84644
0xfffffff008f482cc: 0d000014  b	#0xfffffff008f48300
0xfffffff008f482d0: e02300a9  stp	x0, x8, [sp]
0xfffffff008f482d4: 8026fff0  adrp	x0, #0xfffffff00741b000
0xfffffff008f482d8: 00e43a91  add	x0, x0, #0xeb9
0xfffffff008f482dc: 08000014  b	#0xfffffff008f482fc
0xfffffff008f482e0: e02300a9  stp	x0, x8, [sp]
0xfffffff008f482e4: 8026fff0  adrp	x0, #0xfffffff00741b000
0xfffffff008f482e8: 004c3b91  add	x0, x0, #0xed3
0xfffffff008f482ec: 04000014  b	#0xfffffff008f482fc
0xfffffff008f482f0: e02300a9  stp	x0, x8, [sp]
0xfffffff008f482f4: 8026fff0  adrp	x0, #0xfffffff00741b000
0xfffffff008f482f8: 00dc3b91  add	x0, x0, #0xef7
0xfffffff008f482fc: 493bd097  bl	#0xfffffff008357020
0xfffffff008f48300: 00008052  mov	w0, #0
0xfffffff008f48304: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008f48308: c95effb0  adrp	x9, #0xfffffff007b21000
0xfffffff008f4830c: 297544f9  ldr	x9, [x9, #0x8e8]
0xfffffff008f48310: 290140f9  ldr	x9, [x9]
0xfffffff008f48314: 3f0108eb  cmp	x9, x8
0xfffffff008f48318: 01040054  b.ne	#0xfffffff008f48398
0xfffffff008f4831c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008f48320: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008f48324: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008f48328: ff830191  add	sp, sp, #0x60
0xfffffff008f4832c: ff0f5fd6  retab	
0xfffffff008f48330: 100080d2  mov	x16, #0
0xfffffff008f48334: e00313aa  mov	x0, x19
0xfffffff008f48338: e10310aa  mov	x1, x16
0xfffffff008f4833c: 3ed4d197  bl	#0xfffffff0083bd434
0xfffffff008f48340: e10300aa  mov	x1, x0
0xfffffff008f48344: 607200f9  str	x0, [x19, #0xe0]
0xfffffff008f48348: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff008f4834c: 100040f9  ldr	x16, [x0]
0xfffffff008f48350: f10300aa  mov	x17, x0
0xfffffff008f48354: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f48358: 301ac1da  autda	x16, x17
0xfffffff008f4835c: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008f48360: e90310aa  mov	x9, x16
