; Candidate 10941
; ADRP+ADD at VM 0xfffffff008dedae0 (fileoff 0x1de9ae0): page=0x1fe5d7000 add_imm=0xe15

0xfffffff008deda60: 480000f9  str	x8, [x2]
0xfffffff008deda64: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008deda68: ff030191  add	sp, sp, #0x40
0xfffffff008deda6c: ff0f5fd6  retab	
0xfffffff008deda70: 685c8152  mov	w8, #0xae3
0xfffffff008deda74: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008deda78: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deda7c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deda80: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deda84: 08493991  add	x8, x8, #0xe52
0xfffffff008deda88: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008deda8c: 4a393391  add	x10, x10, #0xcce
0xfffffff008deda90: 12000014  b	#0xfffffff008dedad8
0xfffffff008deda94: 885c8152  mov	w8, #0xae4
0xfffffff008deda98: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008deda9c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dedaa0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dedaa4: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dedaa8: 08493991  add	x8, x8, #0xe52
0xfffffff008dedaac: aa2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008dedab0: 4a0d2791  add	x10, x10, #0x9c3
0xfffffff008dedab4: 09000014  b	#0xfffffff008dedad8
0xfffffff008dedab8: e85c8152  mov	w8, #0xae7
0xfffffff008dedabc: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008dedac0: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dedac4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dedac8: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dedacc: 08493991  add	x8, x8, #0xe52
0xfffffff008dedad0: aa2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008dedad4: 4a912791  add	x10, x10, #0x9e4
0xfffffff008dedad8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008dedadc: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008dedae0: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dedae4: 00543891  add	x0, x0, #0xe15
0xfffffff008dedae8: 4ea5d597  bl	#0xfffffff008357020
0xfffffff008dedaec: 40008012  mov	w0, #-3
0xfffffff008dedaf0: ddffff17  b	#0xfffffff008deda64
0xfffffff008dedaf4: 7f2303d5  pacibsp	
0xfffffff008dedaf8: ff0301d1  sub	sp, sp, #0x40
0xfffffff008dedafc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008dedb00: fdc30091  add	x29, sp, #0x30
0xfffffff008dedb04: c01200b4  cbz	x0, #0xfffffff008dedd5c
0xfffffff008dedb08: 100040b9  ldr	w16, [x0]
0xfffffff008dedb0c: 1f320071  cmp	w16, #0xc
0xfffffff008dedb10: c8020054  b.hi	#0xfffffff008dedb68
0xfffffff008dedb14: 1f3200f1  cmp	x16, #0xc
0xfffffff008dedb18: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008dedb1c: 11000090  adrp	x17, #0xfffffff008ded000
0xfffffff008dedb20: 31923691  add	x17, x17, #0xda4
0xfffffff008dedb24: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008dedb28: 11000010  adr	x17, #0xfffffff008dedb28
0xfffffff008dedb2c: 3002108b  add	x16, x17, x16
0xfffffff008dedb30: 00021fd6  br	x16
0xfffffff008dedb34: 9f2403d5  bti	j
0xfffffff008dedb38: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff008dedb3c: 1f410071  cmp	w8, #0x10
0xfffffff008dedb40: 60100054  b.eq	#0xfffffff008dedd4c
0xfffffff008dedb44: 68058052  mov	w8, #0x2b
0xfffffff008dedb48: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008dedb4c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dedb50: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dedb54: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dedb58: 08493991  add	x8, x8, #0xe52
0xfffffff008dedb5c: aa2effd0  adrp	x10, #0xfffffff0073c3000
