; Candidate 3659
; ADRP+ADD at VM 0xfffffff00874c9e0 (fileoff 0x17489e0): page=0x1fe9e5000 add_imm=0xd90

0xfffffff00874c960: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff00874c964: 080140f9  ldr	x8, [x8]
0xfffffff00874c968: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff00874c96c: bfff3ba9  stp	xzr, xzr, [x29, #-0x48]
0xfffffff00874c970: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff00874c974: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff00874c978: ffff02a9  stp	xzr, xzr, [sp, #0x28]
0xfffffff00874c97c: 15009852  mov	w21, #0xc000
0xfffffff00874c980: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff00874c984: b62301d1  sub	x22, x29, #0x48
0xfffffff00874c988: 8102150b  add	w1, w20, w21
0xfffffff00874c98c: 700240f9  ldr	x16, [x19]
0xfffffff00874c990: f10313aa  mov	x17, x19
0xfffffff00874c994: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00874c998: 301ac1da  autda	x16, x17
0xfffffff00874c99c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00874c9a0: e90310aa  mov	x9, x16
0xfffffff00874c9a4: e00313aa  mov	x0, x19
0xfffffff00874c9a8: f10309aa  mov	x17, x9
0xfffffff00874c9ac: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00874c9b0: 11093fd7  blraa	x8, x17
0xfffffff00874c9b4: c06a34b8  str	w0, [x22, x20]
0xfffffff00874c9b8: 94120091  add	x20, x20, #4
0xfffffff00874c9bc: 9f420071  cmp	w20, #0x10
0xfffffff00874c9c0: 41feff54  b.ne	#0xfffffff00874c988
0xfffffff00874c9c4: a8277729  ldp	w8, w9, [x29, #-0x48]
0xfffffff00874c9c8: aa2f7829  ldp	w10, w11, [x29, #-0x40]
0xfffffff00874c9cc: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff00874c9d0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00874c9d4: 3650ff90  adrp	x22, #0xfffffff007150000
0xfffffff00874c9d8: d6e62b91  add	x22, x22, #0xaf9
0xfffffff00874c9dc: f60300f9  str	x22, [sp]
0xfffffff00874c9e0: 204fffb0  adrp	x0, #0xfffffff007131000
0xfffffff00874c9e4: 00403691  add	x0, x0, #0xd90
0xfffffff00874c9e8: 8195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874c9ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874c9f0: a34fff90  adrp	x3, #0xfffffff007140000
0xfffffff00874c9f4: 63100991  add	x3, x3, #0x244
0xfffffff00874c9f8: 02008052  mov	w2, #0
0xfffffff00874c9fc: cd99ef97  bl	#0xfffffff008333130
0xfffffff00874ca00: 140080d2  mov	x20, #0
0xfffffff00874ca04: 95018452  mov	w21, #0x200c
0xfffffff00874ca08: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff00874ca0c: f7230191  add	x23, sp, #0x48
0xfffffff00874ca10: 8102150b  add	w1, w20, w21
0xfffffff00874ca14: 700240f9  ldr	x16, [x19]
0xfffffff00874ca18: f10313aa  mov	x17, x19
0xfffffff00874ca1c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00874ca20: 301ac1da  autda	x16, x17
0xfffffff00874ca24: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00874ca28: e90310aa  mov	x9, x16
0xfffffff00874ca2c: e00313aa  mov	x0, x19
0xfffffff00874ca30: f10309aa  mov	x17, x9
0xfffffff00874ca34: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00874ca38: 11093fd7  blraa	x8, x17
0xfffffff00874ca3c: e06a34b8  str	w0, [x23, x20]
0xfffffff00874ca40: 94120091  add	x20, x20, #4
0xfffffff00874ca44: 9f420071  cmp	w20, #0x10
0xfffffff00874ca48: 41feff54  b.ne	#0xfffffff00874ca10
0xfffffff00874ca4c: 14018052  mov	w20, #8
0xfffffff00874ca50: 1422a072  movk	w20, #0x110, lsl #16
0xfffffff00874ca54: e8274929  ldp	w8, w9, [sp, #0x48]
0xfffffff00874ca58: ea2f4a29  ldp	w10, w11, [sp, #0x50]
0xfffffff00874ca5c: eaaf01a9  stp	x10, x11, [sp, #0x18]
