; Candidate 4930
; ADRP+ADD at VM 0xfffffff0087cdce8 (fileoff 0x17c9ce8): page=0x1fea1c000 add_imm=0xe80

0xfffffff0087cdc68: 400c0034  cbz	w0, #0xfffffff0087cddf0
0xfffffff0087cdc6c: 60008052  mov	w0, #3
0xfffffff0087cdc70: eab60294  bl	#0xfffffff00887b818
0xfffffff0087cdc74: f40300aa  mov	x20, x0
0xfffffff0087cdc78: 4d990394  bl	#0xfffffff0088b41ac
0xfffffff0087cdc7c: f30300aa  mov	x19, x0
0xfffffff0087cdc80: 80008052  mov	w0, #4
0xfffffff0087cdc84: f3b60294  bl	#0xfffffff00887b850
0xfffffff0087cdc88: 145c0034  cbz	w20, #0xfffffff0087ce808
0xfffffff0087cdc8c: 0852fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087cdc90: 08dd1291  add	x8, x8, #0x4b7
0xfffffff0087cdc94: 49d38052  mov	w9, #0x69a
0xfffffff0087cdc98: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cdc9c: 0852ffd0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cdca0: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cdca4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cdca8: 68008052  mov	w8, #3
0xfffffff0087cdcac: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cdcb0: 0052fff0  adrp	x0, #0xfffffff007210000
0xfffffff0087cdcb4: 00e41191  add	x0, x0, #0x479
0xfffffff0087cdcb8: 4d000014  b	#0xfffffff0087cddec
0xfffffff0087cdcbc: 3c990394  bl	#0xfffffff0088b41ac
0xfffffff0087cdcc0: f40300aa  mov	x20, x0
0xfffffff0087cdcc4: e0008052  mov	w0, #7
0xfffffff0087cdcc8: e2b60294  bl	#0xfffffff00887b850
0xfffffff0087cdccc: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cdcd0: 69734bb9  ldr	w9, [x27, #0xb70]
0xfffffff0087cdcd4: 6a6b4bb9  ldr	w10, [x27, #0xb68]
0xfffffff0087cdcd8: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0087cdcdc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cdce0: a80f8052  mov	w8, #0x7d
0xfffffff0087cdce4: f42300a9  stp	x20, x8, [sp]
0xfffffff0087cdce8: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cdcec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cdcf0: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cdcf4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cdcf8: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cdcfc: 63c83e91  add	x3, x3, #0xfb2
0xfffffff0087cdd00: 02008052  mov	w2, #0
0xfffffff0087cdd04: 0b95ed97  bl	#0xfffffff008333130
0xfffffff0087cdd08: 686f4bb9  ldr	w8, [x27, #0xb6c]
0xfffffff0087cdd0c: 681f088b  add	x8, x27, x8, lsl #7
0xfffffff0087cdd10: 01a10b91  add	x1, x8, #0x2e8
0xfffffff0087cdd14: 626b4bb9  ldr	w2, [x27, #0xb68]
0xfffffff0087cdd18: 5aeeff97  bl	#0xfffffff0087c9680
0xfffffff0087cdd1c: 600300b4  cbz	x0, #0xfffffff0087cdd88
0xfffffff0087cdd20: f50300aa  mov	x21, x0
0xfffffff0087cdd24: b7559552  mov	w23, #0xaaad
0xfffffff0087cdd28: 5755b772  movk	w23, #0xbaaa, lsl #16
0xfffffff0087cdd2c: 080440f9  ldr	x8, [x0, #8]
0xfffffff0087cdd30: e80a00b4  cbz	x8, #0xfffffff0087cde8c
0xfffffff0087cdd34: 613f51f9  ldr	x1, [x27, #0x2278]
0xfffffff0087cdd38: f3031baa  mov	x19, x27
0xfffffff0087cdd3c: e0031baa  mov	x0, x27
0xfffffff0087cdd40: e4e7ff97  bl	#0xfffffff0087c7cd0
0xfffffff0087cdd44: 400f0036  tbz	w0, #0, #0xfffffff0087cdf2c
0xfffffff0087cdd48: e00313aa  mov	x0, x19
0xfffffff0087cdd4c: 613e51f9  ldr	x1, [x19, #0x2278]
0xfffffff0087cdd50: e20315aa  mov	x2, x21
0xfffffff0087cdd54: 6bf2ff97  bl	#0xfffffff0087ca700
0xfffffff0087cdd58: e03d0036  tbz	w0, #0, #0xfffffff0087ce514
0xfffffff0087cdd5c: a90357f8  ldur	x9, [x29, #-0x90]
0xfffffff0087cdd60: 3f1900b9  str	wzr, [x9, #0x18]
0xfffffff0087cdd64: fb0313aa  mov	x27, x19
