; Candidate 9654
; ADRP+ADD at VM 0xfffffff008a9c24c (fileoff 0x1a9824c): page=0x1fe81a000 add_imm=0xd91

0xfffffff008a9c1cc: 01000014  b	#0xfffffff008a9c1d0
0xfffffff008a9c1d0: a0035ef8  ldur	x0, [x29, #-0x20]
0xfffffff008a9c1d4: a15300d1  sub	x1, x29, #0x14
0xfffffff008a9c1d8: bfc31eb8  stur	wzr, [x29, #-0x14]
0xfffffff008a9c1dc: 48008052  mov	w8, #2
0xfffffff008a9c1e0: a8c31eb8  stur	w8, [x29, #-0x14]
0xfffffff008a9c1e4: a6ffff97  bl	#0xfffffff008a9c07c
0xfffffff008a9c1e8: a0c31fb8  stur	w0, [x29, #-4]
0xfffffff008a9c1ec: 1b000014  b	#0xfffffff008a9c258
0xfffffff008a9c1f0: a8035ef8  ldur	x8, [x29, #-0x20]
0xfffffff008a9c1f4: 081942b9  ldr	w8, [x8, #0x218]
0xfffffff008a9c1f8: 08050071  subs	w8, w8, #1
0xfffffff008a9c1fc: e8079f1a  cset	w8, ne
0xfffffff008a9c200: 88000037  tbnz	w8, #0, #0xfffffff008a9c210
0xfffffff008a9c204: 01000014  b	#0xfffffff008a9c208
0xfffffff008a9c208: bfc31fb8  stur	wzr, [x29, #-4]
0xfffffff008a9c20c: 13000014  b	#0xfffffff008a9c258
0xfffffff008a9c210: a8035ef8  ldur	x8, [x29, #-0x20]
0xfffffff008a9c214: 09b140b9  ldr	w9, [x8, #0xb0]
0xfffffff008a9c218: eb0309aa  mov	x11, x9
0xfffffff008a9c21c: 0a6540f9  ldr	x10, [x8, #0xc8]
0xfffffff008a9c220: 091942b9  ldr	w9, [x8, #0x218]
0xfffffff008a9c224: e80309aa  mov	x8, x9
0xfffffff008a9c228: e9030091  mov	x9, sp
0xfffffff008a9c22c: 2b0100f9  str	x11, [x9]
0xfffffff008a9c230: 2a0500f9  str	x10, [x9, #8]
0xfffffff008a9c234: 280900f9  str	x8, [x9, #0x10]
0xfffffff008a9c238: c840ffd0  adrp	x8, #0xfffffff0072b6000
0xfffffff008a9c23c: 08011991  add	x8, x8, #0x640
0xfffffff008a9c240: 280d00f9  str	x8, [x9, #0x18]
0xfffffff008a9c244: 284180d2  mov	x8, #0x209
0xfffffff008a9c248: 281100f9  str	x8, [x9, #0x20]
0xfffffff008a9c24c: c040ffd0  adrp	x0, #0xfffffff0072b6000
0xfffffff008a9c250: 00443691  add	x0, x0, #0xd91
0xfffffff008a9c254: aee0e797  bl	#0xfffffff00849450c
0xfffffff008a9c258: a0c35fb8  ldur	w0, [x29, #-4]
0xfffffff008a9c25c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008a9c260: ff830191  add	sp, sp, #0x60
0xfffffff008a9c264: ff0f5fd6  retab	
0xfffffff008a9c268: 7f2303d5  pacibsp	
0xfffffff008a9c26c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008a9c270: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008a9c274: fdc30091  add	x29, sp, #0x30
0xfffffff008a9c278: a0031ff8  stur	x0, [x29, #-0x10]
0xfffffff008a9c27c: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff008a9c280: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008a9c284: bfc31eb8  stur	wzr, [x29, #-0x14]
0xfffffff008a9c288: 89008052  mov	w9, #4
0xfffffff008a9c28c: a9c31eb8  stur	w9, [x29, #-0x14]
0xfffffff008a9c290: bfb31e38  sturb	wzr, [x29, #-0x15]
0xfffffff008a9c294: 08854639  ldrb	w8, [x8, #0x1a1]
0xfffffff008a9c298: e8000036  tbz	w8, #0, #0xfffffff008a9c2b4
0xfffffff008a9c29c: 01000014  b	#0xfffffff008a9c2a0
0xfffffff008a9c2a0: 08008052  mov	w8, #0
0xfffffff008a9c2a4: 08010012  and	w8, w8, #1
0xfffffff008a9c2a8: 08010012  and	w8, w8, #1
0xfffffff008a9c2ac: a8f31f38  sturb	w8, [x29, #-1]
0xfffffff008a9c2b0: 2f000014  b	#0xfffffff008a9c36c
0xfffffff008a9c2b4: e80b40f9  ldr	x8, [sp, #0x10]
0xfffffff008a9c2b8: 081942b9  ldr	w8, [x8, #0x218]
0xfffffff008a9c2bc: 08010071  subs	w8, w8, #0
0xfffffff008a9c2c0: e80700f9  str	x8, [sp, #8]
0xfffffff008a9c2c4: 082500f1  subs	x8, x8, #9
0xfffffff008a9c2c8: e8979f1a  cset	w8, hi
