; Candidate 10378
; ADRP+ADD at VM 0xfffffff008d23c94 (fileoff 0x1d1fc94): page=0x1fe659000 add_imm=0xd81

0xfffffff008d23c14: 81feff54  b.ne	#0xfffffff008d23be4
0xfffffff008d23c18: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d23c1c: ff0f5fd6  retab	
0xfffffff008d23c20: c032ff90  adrp	x0, #0xfffffff00737b000
0xfffffff008d23c24: 00ac2191  add	x0, x0, #0x86b
0xfffffff008d23c28: aa000094  bl	#0xfffffff008d23ed0
0xfffffff008d23c2c: c032ff90  adrp	x0, #0xfffffff00737b000
0xfffffff008d23c30: 00682391  add	x0, x0, #0x8da
0xfffffff008d23c34: a7000094  bl	#0xfffffff008d23ed0
0xfffffff008d23c38: c032ff90  adrp	x0, #0xfffffff00737b000
0xfffffff008d23c3c: 00681d91  add	x0, x0, #0x75a
0xfffffff008d23c40: a4000094  bl	#0xfffffff008d23ed0
0xfffffff008d23c44: 58000000  udf	#0x58
0xfffffff008d23c48: 0c000000  udf	#0xc
0xfffffff008d23c4c: 3c000000  udf	#0x3c
0xfffffff008d23c50: 4c000000  udf	#0x4c
0xfffffff008d23c54: 5f2403d5  bti	c
0xfffffff008d23c58: 3f100071  cmp	w1, #4
0xfffffff008d23c5c: c2010054  b.hs	#0xfffffff008d23c94
0xfffffff008d23c60: 080080d2  mov	x8, #0
0xfffffff008d23c64: e903012a  mov	w9, w1
0xfffffff008d23c68: 0a3840f9  ldr	x10, [x0, #0x70]
0xfffffff008d23c6c: 4919098b  add	x9, x10, x9, lsl #6
0xfffffff008d23c70: 0a208252  mov	w10, #0x1100
0xfffffff008d23c74: 29010a8b  add	x9, x9, x10
0xfffffff008d23c78: 4a6868b8  ldr	w10, [x2, x8]
0xfffffff008d23c7c: 4a09c05a  rev	w10, w10
0xfffffff008d23c80: 2a6928b8  str	w10, [x9, x8]
0xfffffff008d23c84: 08110091  add	x8, x8, #4
0xfffffff008d23c88: 1f0101f1  cmp	x8, #0x40
0xfffffff008d23c8c: 61ffff54  b.ne	#0xfffffff008d23c78
0xfffffff008d23c90: c0035fd6  ret	
0xfffffff008d23c94: c032ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d23c98: 00043691  add	x0, x0, #0xd81
0xfffffff008d23c9c: d8310014  b	#0xfffffff008d303fc
0xfffffff008d23ca0: 5f2403d5  bti	c
0xfffffff008d23ca4: 430600b4  cbz	x3, #0xfffffff008d23d6c
0xfffffff008d23ca8: 69a058a9  ldp	x9, x8, [x3, #0x188]
0xfffffff008d23cac: 9f2403d5  bti	j
0xfffffff008d23cb0: 0b0080d2  mov	x11, #0
0xfffffff008d23cb4: 0a3840f9  ldr	x10, [x0, #0x70]
0xfffffff008d23cb8: 0c208252  mov	w12, #0x1100
0xfffffff008d23cbc: 4c010c8b  add	x12, x10, x12
0xfffffff008d23cc0: 2d696bb8  ldr	w13, [x9, x11]
0xfffffff008d23cc4: ad09c05a  rev	w13, w13
0xfffffff008d23cc8: 8d692bb8  str	w13, [x12, x11]
0xfffffff008d23ccc: 6b110091  add	x11, x11, #4
0xfffffff008d23cd0: 7f0101f1  cmp	x11, #0x40
0xfffffff008d23cd4: 61ffff54  b.ne	#0xfffffff008d23cc0
0xfffffff008d23cd8: 090080d2  mov	x9, #0
0xfffffff008d23cdc: 0b288252  mov	w11, #0x1140
0xfffffff008d23ce0: 4b010b8b  add	x11, x10, x11
0xfffffff008d23ce4: 0c6969b8  ldr	w12, [x8, x9]
0xfffffff008d23ce8: 8c09c05a  rev	w12, w12
0xfffffff008d23cec: 6c6929b8  str	w12, [x11, x9]
0xfffffff008d23cf0: 29110091  add	x9, x9, #4
0xfffffff008d23cf4: 3f0101f1  cmp	x9, #0x40
0xfffffff008d23cf8: 61ffff54  b.ne	#0xfffffff008d23ce4
0xfffffff008d23cfc: 080080d2  mov	x8, #0
0xfffffff008d23d00: 09308252  mov	w9, #0x1180
0xfffffff008d23d04: 4901098b  add	x9, x10, x9
0xfffffff008d23d08: eb32ffd0  adrp	x11, #0xfffffff007381000
0xfffffff008d23d0c: 6bc12a91  add	x11, x11, #0xab0
0xfffffff008d23d10: 6c6968b8  ldr	w12, [x11, x8]
