; Candidate 14278
; ADRP+ADD at VM 0xfffffff00975ce60 (fileoff 0x2758e60): page=0xc2f000 add_imm=0xea8

0xfffffff00975cde0: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff00975cde4: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff00975cde8: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff00975cdec: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff00975cdf0: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff00975cdf4: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff00975cdf8: fd830291  add	x29, sp, #0xa0
0xfffffff00975cdfc: f90302aa  mov	x25, x2
0xfffffff00975ce00: fb0301aa  mov	x27, x1
0xfffffff00975ce04: f50300aa  mov	x21, x0
0xfffffff00975ce08: 3f540071  cmp	w1, #0x15
0xfffffff00975ce0c: a2580054  b.hs	#0xfffffff00975d920
0xfffffff00975ce10: b96300b4  cbz	x25, #0xfffffff00975da84
0xfffffff00975ce14: 2027ff90  adrp	x0, #0xfffffff007c40000
0xfffffff00975ce18: 00802291  add	x0, x0, #0x8a0
0xfffffff00975ce1c: b6e5af97  bl	#0xfffffff0083564f4
0xfffffff00975ce20: f40300aa  mov	x20, x0
0xfffffff00975ce24: 206e00b4  cbz	x0, #0xfffffff00975dbe8
0xfffffff00975ce28: 9f0200b9  str	wzr, [x20]
0xfffffff00975ce2c: e00315aa  mov	x0, x21
0xfffffff00975ce30: 062fb097  bl	#0xfffffff008368a48
0xfffffff00975ce34: 80fe00a9  stp	x0, xzr, [x20, #8]
0xfffffff00975ce38: 7c6100f0  adrp	x28, #0xfffffff00a38b000
0xfffffff00975ce3c: 80bf47f9  ldr	x0, [x28, #0xf78]
0xfffffff00975ce40: 233b9997  bl	#0xfffffff007dabacc
0xfffffff00975ce44: 686100f0  adrp	x8, #0xfffffff00a38b000
0xfffffff00975ce48: 08413b91  add	x8, x8, #0xed0
0xfffffff00975ce4c: 1a4d3b8b  add	x26, x8, w27, uxtw #3
0xfffffff00975ce50: 480340f9  ldr	x8, [x26]
0xfffffff00975ce54: f8f1feb0  adrp	x24, #0xfffffff007599000
0xfffffff00975ce58: 18530691  add	x24, x24, #0x194
0xfffffff00975ce5c: 682300b4  cbz	x8, #0xfffffff00975d2c8
0xfffffff00975ce60: 606100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975ce64: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975ce68: bc1eae97  bl	#0xfffffff0082e4958
0xfffffff00975ce6c: e00315aa  mov	x0, x21
0xfffffff00975ce70: fb2efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975ce74: c00100b5  cbnz	x0, #0xfffffff00975ceac
0xfffffff00975ce78: b00240f9  ldr	x16, [x21]
0xfffffff00975ce7c: f10315aa  mov	x17, x21
0xfffffff00975ce80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975ce84: 301ac1da  autda	x16, x17
0xfffffff00975ce88: 113d80d2  mov	x17, #0x1e8
0xfffffff00975ce8c: 1002118b  add	x16, x16, x17
0xfffffff00975ce90: 080240f9  ldr	x8, [x16]
0xfffffff00975ce94: e90310aa  mov	x9, x16
0xfffffff00975ce98: e00315aa  mov	x0, x21
0xfffffff00975ce9c: 010080d2  mov	x1, #0
0xfffffff00975cea0: f10309aa  mov	x17, x9
0xfffffff00975cea4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975cea8: 11093fd7  blraa	x8, x17
0xfffffff00975ceac: e00315aa  mov	x0, x21
0xfffffff00975ceb0: eb2efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975ceb4: e00315aa  mov	x0, x21
0xfffffff00975ceb8: e92efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975cebc: c00100b5  cbnz	x0, #0xfffffff00975cef4
0xfffffff00975cec0: b00240f9  ldr	x16, [x21]
0xfffffff00975cec4: f10315aa  mov	x17, x21
0xfffffff00975cec8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975cecc: 301ac1da  autda	x16, x17
0xfffffff00975ced0: 114380d2  mov	x17, #0x218
0xfffffff00975ced4: 1002118b  add	x16, x16, x17
0xfffffff00975ced8: 080240f9  ldr	x8, [x16]
0xfffffff00975cedc: e90310aa  mov	x9, x16
