; Candidate 11520
; ADRP+ADD at VM 0xfffffff008f76d58 (fileoff 0x1f72d58): page=0x1fe4ac000 add_imm=0xdc0

0xfffffff008f76cd8: 700240f9  ldr	x16, [x19]
0xfffffff008f76cdc: f10313aa  mov	x17, x19
0xfffffff008f76ce0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f76ce4: 301ac1da  autda	x16, x17
0xfffffff008f76ce8: 116e80d2  mov	x17, #0x370
0xfffffff008f76cec: 1002118b  add	x16, x16, x17
0xfffffff008f76cf0: 080240f9  ldr	x8, [x16]
0xfffffff008f76cf4: e90310aa  mov	x9, x16
0xfffffff008f76cf8: e00313aa  mov	x0, x19
0xfffffff008f76cfc: f10309aa  mov	x17, x9
0xfffffff008f76d00: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008f76d04: 11093fd7  blraa	x8, x17
0xfffffff008f76d08: 100040f9  ldr	x16, [x0]
0xfffffff008f76d0c: f10300aa  mov	x17, x0
0xfffffff008f76d10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f76d14: 301ac1da  autda	x16, x17
0xfffffff008f76d18: 113d80d2  mov	x17, #0x1e8
0xfffffff008f76d1c: 1002118b  add	x16, x16, x17
0xfffffff008f76d20: 080240f9  ldr	x8, [x16]
0xfffffff008f76d24: e90310aa  mov	x9, x16
0xfffffff008f76d28: 010080d2  mov	x1, #0
0xfffffff008f76d2c: f10309aa  mov	x17, x9
0xfffffff008f76d30: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008f76d34: 11093fd7  blraa	x8, x17
0xfffffff008f76d38: 13000014  b	#0xfffffff008f76d84
0xfffffff008f76d3c: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d40: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f76d44: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f76d48: 6825ff90  adrp	x8, #0xfffffff007422000
0xfffffff008f76d4c: 08d13791  add	x8, x8, #0xdf4
0xfffffff008f76d50: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff008f76d54: f52300a9  stp	x21, x8, [sp]
0xfffffff008f76d58: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d5c: 00003791  add	x0, x0, #0xdc0
0xfffffff008f76d60: 10000014  b	#0xfffffff008f76da0
0xfffffff008f76d64: a8735c38  ldurb	w8, [x29, #-0x39]
0xfffffff008f76d68: a9635c38  ldurb	w9, [x29, #-0x3a]
0xfffffff008f76d6c: 68031037  tbnz	w8, #2, #0xfffffff008f76dd8
0xfffffff008f76d70: 3f010171  cmp	w9, #0x40
0xfffffff008f76d74: a2030054  b.hs	#0xfffffff008f76de8
0xfffffff008f76d78: 1f000014  b	#0xfffffff008f76df4
0xfffffff008f76d7c: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d80: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f76d84: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f76d88: 6825ff90  adrp	x8, #0xfffffff007422000
0xfffffff008f76d8c: 08d13791  add	x8, x8, #0xdf4
0xfffffff008f76d90: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff008f76d94: f52300a9  stp	x21, x8, [sp]
0xfffffff008f76d98: 6025ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f76d9c: 00103891  add	x0, x0, #0xe04
0xfffffff008f76da0: a080cf97  bl	#0xfffffff008357020
0xfffffff008f76da4: ff830091  add	sp, sp, #0x20
0xfffffff008f76da8: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008f76dac: 895dffb0  adrp	x9, #0xfffffff007b27000
0xfffffff008f76db0: 291940f9  ldr	x9, [x9, #0x30]
0xfffffff008f76db4: 290140f9  ldr	x9, [x9]
0xfffffff008f76db8: 3f0108eb  cmp	x9, x8
0xfffffff008f76dbc: e11e0054  b.ne	#0xfffffff008f77198
0xfffffff008f76dc0: bfc300d1  sub	sp, x29, #0x30
0xfffffff008f76dc4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008f76dc8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008f76dcc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008f76dd0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008f76dd4: ff0f5fd6  retab	
