; Candidate 7952
; ADRP+ADD at VM 0xfffffff008889d84 (fileoff 0x1885d84): page=0x1fe960000 add_imm=0xe80

0xfffffff008889d04: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff008889d08: a84302d1  sub	x8, x29, #0x90
0xfffffff008889d0c: e80f00f9  str	x8, [sp, #0x18]
0xfffffff008889d10: e94b40f9  ldr	x9, [sp, #0x90]
0xfffffff008889d14: e80313aa  mov	x8, x19
0xfffffff008889d18: a34eff90  adrp	x3, #0xfffffff00725d000
0xfffffff008889d1c: 63bc1591  add	x3, x3, #0x56f
0xfffffff008889d20: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008889d24: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff008889d28: e80300f9  str	x8, [sp]
0xfffffff008889d2c: 004bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008889d30: 00003a91  add	x0, x0, #0xe80
0xfffffff008889d34: e18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008889d38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008889d3c: 02008052  mov	w2, #0
0xfffffff008889d40: fca4ea97  bl	#0xfffffff008333130
0xfffffff008889d44: 2e000014  b	#0xfffffff008889dfc
0xfffffff008889d48: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff008889d4c: 4ce34894  bl	#0xfffffff009ac2a7c
0xfffffff008889d50: e8a30291  add	x8, sp, #0xa8
0xfffffff008889d54: e0a305a9  stp	x0, x8, [sp, #0x58]
0xfffffff008889d58: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008889d5c: f7a304a9  stp	x23, x8, [sp, #0x48]
0xfffffff008889d60: fbe703a9  stp	x27, x25, [sp, #0x38]
0xfffffff008889d64: fae302a9  stp	x26, x24, [sp, #0x28]
0xfffffff008889d68: e8a749a9  ldp	x8, x9, [sp, #0x98]
0xfffffff008889d6c: fca301a9  stp	x28, x8, [sp, #0x18]
0xfffffff008889d70: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff008889d74: a84302d1  sub	x8, x29, #0x90
0xfffffff008889d78: a34eff90  adrp	x3, #0xfffffff00725d000
0xfffffff008889d7c: 630c1491  add	x3, x3, #0x503
0xfffffff008889d80: e80300f9  str	x8, [sp]
0xfffffff008889d84: 004bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008889d88: 00003a91  add	x0, x0, #0xe80
0xfffffff008889d8c: e18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008889d90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008889d94: 02008052  mov	w2, #0
0xfffffff008889d98: e6a4ea97  bl	#0xfffffff008333130
0xfffffff008889d9c: 18000014  b	#0xfffffff008889dfc
0xfffffff008889da0: ff7f09a9  stp	xzr, xzr, [sp, #0x90]
0xfffffff008889da4: 000080d2  mov	x0, #0
0xfffffff008889da8: 9ae246a9  ldp	x26, x24, [x20, #0x68]
0xfffffff008889dac: 9b3240f9  ldr	x27, [x20, #0x60]
0xfffffff008889db0: 990a41b9  ldr	w25, [x20, #0x108]
0xfffffff008889db4: 978e40f9  ldr	x23, [x20, #0x118]
0xfffffff008889db8: 02000014  b	#0xfffffff008889dc0
0xfffffff008889dbc: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff008889dc0: 2fe34894  bl	#0xfffffff009ac2a7c
0xfffffff008889dc4: e8a30291  add	x8, sp, #0xa8
0xfffffff008889dc8: e0a305a9  stp	x0, x8, [sp, #0x58]
0xfffffff008889dcc: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008889dd0: f7a304a9  stp	x23, x8, [sp, #0x48]
0xfffffff008889dd4: fbe703a9  stp	x27, x25, [sp, #0x38]
0xfffffff008889dd8: fae302a9  stp	x26, x24, [sp, #0x28]
0xfffffff008889ddc: e8a749a9  ldp	x8, x9, [sp, #0x98]
0xfffffff008889de0: fca301a9  stp	x28, x8, [sp, #0x18]
0xfffffff008889de4: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff008889de8: a84302d1  sub	x8, x29, #0x90
0xfffffff008889dec: 204dffb0  adrp	x0, #0xfffffff00722e000
0xfffffff008889df0: 003c1791  add	x0, x0, #0x5cf
0xfffffff008889df4: e80300f9  str	x8, [sp]
0xfffffff008889df8: 9ab5d497  bl	#0xfffffff007db7460
0xfffffff008889dfc: e00313aa  mov	x0, x19
0xfffffff008889e00: e10316aa  mov	x1, x22
