; Candidate 4582
; ADRP+ADD at VM 0xfffffff0087bc6d0 (fileoff 0x17b86d0): page=0x1fe975000 add_imm=0xd90

0xfffffff0087bc650: 68000054  b.hi	#0xfffffff0087bc65c
0xfffffff0087bc654: 7fca2fb9  str	wzr, [x19, #0x2fc8]
0xfffffff0087bc658: 0b000014  b	#0xfffffff0087bc684
0xfffffff0087bc65c: 1ff00071  cmp	w0, #0x3c
0xfffffff0087bc660: 68000054  b.hi	#0xfffffff0087bc66c
0xfffffff0087bc664: 28008052  mov	w8, #1
0xfffffff0087bc668: 06000014  b	#0xfffffff0087bc680
0xfffffff0087bc66c: 1fe00171  cmp	w0, #0x78
0xfffffff0087bc670: 68000054  b.hi	#0xfffffff0087bc67c
0xfffffff0087bc674: 48008052  mov	w8, #2
0xfffffff0087bc678: 02000014  b	#0xfffffff0087bc680
0xfffffff0087bc67c: 68008052  mov	w8, #3
0xfffffff0087bc680: 68ca2fb9  str	w8, [x19, #0x2fc8]
0xfffffff0087bc684: a14cff90  adrp	x1, #0xfffffff007150000
0xfffffff0087bc688: 21cc1391  add	x1, x1, #0x4f3
0xfffffff0087bc68c: e00313aa  mov	x0, x19
0xfffffff0087bc690: 22008052  mov	w2, #1
0xfffffff0087bc694: 0bfbff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc698: 00030034  cbz	w0, #0xfffffff0087bc6f8
0xfffffff0087bc69c: a14cff90  adrp	x1, #0xfffffff007150000
0xfffffff0087bc6a0: 21fc1391  add	x1, x1, #0x4ff
0xfffffff0087bc6a4: e00313aa  mov	x0, x19
0xfffffff0087bc6a8: e2008052  mov	w2, #7
0xfffffff0087bc6ac: 05fbff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc6b0: 08180613  sbfx	w8, w0, #6, #1
0xfffffff0087bc6b4: 08611912  and	w8, w8, #0xffffff80
0xfffffff0087bc6b8: 0801000b  add	w8, w8, w0
0xfffffff0087bc6bc: 1f81286b  cmp	w8, w8, sxtb
0xfffffff0087bc6c0: e0010054  b.eq	#0xfffffff0087bc6fc
0xfffffff0087bc6c4: 094dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bc6c8: 29593391  add	x9, x9, #0xcd6
0xfffffff0087bc6cc: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bc6d0: a04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087bc6d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087bc6d8: 0192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bc6dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bc6e0: 834cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bc6e4: 632c2091  add	x3, x3, #0x80b
0xfffffff0087bc6e8: 02008052  mov	w2, #0
0xfffffff0087bc6ec: 91daed97  bl	#0xfffffff008333130
0xfffffff0087bc6f0: 08008012  mov	w8, #-1
0xfffffff0087bc6f4: 02000014  b	#0xfffffff0087bc6fc
0xfffffff0087bc6f8: 08008052  mov	w8, #0
0xfffffff0087bc6fc: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087bc700: 28c101b9  str	w8, [x9, #0x1c0]
0xfffffff0087bc704: 28b941b9  ldr	w8, [x9, #0x1b8]
0xfffffff0087bc708: 1f090071  cmp	w8, #2
0xfffffff0087bc70c: eb040054  b.lt	#0xfffffff0087bc7a8
0xfffffff0087bc710: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087bc714: 08c14139  ldrb	w8, [x8, #0x70]
0xfffffff0087bc718: 08050034  cbz	w8, #0xfffffff0087bc7b8
0xfffffff0087bc71c: 014dffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bc720: 21ac3291  add	x1, x1, #0xcab
0xfffffff0087bc724: e00313aa  mov	x0, x19
0xfffffff0087bc728: 22008052  mov	w2, #1
0xfffffff0087bc72c: e5faff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc730: f40300aa  mov	x20, x0
0xfffffff0087bc734: a14cff90  adrp	x1, #0xfffffff007150000
0xfffffff0087bc738: 21cc1391  add	x1, x1, #0x4f3
0xfffffff0087bc73c: e00313aa  mov	x0, x19
0xfffffff0087bc740: 22008052  mov	w2, #1
0xfffffff0087bc744: dffaff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bc748: 20070034  cbz	w0, #0xfffffff0087bc82c
0xfffffff0087bc74c: a14cff90  adrp	x1, #0xfffffff007150000
