; Candidate 3705
; ADRP+ADD at VM 0xfffffff008751c24 (fileoff 0x174dc24): page=0x1fe9e0000 add_imm=0xd90

0xfffffff008751ba4: 2a7d42b9  ldr	w10, [x9, #0x27c]
0xfffffff008751ba8: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008751bac: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff008751bb0: 287d02b9  str	w8, [x9, #0x27c]
0xfffffff008751bb4: a80d40f9  ldr	x8, [x13, #0x18]
0xfffffff008751bb8: a94940b9  ldr	w9, [x13, #0x48]
0xfffffff008751bbc: 080109ab  adds	x8, x8, x9
0xfffffff008751bc0: 22040054  b.hs	#0xfffffff008751c44
0xfffffff008751bc4: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff008751bc8: 690340f9  ldr	x9, [x27]
0xfffffff008751bcc: 2a8542b9  ldr	w10, [x9, #0x284]
0xfffffff008751bd0: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008751bd4: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff008751bd8: 288502b9  str	w8, [x9, #0x284]
0xfffffff008751bdc: fc0319aa  mov	x28, x25
0xfffffff008751be0: 085b40b9  ldr	w8, [x24, #0x58]
0xfffffff008751be4: 09011312  and	w9, w8, #0x2000
0xfffffff008751be8: ea1f40f9  ldr	x10, [sp, #0x38]
0xfffffff008751bec: 29010a2a  orr	w9, w9, w10
0xfffffff008751bf0: 89040035  cbnz	w9, #0xfffffff008751c80
0xfffffff008751bf4: 08011332  orr	w8, w8, #0x2000
0xfffffff008751bf8: 085b00b9  str	w8, [x24, #0x58]
0xfffffff008751bfc: 680a0c8b  add	x8, x19, x12, lsl #2
0xfffffff008751c00: 29008052  mov	w9, #1
0xfffffff008751c04: 093900b9  str	w9, [x8, #0x38]
0xfffffff008751c08: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008751c0c: 1f6101b9  str	wzr, [x8, #0x160]
0xfffffff008751c10: 39010014  b	#0xfffffff0087520f4
0xfffffff008751c14: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff008751c18: e84fffd0  adrp	x8, #0xfffffff00714f000
0xfffffff008751c1c: 08bd1991  add	x8, x8, #0x66f
0xfffffff008751c20: e80300f9  str	x8, [sp]
0xfffffff008751c24: 004fff90  adrp	x0, #0xfffffff007131000
0xfffffff008751c28: 00403691  add	x0, x0, #0xd90
0xfffffff008751c2c: 6195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008751c30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008751c34: 634ffff0  adrp	x3, #0xfffffff007140000
0xfffffff008751c38: 63003391  add	x3, x3, #0xcc0
0xfffffff008751c3c: 02008052  mov	w2, #0
0xfffffff008751c40: 3c85ef97  bl	#0xfffffff008333130
0xfffffff008751c44: 00008012  mov	w0, #-1
0xfffffff008751c48: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008751c4c: 6995ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff008751c50: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff008751c54: 290140f9  ldr	x9, [x9]
0xfffffff008751c58: 3f0108eb  cmp	x9, x8
0xfffffff008751c5c: a1440054  b.ne	#0xfffffff0087524f0
0xfffffff008751c60: ff430791  add	sp, sp, #0x1d0
0xfffffff008751c64: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008751c68: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008751c6c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008751c70: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008751c74: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008751c78: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008751c7c: ff0f5fd6  retab	
0xfffffff008751c80: 680a0c8b  add	x8, x19, x12, lsl #2
0xfffffff008751c84: 1f3900b9  str	wzr, [x8, #0x38]
0xfffffff008751c88: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008751c8c: 1f6101b9  str	wzr, [x8, #0x160]
0xfffffff008751c90: 2a230034  cbz	w10, #0xfffffff0087520f4
0xfffffff008751c94: 170080d2  mov	x23, #0
0xfffffff008751c98: 0800be52  mov	w8, #-0x10000000
0xfffffff008751c9c: b98302d1  sub	x25, x29, #0xa0
0xfffffff008751ca0: ed071132  mov	w13, #0x18000
