; Candidate 11110
; ADRP+ADD at VM 0xfffffff008e69d38 (fileoff 0x1e65d38): page=0x1fe56f000 add_imm=0xd17

0xfffffff008e69cb8: 8a291033  bfi	w10, w12, #0x10, #0xb
0xfffffff008e69cbc: 0a2900b9  str	w10, [x8, #0x28]
0xfffffff008e69cc0: 6a691053  ubfx	w10, w11, #0x10, #0xb
0xfffffff008e69cc4: 09040034  cbz	w9, #0xfffffff008e69d44
0xfffffff008e69cc8: 6b291012  and	w11, w11, #0x7ff0000
0xfffffff008e69ccc: cb030034  cbz	w11, #0xfffffff008e69d44
0xfffffff008e69cd0: 13008052  mov	w19, #0
0xfffffff008e69cd4: 497d091b  mul	w9, w10, w9
0xfffffff008e69cd8: 0a00a252  mov	w10, #0x10000000
0xfffffff008e69cdc: 4909c91a  udiv	w9, w10, w9
0xfffffff008e69ce0: 0a3540b9  ldr	w10, [x8, #0x34]
0xfffffff008e69ce4: 2a6d0033  bfxil	w10, w9, #0, #0x1c
0xfffffff008e69ce8: 0a3500b9  str	w10, [x8, #0x34]
0xfffffff008e69cec: 1f000014  b	#0xfffffff008e69d68
0xfffffff008e69cf0: 6a2bfff0  adrp	x10, #0xfffffff0073d8000
0xfffffff008e69cf4: 4a153391  add	x10, x10, #0xcc5
0xfffffff008e69cf8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008e69cfc: ea0300f9  str	x10, [sp]
0xfffffff008e69d00: 602bfff0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e69d04: 009c3291  add	x0, x0, #0xca7
0xfffffff008e69d08: c6b4d397  bl	#0xfffffff008357020
0xfffffff008e69d0c: 88578052  mov	w8, #0x2bc
0xfffffff008e69d10: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008e69d14: 13710011  add	w19, w8, #0x1c
0xfffffff008e69d18: 14000014  b	#0xfffffff008e69d68
0xfffffff008e69d1c: 93578052  mov	w19, #0x2bc
0xfffffff008e69d20: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008e69d24: 28691053  ubfx	w8, w9, #0x10, #0xb
0xfffffff008e69d28: 692bfff0  adrp	x9, #0xfffffff0073d8000
0xfffffff008e69d2c: 29153391  add	x9, x9, #0xcc5
0xfffffff008e69d30: e92b00a9  stp	x9, x10, [sp]
0xfffffff008e69d34: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008e69d38: 602bfff0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e69d3c: 005c3491  add	x0, x0, #0xd17
0xfffffff008e69d40: 09000014  b	#0xfffffff008e69d64
0xfffffff008e69d44: 93578052  mov	w19, #0x2bc
0xfffffff008e69d48: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008e69d4c: 682bfff0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e69d50: 08153391  add	x8, x8, #0xcc5
0xfffffff008e69d54: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff008e69d58: e80300f9  str	x8, [sp]
0xfffffff008e69d5c: 602bfff0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e69d60: 00e43491  add	x0, x0, #0xd39
0xfffffff008e69d64: afb4d397  bl	#0xfffffff008357020
0xfffffff008e69d68: e00313aa  mov	x0, x19
0xfffffff008e69d6c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008e69d70: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008e69d74: ff030191  add	sp, sp, #0x40
0xfffffff008e69d78: ff0f5fd6  retab	
0xfffffff008e69d7c: 5f2403d5  bti	c
0xfffffff008e69d80: 00404239  ldrb	w0, [x0, #0x90]
0xfffffff008e69d84: c0035fd6  ret	
0xfffffff008e69d88: 7f2303d5  pacibsp	
0xfffffff008e69d8c: ffc301d1  sub	sp, sp, #0x70
0xfffffff008e69d90: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff008e69d94: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008e69d98: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008e69d9c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008e69da0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008e69da4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008e69da8: fd830191  add	x29, sp, #0x60
0xfffffff008e69dac: f70305aa  mov	x23, x5
0xfffffff008e69db0: f80304aa  mov	x24, x4
0xfffffff008e69db4: f90303aa  mov	x25, x3
