; Candidate 8692
; ADRP+ADD at VM 0xfffffff0088be2b4 (fileoff 0x18ba2b4): page=0x1fe92b000 add_imm=0xe80

0xfffffff0088be234: e1008052  mov	w1, #7
0xfffffff0088be238: 66f5fe97  bl	#0xfffffff00887b7d0
0xfffffff0088be23c: 40020034  cbz	w0, #0xfffffff0088be284
0xfffffff0088be240: c0088052  mov	w0, #0x46
0xfffffff0088be244: 75f5fe97  bl	#0xfffffff00887b818
0xfffffff0088be248: f60300aa  mov	x22, x0
0xfffffff0088be24c: d8d7ff97  bl	#0xfffffff0088b41ac
0xfffffff0088be250: f40300aa  mov	x20, x0
0xfffffff0088be254: e0008052  mov	w0, #7
0xfffffff0088be258: 7ef5fe97  bl	#0xfffffff00887b850
0xfffffff0088be25c: 96010034  cbz	w22, #0xfffffff0088be28c
0xfffffff0088be260: a89e61b9  ldr	w8, [x21, #0x219c]
0xfffffff0088be264: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088be268: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088be26c: c8088052  mov	w8, #0x46
0xfffffff0088be270: f42300a9  stp	x20, x8, [sp]
0xfffffff0088be274: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088be278: c04bff90  adrp	x0, #0xfffffff007236000
0xfffffff0088be27c: 00b40b91  add	x0, x0, #0x2ed
0xfffffff0088be280: 78e4d397  bl	#0xfffffff007db7460
0xfffffff0088be284: 16008052  mov	w22, #0
0xfffffff0088be288: bbffff17  b	#0xfffffff0088be174
0xfffffff0088be28c: c8d7ff97  bl	#0xfffffff0088b41ac
0xfffffff0088be290: f40300aa  mov	x20, x0
0xfffffff0088be294: e0008052  mov	w0, #7
0xfffffff0088be298: 6ef5fe97  bl	#0xfffffff00887b850
0xfffffff0088be29c: a89e61b9  ldr	w8, [x21, #0x219c]
0xfffffff0088be2a0: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088be2a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088be2a8: c8088052  mov	w8, #0x46
0xfffffff0088be2ac: f42300a9  stp	x20, x8, [sp]
0xfffffff0088be2b0: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088be2b4: 4049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088be2b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088be2bc: 418affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088be2c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088be2c4: 434dff90  adrp	x3, #0xfffffff007266000
0xfffffff0088be2c8: 63a80891  add	x3, x3, #0x22a
0xfffffff0088be2cc: 02008052  mov	w2, #0
0xfffffff0088be2d0: 98d3e997  bl	#0xfffffff008333130
0xfffffff0088be2d4: a8ffff17  b	#0xfffffff0088be174
0xfffffff0088be2d8: 7f2303d5  pacibsp	
0xfffffff0088be2dc: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088be2e0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0088be2e4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088be2e8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088be2ec: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088be2f0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0088be2f4: fd030291  add	x29, sp, #0x80
0xfffffff0088be2f8: f70303aa  mov	x23, x3
0xfffffff0088be2fc: f50302aa  mov	x21, x2
0xfffffff0088be300: f80301aa  mov	x24, x1
0xfffffff0088be304: f60300aa  mov	x22, x0
0xfffffff0088be308: 1a9c61b9  ldr	w26, [x0, #0x219c]
0xfffffff0088be30c: 59ff43d3  lsr	x25, x26, #3
0xfffffff0088be310: 808aff90  adrp	x0, #0xfffffff007a0e000
0xfffffff0088be314: 00600391  add	x0, x0, #0xd8
0xfffffff0088be318: 7760ea97  bl	#0xfffffff0083564f4
0xfffffff0088be31c: f30300aa  mov	x19, x0
0xfffffff0088be320: c80e5a8b  add	x8, x22, x26, lsr #3
0xfffffff0088be324: 09348452  mov	w9, #0x21a0
0xfffffff0088be328: 0101098b  add	x1, x8, x9
0xfffffff0088be32c: 08808052  mov	w8, #0x400
0xfffffff0088be330: 0201194b  sub	w2, w8, w25
