; Candidate 3145
; ADRP+ADD at VM 0xfffffff008716cac (fileoff 0x1712cac): page=0x1fea1b000 add_imm=0xd90

0xfffffff008716c2c: ff4301d1  sub	sp, sp, #0x50
0xfffffff008716c30: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008716c34: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008716c38: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008716c3c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008716c40: fd030191  add	x29, sp, #0x40
0xfffffff008716c44: f30301aa  mov	x19, x1
0xfffffff008716c48: f40300aa  mov	x20, x0
0xfffffff008716c4c: 080c40b9  ldr	w8, [x0, #0xc]
0xfffffff008716c50: 1511c05a  clz	w21, w8
0xfffffff008716c54: 15040034  cbz	w21, #0xfffffff008716cd4
0xfffffff008716c58: a1060011  add	w1, w21, #1
0xfffffff008716c5c: e00314aa  mov	x0, x20
0xfffffff008716c60: 02008052  mov	w2, #0
0xfffffff008716c64: 20f7ff97  bl	#0xfffffff0087148e4
0xfffffff008716c68: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff008716c6c: e903154b  neg	w9, w21
0xfffffff008716c70: 1625c91a  lsr	w22, w8, w9
0xfffffff008716c74: e00314aa  mov	x0, x20
0xfffffff008716c78: e10315aa  mov	x1, x21
0xfffffff008716c7c: 02008052  mov	w2, #0
0xfffffff008716c80: 19f7ff97  bl	#0xfffffff0087148e4
0xfffffff008716c84: 08008012  mov	w8, #-1
0xfffffff008716c88: 0821d51a  lsl	w8, w8, w21
0xfffffff008716c8c: e803282a  mvn	w8, w8
0xfffffff008716c90: c802080b  add	w8, w22, w8
0xfffffff008716c94: 68020039  strb	w8, [x19]
0xfffffff008716c98: 1f091b72  tst	w8, #0xe0
0xfffffff008716c9c: 60020054  b.eq	#0xfffffff008716ce8
0xfffffff008716ca0: e851fff0  adrp	x8, #0xfffffff007155000
0xfffffff008716ca4: 087d1991  add	x8, x8, #0x65f
0xfffffff008716ca8: e80300f9  str	x8, [sp]
0xfffffff008716cac: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008716cb0: 00403691  add	x0, x0, #0xd90
0xfffffff008716cb4: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008716cb8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008716cbc: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff008716cc0: 636c1891  add	x3, x3, #0x61b
0xfffffff008716cc4: 02008052  mov	w2, #0
0xfffffff008716cc8: 1a71f097  bl	#0xfffffff008333130
0xfffffff008716ccc: 00008012  mov	w0, #-1
0xfffffff008716cd0: 76000014  b	#0xfffffff008716ea8
0xfffffff008716cd4: e00314aa  mov	x0, x20
0xfffffff008716cd8: 21008052  mov	w1, #1
0xfffffff008716cdc: 02008052  mov	w2, #0
0xfffffff008716ce0: 01f7ff97  bl	#0xfffffff0087148e4
0xfffffff008716ce4: 7f020039  strb	wzr, [x19]
0xfffffff008716ce8: 880640f9  ldr	x8, [x20, #8]
0xfffffff008716cec: 15fd7cd3  lsr	x21, x8, #0x3c
0xfffffff008716cf0: e00314aa  mov	x0, x20
0xfffffff008716cf4: 81008052  mov	w1, #4
0xfffffff008716cf8: 02008052  mov	w2, #0
0xfffffff008716cfc: faf6ff97  bl	#0xfffffff0087148e4
0xfffffff008716d00: 68064039  ldrb	w8, [x19, #1]
0xfffffff008716d04: 080d1c12  and	w8, w8, #0xf0
0xfffffff008716d08: 0801152a  orr	w8, w8, w21
0xfffffff008716d0c: 68060039  strb	w8, [x19, #1]
0xfffffff008716d10: 953e4039  ldrb	w21, [x20, #0xf]
0xfffffff008716d14: e00314aa  mov	x0, x20
0xfffffff008716d18: 81008052  mov	w1, #4
0xfffffff008716d1c: 02008052  mov	w2, #0
0xfffffff008716d20: f1f6ff97  bl	#0xfffffff0087148e4
0xfffffff008716d24: 160080d2  mov	x22, #0
0xfffffff008716d28: 68064039  ldrb	w8, [x19, #1]
