; Candidate 10571
; ADRP+ADD at VM 0xfffffff008dde778 (fileoff 0x1dda778): page=0x1fe5e6000 add_imm=0xe15

0xfffffff008dde6f8: e20313aa  mov	x2, x19
0xfffffff008dde6fc: 840e8052  mov	w4, #0x74
0xfffffff008dde700: 72210094  bl	#0xfffffff008de6cc8
0xfffffff008dde704: e00314aa  mov	x0, x20
0xfffffff008dde708: e10313aa  mov	x1, x19
0xfffffff008dde70c: 18210094  bl	#0xfffffff008de6b6c
0xfffffff008dde710: f9000034  cbz	w25, #0xfffffff008dde72c
0xfffffff008dde714: 287f4093  sxtw	x8, w25
0xfffffff008dde718: fc7300a9  stp	x28, x28, [sp]
0xfffffff008dde71c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008dde720: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dde724: 00503591  add	x0, x0, #0xd54
0xfffffff008dde728: 3ee2d597  bl	#0xfffffff008357020
0xfffffff008dde72c: e00319aa  mov	x0, x25
0xfffffff008dde730: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008dde734: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008dde738: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008dde73c: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008dde740: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008dde744: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008dde748: ffc30291  add	sp, sp, #0xb0
0xfffffff008dde74c: ff0f5fd6  retab	
0xfffffff008dde750: 880c8052  mov	w8, #0x64
0xfffffff008dde754: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008dde758: 297d0891  add	x9, x9, #0x21f
0xfffffff008dde75c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008dde760: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dde764: 08493991  add	x8, x8, #0xe52
0xfffffff008dde768: 0a2ffff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008dde76c: 4a2d0a91  add	x10, x10, #0x28b
0xfffffff008dde770: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008dde774: ea0300f9  str	x10, [sp]
0xfffffff008dde778: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dde77c: 00543891  add	x0, x0, #0xe15
0xfffffff008dde780: 28e2d597  bl	#0xfffffff008357020
0xfffffff008dde784: 99008012  mov	w25, #-5
0xfffffff008dde788: e3ffff17  b	#0xfffffff008dde714
0xfffffff008dde78c: a80d8052  mov	w8, #0x6d
0xfffffff008dde790: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008dde794: 297d0891  add	x9, x9, #0x21f
0xfffffff008dde798: e81300f9  str	x8, [sp, #0x20]
0xfffffff008dde79c: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dde7a0: 08493991  add	x8, x8, #0xe52
0xfffffff008dde7a4: 0a2ffff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008dde7a8: 4aa10a91  add	x10, x10, #0x2a8
0xfffffff008dde7ac: 58000014  b	#0xfffffff008dde90c
0xfffffff008dde7b0: 68048052  mov	w8, #0x23
0xfffffff008dde7b4: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008dde7b8: 297d0891  add	x9, x9, #0x21f
0xfffffff008dde7bc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008dde7c0: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dde7c4: 08493991  add	x8, x8, #0xe52
0xfffffff008dde7c8: 0a2ffff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008dde7cc: 4a510c91  add	x10, x10, #0x314
0xfffffff008dde7d0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008dde7d4: ea0300f9  str	x10, [sp]
0xfffffff008dde7d8: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dde7dc: 00543891  add	x0, x0, #0xe15
0xfffffff008dde7e0: 10e2d597  bl	#0xfffffff008357020
0xfffffff008dde7e4: 99008012  mov	w25, #-5
0xfffffff008dde7e8: 1c2ffff0  adrp	x28, #0xfffffff0073c1000
0xfffffff008dde7ec: 9c1b0691  add	x28, x28, #0x186
0xfffffff008dde7f0: a7ffff17  b	#0xfffffff008dde68c
0xfffffff008dde7f4: e80319aa  mov	x8, x25
