; Candidate 7232
; ADRP+ADD at VM 0xfffffff008861824 (fileoff 0x185d824): page=0x1fe988000 add_imm=0xe80

0xfffffff0088617a4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088617a8: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088617ac: 08811191  add	x8, x8, #0x460
0xfffffff0088617b0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088617b4: 680c8052  mov	w8, #0x63
0xfffffff0088617b8: a34fff90  adrp	x3, #0xfffffff007255000
0xfffffff0088617bc: 63443f91  add	x3, x3, #0xfd1
0xfffffff0088617c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088617c4: f60300f9  str	x22, [sp]
0xfffffff0088617c8: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088617cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088617d0: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088617d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088617d8: 02008052  mov	w2, #0
0xfffffff0088617dc: 5546eb97  bl	#0xfffffff008333130
0xfffffff0088617e0: aefcff17  b	#0xfffffff008860a98
0xfffffff0088617e4: 724a0194  bl	#0xfffffff0088b41ac
0xfffffff0088617e8: f60300aa  mov	x22, x0
0xfffffff0088617ec: 80008052  mov	w0, #4
0xfffffff0088617f0: 18680094  bl	#0xfffffff00887b850
0xfffffff0088617f4: e8031aaa  mov	x8, x26
0xfffffff0088617f8: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088617fc: e8178052  mov	w8, #0xbf
0xfffffff008861800: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff008861804: 29892c91  add	x9, x9, #0xb22
0xfffffff008861808: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00886180c: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861810: 08811191  add	x8, x8, #0x460
0xfffffff008861814: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008861818: 680c8052  mov	w8, #0x63
0xfffffff00886181c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008861820: f60300f9  str	x22, [sp]
0xfffffff008861824: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861828: 00003a91  add	x0, x0, #0xe80
0xfffffff00886182c: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861830: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861834: a34fff90  adrp	x3, #0xfffffff007255000
0xfffffff008861838: 635c3e91  add	x3, x3, #0xf97
0xfffffff00886183c: 02008052  mov	w2, #0
0xfffffff008861840: 3c46eb97  bl	#0xfffffff008333130
0xfffffff008861844: 70feff17  b	#0xfffffff008861204
0xfffffff008861848: f70314aa  mov	x23, x20
0xfffffff00886184c: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff008861850: 21008052  mov	w1, #1
0xfffffff008861854: ba820094  bl	#0xfffffff00888233c
0xfffffff008861858: 20080034  cbz	w0, #0xfffffff00886195c
0xfffffff00886185c: fc0300aa  mov	x28, x0
0xfffffff008861860: 600c8052  mov	w0, #0x63
0xfffffff008861864: 81008052  mov	w1, #4
0xfffffff008861868: da670094  bl	#0xfffffff00887b7d0
0xfffffff00886186c: e0ccff34  cbz	w0, #0xfffffff008861208
0xfffffff008861870: 600c8052  mov	w0, #0x63
0xfffffff008861874: e9670094  bl	#0xfffffff00887b818
0xfffffff008861878: f60300aa  mov	x22, x0
0xfffffff00886187c: 4c4a0194  bl	#0xfffffff0088b41ac
0xfffffff008861880: f40300aa  mov	x20, x0
0xfffffff008861884: 80008052  mov	w0, #4
0xfffffff008861888: f2670094  bl	#0xfffffff00887b850
0xfffffff00886188c: f60b0034  cbz	w22, #0xfffffff008861a08
0xfffffff008861890: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff008861894: 693a40f9  ldr	x9, [x19, #0x70]
0xfffffff008861898: ea031caa  mov	x10, x28
0xfffffff00886189c: e92b05a9  stp	x9, x10, [sp, #0x50]
0xfffffff0088618a0: e9031aaa  mov	x9, x26
