; Candidate 10310
; ADRP+ADD at VM 0xfffffff008ceae5c (fileoff 0x1ce6e5c): page=0x1fe689000 add_imm=0xcfd

0xfffffff008ceaddc: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008ceade0: e90310aa  mov	x9, x16
0xfffffff008ceade4: e00316aa  mov	x0, x22
0xfffffff008ceade8: f10309aa  mov	x17, x9
0xfffffff008ceadec: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008ceadf0: 11093fd7  blraa	x8, x17
0xfffffff008ceadf4: e10300aa  mov	x1, x0
0xfffffff008ceadf8: e203152a  mov	w2, w21
0xfffffff008ceadfc: e00314aa  mov	x0, x20
0xfffffff008ceae00: e486c197  bl	#0xfffffff007d4c990
0xfffffff008ceae04: 00008052  mov	w0, #0
0xfffffff008ceae08: 750200b9  str	w21, [x19]
0xfffffff008ceae0c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008ceae10: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008ceae14: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008ceae18: ff0f5fd6  retab	
0xfffffff008ceae1c: 7f2303d5  pacibsp	
0xfffffff008ceae20: ffc301d1  sub	sp, sp, #0x70
0xfffffff008ceae24: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008ceae28: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008ceae2c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008ceae30: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008ceae34: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008ceae38: fd830191  add	x29, sp, #0x60
0xfffffff008ceae3c: f80302aa  mov	x24, x2
0xfffffff008ceae40: f90301aa  mov	x25, x1
0xfffffff008ceae44: fa0300aa  mov	x26, x0
0xfffffff008ceae48: a86effb0  adrp	x8, #0xfffffff007abf000
0xfffffff008ceae4c: 089d40f9  ldr	x8, [x8, #0x138]
0xfffffff008ceae50: 080140f9  ldr	x8, [x8]
0xfffffff008ceae54: e80f00f9  str	x8, [sp, #0x18]
0xfffffff008ceae58: ffff00a9  stp	xzr, xzr, [sp, #8]
0xfffffff008ceae5c: 4034ffb0  adrp	x0, #0xfffffff007373000
0xfffffff008ceae60: 00f43391  add	x0, x0, #0xcfd
0xfffffff008ceae64: 8dffff97  bl	#0xfffffff008ceac98
0xfffffff008ceae68: 4034ffb0  adrp	x0, #0xfffffff007373000
0xfffffff008ceae6c: 004c3591  add	x0, x0, #0xd53
0xfffffff008ceae70: 010080d2  mov	x1, #0
0xfffffff008ceae74: be7eda97  bl	#0xfffffff00838a96c
0xfffffff008ceae78: f40300aa  mov	x20, x0
0xfffffff008ceae7c: 01008092  mov	x1, #-1
0xfffffff008ceae80: c37bda97  bl	#0xfffffff008389d8c
0xfffffff008ceae84: f30300aa  mov	x19, x0
0xfffffff008ceae88: 800700b4  cbz	x0, #0xfffffff008ceaf78
0xfffffff008ceae8c: 4034ffb0  adrp	x0, #0xfffffff007373000
0xfffffff008ceae90: 00d03591  add	x0, x0, #0xd74
0xfffffff008ceae94: 010080d2  mov	x1, #0
0xfffffff008ceae98: 7e7cda97  bl	#0xfffffff00838a090
0xfffffff008ceae9c: f60300aa  mov	x22, x0
0xfffffff008ceaea0: 01008092  mov	x1, #-1
0xfffffff008ceaea4: ba7bda97  bl	#0xfffffff008389d8c
0xfffffff008ceaea8: f70300aa  mov	x23, x0
0xfffffff008ceaeac: c00700b4  cbz	x0, #0xfffffff008ceafa4
0xfffffff008ceaeb0: e0031aaa  mov	x0, x26
0xfffffff008ceaeb4: e1f8d897  bl	#0xfffffff008329238
0xfffffff008ceaeb8: f50300aa  mov	x21, x0
0xfffffff008ceaebc: 600800b4  cbz	x0, #0xfffffff008ceafc8
0xfffffff008ceaec0: b90800b4  cbz	x25, #0xfffffff008ceafd4
0xfffffff008ceaec4: e00319aa  mov	x0, x25
0xfffffff008ceaec8: e10318aa  mov	x1, x24
0xfffffff008ceaecc: 910bd897  bl	#0xfffffff0082edd10
0xfffffff008ceaed0: f80300aa  mov	x24, x0
0xfffffff008ceaed4: e00b00b4  cbz	x0, #0xfffffff008ceb050
0xfffffff008ceaed8: f8d700a9  stp	x24, x21, [sp, #8]
