; Candidate 4021
; ADRP+ADD at VM 0xfffffff0087856b8 (fileoff 0x17816b8): page=0x1fe9ac000 add_imm=0xd90

0xfffffff008785638: 41070011  add	w1, w26, #1
0xfffffff00878563c: 700240f9  ldr	x16, [x19]
0xfffffff008785640: f10313aa  mov	x17, x19
0xfffffff008785644: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff008785648: 301ac1da  autda	x16, x17
0xfffffff00878564c: 080e44f8  ldr	x8, [x16, #0x40]!
0xfffffff008785650: e90310aa  mov	x9, x16
0xfffffff008785654: e00313aa  mov	x0, x19
0xfffffff008785658: a24356b8  ldur	w2, [x29, #-0x9c]
0xfffffff00878565c: f10309aa  mov	x17, x9
0xfffffff008785660: 71d7fef2  movk	x17, #0xf6bb, lsl #48
0xfffffff008785664: 11093fd7  blraa	x8, x17
0xfffffff008785668: ff7b00b9  str	wzr, [sp, #0x78]
0xfffffff00878566c: f57f40b9  ldr	w21, [sp, #0x7c]
0xfffffff008785670: a80357f8  ldur	x8, [x29, #-0x90]
0xfffffff008785674: 1c0940f9  ldr	x28, [x8, #0x10]
0xfffffff008785678: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff00878567c: 0941388b  add	x9, x8, w24, uxtw
0xfffffff008785680: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008785684: c90300b4  cbz	x9, #0xfffffff0087856fc
0xfffffff008785688: 09c98052  mov	w9, #0x648
0xfffffff00878568c: 484effd0  adrp	x8, #0xfffffff00714f000
0xfffffff008785690: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008785694: e82700a9  stp	x8, x9, [sp]
0xfffffff008785698: f77700b9  str	w23, [sp, #0x74]
0xfffffff00878569c: f70315aa  mov	x23, x21
0xfffffff0087856a0: f50313aa  mov	x21, x19
0xfffffff0087856a4: f3031aaa  mov	x19, x26
0xfffffff0087856a8: fa031baa  mov	x26, x27
0xfffffff0087856ac: fb0316aa  mov	x27, x22
0xfffffff0087856b0: f60318aa  mov	x22, x24
0xfffffff0087856b4: f80300aa  mov	x24, x0
0xfffffff0087856b8: 604dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087856bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087856c0: c193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087856c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087856c8: 02008052  mov	w2, #0
0xfffffff0087856cc: 034eff90  adrp	x3, #0xfffffff007145000
0xfffffff0087856d0: 63342091  add	x3, x3, #0x80d
0xfffffff0087856d4: 97b6ee97  bl	#0xfffffff008333130
0xfffffff0087856d8: e00318aa  mov	x0, x24
0xfffffff0087856dc: f80316aa  mov	x24, x22
0xfffffff0087856e0: f6031baa  mov	x22, x27
0xfffffff0087856e4: fb031aaa  mov	x27, x26
0xfffffff0087856e8: fa0313aa  mov	x26, x19
0xfffffff0087856ec: f30315aa  mov	x19, x21
0xfffffff0087856f0: f50317aa  mov	x21, x23
0xfffffff0087856f4: f77740b9  ldr	w23, [sp, #0x74]
0xfffffff0087856f8: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff0087856fc: 0803080b  add	w8, w24, w8
0xfffffff008785700: 880308ab  adds	x8, x28, x8
0xfffffff008785704: a21c0054  b.hs	#0xfffffff008785a98
0xfffffff008785708: 28df0229  stp	w8, w23, [x25, #0x14]
0xfffffff00878570c: f802180b  add	w24, w23, w24
0xfffffff008785710: 57070011  add	w23, w26, #1
0xfffffff008785714: e8a340b9  ldr	w8, [sp, #0xa0]
0xfffffff008785718: ff02086b  cmp	w23, w8
0xfffffff00878571c: fc0300aa  mov	x28, x0
0xfffffff008785720: 42020054  b.hs	#0xfffffff008785768
0xfffffff008785724: 700240f9  ldr	x16, [x19]
0xfffffff008785728: f10313aa  mov	x17, x19
0xfffffff00878572c: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff008785730: 301ac1da  autda	x16, x17
0xfffffff008785734: 080e44f8  ldr	x8, [x16, #0x40]!
