; Candidate 4695
; ADRP+ADD at VM 0xfffffff0087c2d3c (fileoff 0x17bed3c): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c2cbc: 14008012  mov	w20, #-1
0xfffffff0087c2cc0: e00313aa  mov	x0, x19
0xfffffff0087c2cc4: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2cc8: 21343091  add	x1, x1, #0xc0d
0xfffffff0087c2ccc: 02018052  mov	w2, #8
0xfffffff0087c2cd0: 7ce1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2cd4: 604e30b9  str	w0, [x19, #0x304c]
0xfffffff0087c2cd8: 1f000471  cmp	w0, #0x100
0xfffffff0087c2cdc: a3010054  b.lo	#0xfffffff0087c2d10
0xfffffff0087c2ce0: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2ce4: 08793091  add	x8, x8, #0xc1e
0xfffffff0087c2ce8: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c2cec: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2cf0: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2cf4: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2cf8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2cfc: 02008052  mov	w2, #0
0xfffffff0087c2d00: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2d04: 63883d91  add	x3, x3, #0xf62
0xfffffff0087c2d08: 0ac1ed97  bl	#0xfffffff008333130
0xfffffff0087c2d0c: 44000014  b	#0xfffffff0087c2e1c
0xfffffff0087c2d10: e00313aa  mov	x0, x19
0xfffffff0087c2d14: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2d18: 21b83091  add	x1, x1, #0xc2e
0xfffffff0087c2d1c: 02018052  mov	w2, #8
0xfffffff0087c2d20: 68e1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2d24: 605230b9  str	w0, [x19, #0x3050]
0xfffffff0087c2d28: 1f000471  cmp	w0, #0x100
0xfffffff0087c2d2c: a3010054  b.lo	#0xfffffff0087c2d60
0xfffffff0087c2d30: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2d34: 08793091  add	x8, x8, #0xc1e
0xfffffff0087c2d38: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c2d3c: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2d40: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2d44: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2d48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2d4c: 02008052  mov	w2, #0
0xfffffff0087c2d50: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2d54: 63203e91  add	x3, x3, #0xf88
0xfffffff0087c2d58: f6c0ed97  bl	#0xfffffff008333130
0xfffffff0087c2d5c: 30000014  b	#0xfffffff0087c2e1c
0xfffffff0087c2d60: e00313aa  mov	x0, x19
0xfffffff0087c2d64: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2d68: 21f83091  add	x1, x1, #0xc3e
0xfffffff0087c2d6c: 02018052  mov	w2, #8
0xfffffff0087c2d70: 54e1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2d74: 605630b9  str	w0, [x19, #0x3054]
0xfffffff0087c2d78: 1f000471  cmp	w0, #0x100
0xfffffff0087c2d7c: a3010054  b.lo	#0xfffffff0087c2db0
0xfffffff0087c2d80: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2d84: 08793091  add	x8, x8, #0xc1e
0xfffffff0087c2d88: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c2d8c: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2d90: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2d94: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2d98: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2d9c: 02008052  mov	w2, #0
0xfffffff0087c2da0: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2da4: 63b83e91  add	x3, x3, #0xfae
0xfffffff0087c2da8: e2c0ed97  bl	#0xfffffff008333130
0xfffffff0087c2dac: 1c000014  b	#0xfffffff0087c2e1c
0xfffffff0087c2db0: e00313aa  mov	x0, x19
0xfffffff0087c2db4: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2db8: 21383191  add	x1, x1, #0xc4e
