; Candidate 13482
; ADRP+ADD at VM 0xfffffff0092fe088 (fileoff 0x22fa088): page=0x1fe8b5000 add_imm=0xd48

0xfffffff0092fe008: 10421891  add	x16, x16, #0x610
0xfffffff0092fe00c: 10420091  add	x16, x16, #0x10
0xfffffff0092fe010: f10300aa  mov	x17, x0
0xfffffff0092fe014: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092fe018: 300ac1da  pacda	x16, x17
0xfffffff0092fe01c: 100000f9  str	x16, [x0]
0xfffffff0092fe020: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092fe024: ff0f5fd6  retab	
0xfffffff0092fe028: 5f2403d5  bti	c
0xfffffff0092fe02c: d7150314  b	#0xfffffff0093c3788
0xfffffff0092fe030: 5f2403d5  bti	c
0xfffffff0092fe034: d5150314  b	#0xfffffff0093c3788
0xfffffff0092fe038: 7f2303d5  pacibsp	
0xfffffff0092fe03c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0092fe040: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0092fe044: fd430091  add	x29, sp, #0x10
0xfffffff0092fe048: f30300aa  mov	x19, x0
0xfffffff0092fe04c: cf150394  bl	#0xfffffff0093c3788
0xfffffff0092fe050: a045ffb0  adrp	x0, #0xfffffff007bb3000
0xfffffff0092fe054: 00203591  add	x0, x0, #0xd48
0xfffffff0092fe058: e10313aa  mov	x1, x19
0xfffffff0092fe05c: 022a8052  mov	w2, #0x150
0xfffffff0092fe060: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0092fe064: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0092fe068: ff2303d5  autibsp	
0xfffffff0092fe06c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0092fe070: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0092fe078
0xfffffff0092fe074: 208e38d4  brk	#0xc471
0xfffffff0092fe078: 89a5bf17  b	#0xfffffff0082e769c
0xfffffff0092fe07c: 5f2403d5  bti	c
0xfffffff0092fe080: e20301aa  mov	x2, x1
0xfffffff0092fe084: e10300aa  mov	x1, x0
0xfffffff0092fe088: a045ffb0  adrp	x0, #0xfffffff007bb3000
0xfffffff0092fe08c: 00203591  add	x0, x0, #0xd48
0xfffffff0092fe090: 83a5bf17  b	#0xfffffff0082e769c
0xfffffff0092fe094: 5f2403d5  bti	c
0xfffffff0092fe098: 008400b0  adrp	x0, #0xfffffff00a37f000
0xfffffff0092fe09c: 00a00e91  add	x0, x0, #0x3a8
0xfffffff0092fe0a0: c0035fd6  ret	
0xfffffff0092fe0a4: 7f2303d5  pacibsp	
0xfffffff0092fe0a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092fe0ac: fd030091  mov	x29, sp
0xfffffff0092fe0b0: c10fff90  adrp	x1, #0xfffffff0074f6000
0xfffffff0092fe0b4: 21ec1b91  add	x1, x1, #0x6fb
0xfffffff0092fe0b8: a245ff90  adrp	x2, #0xfffffff007bb2000
0xfffffff0092fe0bc: 427447f9  ldr	x2, [x2, #0xee8]
0xfffffff0092fe0c0: 032a8052  mov	w3, #0x150
0xfffffff0092fe0c4: 9d96bf97  bl	#0xfffffff0082e3b38
0xfffffff0092fe0c8: b045ffb0  adrp	x16, #0xfffffff007bb3000
0xfffffff0092fe0cc: 10023291  add	x16, x16, #0xc80
0xfffffff0092fe0d0: 10420091  add	x16, x16, #0x10
0xfffffff0092fe0d4: f10300aa  mov	x17, x0
0xfffffff0092fe0d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092fe0dc: 300ac1da  pacda	x16, x17
0xfffffff0092fe0e0: 100000f9  str	x16, [x0]
0xfffffff0092fe0e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092fe0e8: ff0f5fd6  retab	
0xfffffff0092fe0ec: 7f2303d5  pacibsp	
0xfffffff0092fe0f0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0092fe0f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0092fe0f8: fd430091  add	x29, sp, #0x10
0xfffffff0092fe0fc: a045ffb0  adrp	x0, #0xfffffff007bb3000
0xfffffff0092fe100: 00203591  add	x0, x0, #0xd48
0xfffffff0092fe104: 012a8052  mov	w1, #0x150
