; Candidate 4698
; ADRP+ADD at VM 0xfffffff0087c2e74 (fileoff 0x17bee74): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c2df4: 63503f91  add	x3, x3, #0xfd4
0xfffffff0087c2df8: cec0ed97  bl	#0xfffffff008333130
0xfffffff0087c2dfc: 08000014  b	#0xfffffff0087c2e1c
0xfffffff0087c2e00: 08701d53  lsl	w8, w0, #3
0xfffffff0087c2e04: 02210011  add	w2, w8, #8
0xfffffff0087c2e08: e00313aa  mov	x0, x19
0xfffffff0087c2e0c: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2e10: 21943191  add	x1, x1, #0xc65
0xfffffff0087c2e14: 2be1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2e18: 605e30b9  str	w0, [x19, #0x305c]
0xfffffff0087c2e1c: 684a70b9  ldr	w8, [x19, #0x3048]
0xfffffff0087c2e20: 94060011  add	w20, w20, #1
0xfffffff0087c2e24: 37008052  mov	w23, #1
0xfffffff0087c2e28: 9f02086b  cmp	w20, w8
0xfffffff0087c2e2c: abf4ff54  b.lt	#0xfffffff0087c2cc0
0xfffffff0087c2e30: eefdff17  b	#0xfffffff0087c25e8
0xfffffff0087c2e34: 8803174b  sub	w8, w28, w23
0xfffffff0087c2e38: 8142378b  add	x1, x20, w23, uxtw
0xfffffff0087c2e3c: 613618f9  str	x1, [x19, #0x3068]
0xfffffff0087c2e40: 3400088b  add	x20, x1, x8
0xfffffff0087c2e44: e00313aa  mov	x0, x19
0xfffffff0087c2e48: e20314aa  mov	x2, x20
0xfffffff0087c2e4c: e3031baa  mov	x3, x27
0xfffffff0087c2e50: f70319aa  mov	x23, x25
0xfffffff0087c2e54: e40317aa  mov	x4, x23
0xfffffff0087c2e58: e50315aa  mov	x5, x21
0xfffffff0087c2e5c: c5f3ff97  bl	#0xfffffff0087bfd70
0xfffffff0087c2e60: 00370034  cbz	w0, #0xfffffff0087c3540
0xfffffff0087c2e64: 89908252  mov	w9, #0x1484
0xfffffff0087c2e68: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2e6c: 08a11d91  add	x8, x8, #0x768
0xfffffff0087c2e70: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c2e74: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2e78: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2e7c: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2e80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2e84: 02008052  mov	w2, #0
0xfffffff0087c2e88: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2e8c: 634c2891  add	x3, x3, #0xa13
0xfffffff0087c2e90: a8c0ed97  bl	#0xfffffff008333130
0xfffffff0087c2e94: 17008052  mov	w23, #0
0xfffffff0087c2e98: d1feff17  b	#0xfffffff0087c29dc
0xfffffff0087c2e9c: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2ea0: 08591891  add	x8, x8, #0x616
0xfffffff0087c2ea4: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087c2ea8: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2eac: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2eb0: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2eb4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2eb8: 02008052  mov	w2, #0
0xfffffff0087c2ebc: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2ec0: 63901891  add	x3, x3, #0x624
0xfffffff0087c2ec4: 9bc0ed97  bl	#0xfffffff008333130
0xfffffff0087c2ec8: b5000014  b	#0xfffffff0087c319c
0xfffffff0087c2ecc: e00313aa  mov	x0, x19
0xfffffff0087c2ed0: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2ed4: 21b81e91  add	x1, x1, #0x7ae
0xfffffff0087c2ed8: e24b40b9  ldr	w2, [sp, #0x48]
0xfffffff0087c2edc: f9e0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2ee0: 8031f837  tbnz	w0, #0x1f, #0xfffffff0087c3510
0xfffffff0087c2ee4: 1f00176b  cmp	w0, w23
0xfffffff0087c2ee8: 4c310054  b.gt	#0xfffffff0087c3510
0xfffffff0087c2eec: eb5740b9  ldr	w11, [sp, #0x54]
0xfffffff0087c2ef0: 6cfdff17  b	#0xfffffff0087c24a0
