; Candidate 5081
; ADRP+ADD at VM 0xfffffff0087d6d20 (fileoff 0x17d2d20): page=0x1fea3b000 add_imm=0xed5

0xfffffff0087d6ca0: 3801791e  fcvtzu	w24, d9
0xfffffff0087d6ca4: 680bd51a  udiv	w8, w27, w21
0xfffffff0087d6ca8: 14ed151b  msub	w20, w8, w21, w27
0xfffffff0087d6cac: 53040034  cbz	w19, #0xfffffff0087d6d34
0xfffffff0087d6cb0: 807b74fc  ldr	d0, [x28, x20, lsl #3]
0xfffffff0087d6cb4: 0800791e  fcvtzu	w8, d0
0xfffffff0087d6cb8: 69070051  sub	w9, w27, #1
0xfffffff0087d6cbc: 2a09d51a  udiv	w10, w9, w21
0xfffffff0087d6cc0: 49a5151b  msub	w9, w10, w21, w9
0xfffffff0087d6cc4: 805b69fc  ldr	d0, [x28, w9, uxtw #3]
0xfffffff0087d6cc8: 0900791e  fcvtzu	w9, d0
0xfffffff0087d6ccc: 6a0b0051  sub	w10, w27, #2
0xfffffff0087d6cd0: 4b09d51a  udiv	w11, w10, w21
0xfffffff0087d6cd4: 6aa9151b  msub	w10, w11, w21, w10
0xfffffff0087d6cd8: 805b6afc  ldr	d0, [x28, w10, uxtw #3]
0xfffffff0087d6cdc: 0a00791e  fcvtzu	w10, d0
0xfffffff0087d6ce0: 6b0f0051  sub	w11, w27, #3
0xfffffff0087d6ce4: 6c09d51a  udiv	w12, w11, w21
0xfffffff0087d6ce8: 8bad151b  msub	w11, w12, w21, w11
0xfffffff0087d6cec: 805b6bfc  ldr	d0, [x28, w11, uxtw #3]
0xfffffff0087d6cf0: 0b00791e  fcvtzu	w11, d0
0xfffffff0087d6cf4: 6c130051  sub	w12, w27, #4
0xfffffff0087d6cf8: 8d09d51a  udiv	w13, w12, w21
0xfffffff0087d6cfc: acb1151b  msub	w12, w13, w21, w12
0xfffffff0087d6d00: 805b6cfc  ldr	d0, [x28, w12, uxtw #3]
0xfffffff0087d6d04: 0c00791e  fcvtzu	w12, d0
0xfffffff0087d6d08: ebb304a9  stp	x11, x12, [sp, #0x48]
0xfffffff0087d6d0c: e9ab03a9  stp	x9, x10, [sp, #0x38]
0xfffffff0087d6d10: fba302a9  stp	x27, x8, [sp, #0x28]
0xfffffff0087d6d14: f7e301a9  stp	x23, x24, [sp, #0x18]
0xfffffff0087d6d18: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d6d1c: 680f8052  mov	w8, #0x7b
0xfffffff0087d6d20: c051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d6d24: 00543b91  add	x0, x0, #0xed5
0xfffffff0087d6d28: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d6d2c: cd81d797  bl	#0xfffffff007db7460
0xfffffff0087d6d30: 2b000014  b	#0xfffffff0087d6ddc
0xfffffff0087d6d34: 68070051  sub	w8, w27, #1
0xfffffff0087d6d38: 0909d51a  udiv	w9, w8, w21
0xfffffff0087d6d3c: 36a1151b  msub	w22, w9, w21, w8
0xfffffff0087d6d40: 680b0051  sub	w8, w27, #2
0xfffffff0087d6d44: 0909d51a  udiv	w9, w8, w21
0xfffffff0087d6d48: 39a1151b  msub	w25, w9, w21, w8
0xfffffff0087d6d4c: 680f0051  sub	w8, w27, #3
0xfffffff0087d6d50: 0909d51a  udiv	w9, w8, w21
0xfffffff0087d6d54: 3aa1151b  msub	w26, w9, w21, w8
0xfffffff0087d6d58: 68130051  sub	w8, w27, #4
0xfffffff0087d6d5c: 0909d51a  udiv	w9, w8, w21
0xfffffff0087d6d60: 35a1151b  msub	w21, w9, w21, w8
0xfffffff0087d6d64: 12750394  bl	#0xfffffff0088b41ac
0xfffffff0087d6d68: f30300aa  mov	x19, x0
0xfffffff0087d6d6c: e0008052  mov	w0, #7
0xfffffff0087d6d70: b8920294  bl	#0xfffffff00887b850
0xfffffff0087d6d74: 807b74fc  ldr	d0, [x28, x20, lsl #3]
0xfffffff0087d6d78: 0800791e  fcvtzu	w8, d0
0xfffffff0087d6d7c: 805b76fc  ldr	d0, [x28, w22, uxtw #3]
0xfffffff0087d6d80: 0900791e  fcvtzu	w9, d0
0xfffffff0087d6d84: 805b79fc  ldr	d0, [x28, w25, uxtw #3]
0xfffffff0087d6d88: 0a00791e  fcvtzu	w10, d0
0xfffffff0087d6d8c: 805b7afc  ldr	d0, [x28, w26, uxtw #3]
0xfffffff0087d6d90: 0b00791e  fcvtzu	w11, d0
0xfffffff0087d6d94: 805b75fc  ldr	d0, [x28, w21, uxtw #3]
0xfffffff0087d6d98: 0c00791e  fcvtzu	w12, d0
0xfffffff0087d6d9c: ebb304a9  stp	x11, x12, [sp, #0x48]
