; Candidate 3915
; ADRP+ADD at VM 0xfffffff0087731d0 (fileoff 0x176f1d0): page=0x1fe9be000 add_imm=0xd90

0xfffffff008773150: 943e0691  add	x20, x20, #0x18f
0xfffffff008773154: 600100b5  cbnz	x0, #0xfffffff008773180
0xfffffff008773158: a8078052  mov	w8, #0x3d
0xfffffff00877315c: f42300a9  stp	x20, x8, [sp]
0xfffffff008773160: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff008773164: 00403691  add	x0, x0, #0xd90
0xfffffff008773168: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877316c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008773170: 834eff90  adrp	x3, #0xfffffff007143000
0xfffffff008773174: 63bc3e91  add	x3, x3, #0xfaf
0xfffffff008773178: 02008052  mov	w2, #0
0xfffffff00877317c: edffee97  bl	#0xfffffff008333130
0xfffffff008773180: 08008852  mov	w8, #0x4000
0xfffffff008773184: 689600f9  str	x8, [x19, #0x128]
0xfffffff008773188: a094ff90  adrp	x0, #0xfffffff007a07000
0xfffffff00877318c: 00201891  add	x0, x0, #0x608
0xfffffff008773190: 2100a052  mov	w1, #0x10000
0xfffffff008773194: 0f8fef97  bl	#0xfffffff008356dd0
0xfffffff008773198: 609200f9  str	x0, [x19, #0x120]
0xfffffff00877319c: 600100b5  cbnz	x0, #0xfffffff0087731c8
0xfffffff0087731a0: 88088052  mov	w8, #0x44
0xfffffff0087731a4: f42300a9  stp	x20, x8, [sp]
0xfffffff0087731a8: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087731ac: 00403691  add	x0, x0, #0xd90
0xfffffff0087731b0: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087731b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087731b8: 834eff90  adrp	x3, #0xfffffff007143000
0xfffffff0087731bc: 63883f91  add	x3, x3, #0xfe2
0xfffffff0087731c0: 02008052  mov	w2, #0
0xfffffff0087731c4: dbffee97  bl	#0xfffffff008333130
0xfffffff0087731c8: 7f622339  strb	wzr, [x19, #0x8d8]
0xfffffff0087731cc: f40300f9  str	x20, [sp]
0xfffffff0087731d0: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087731d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087731d8: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087731dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087731e0: 834effb0  adrp	x3, #0xfffffff007144000
0xfffffff0087731e4: 63540091  add	x3, x3, #0x15
0xfffffff0087731e8: 02008052  mov	w2, #0
0xfffffff0087731ec: d1ffee97  bl	#0xfffffff008333130
0xfffffff0087731f0: e00313aa  mov	x0, x19
0xfffffff0087731f4: 0b000094  bl	#0xfffffff008773220
0xfffffff0087731f8: 28008052  mov	w8, #1
0xfffffff0087731fc: 68622339  strb	w8, [x19, #0x8d8]
0xfffffff008773200: 89008052  mov	w9, #4
0xfffffff008773204: 69ba05b9  str	w9, [x19, #0x5b8]
0xfffffff008773208: 68321739  strb	w8, [x19, #0x5cc]
0xfffffff00877320c: e00313aa  mov	x0, x19
0xfffffff008773210: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008773214: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008773218: ffc30091  add	sp, sp, #0x30
0xfffffff00877321c: ff0f5fd6  retab	
0xfffffff008773220: 7f2303d5  pacibsp	
0xfffffff008773224: ff8301d1  sub	sp, sp, #0x60
0xfffffff008773228: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00877322c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008773230: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008773234: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008773238: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00877323c: fd430191  add	x29, sp, #0x50
0xfffffff008773240: f30300aa  mov	x19, x0
0xfffffff008773244: 170080d2  mov	x23, #0
0xfffffff008773248: 18c00491  add	x24, x0, #0x130
0xfffffff00877324c: 194fffd0  adrp	x25, #0xfffffff007155000
