; Candidate 13663
; ADRP+ADD at VM 0xfffffff0093c08d0 (fileoff 0x23bc8d0): page=0x1fe147000 add_imm=0xe92

0xfffffff0093c0850: f40300aa  mov	x20, x0
0xfffffff0093c0854: 68464439  ldrb	w8, [x19, #0x111]
0xfffffff0093c0858: 28042036  tbz	w8, #4, #0xfffffff0093c08dc
0xfffffff0093c085c: bf031df8  stur	xzr, [x29, #-0x30]
0xfffffff0093c0860: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff0093c0864: a0c300d1  sub	x0, x29, #0x30
0xfffffff0093c0868: a1d300d1  sub	x1, x29, #0x34
0xfffffff0093c086c: a64eac97  bl	#0xfffffff007ed4304
0xfffffff0093c0870: b5035df8  ldur	x21, [x29, #-0x30]
0xfffffff0093c0874: 700240f9  ldr	x16, [x19]
0xfffffff0093c0878: f10313aa  mov	x17, x19
0xfffffff0093c087c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093c0880: 301ac1da  autda	x16, x17
0xfffffff0093c0884: f10310aa  mov	x17, x16
0xfffffff0093c0888: f147c1da  xpacd	x17
0xfffffff0093c088c: 1f0211eb  cmp	x16, x17
0xfffffff0093c0890: 40000054  b.eq	#0xfffffff0093c0898
0xfffffff0093c0894: 408e38d4  brk	#0xc472
0xfffffff0093c0898: 08a20791  add	x8, x16, #0x1e8
0xfffffff0093c089c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0093c08a0: b6c35cb8  ldur	w22, [x29, #-0x34]
0xfffffff0093c08a4: e00313aa  mov	x0, x19
0xfffffff0093c08a8: 010080d2  mov	x1, #0
0xfffffff0093c08ac: f10308aa  mov	x17, x8
0xfffffff0093c08b0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0093c08b4: 31093fd7  blraa	x9, x17
0xfffffff0093c08b8: a8e35d78  ldurh	w8, [x29, #-0x22]
0xfffffff0093c08bc: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff0093c08c0: 280afff0  adrp	x8, #0xfffffff007507000
0xfffffff0093c08c4: 08353b91  add	x8, x8, #0xecd
0xfffffff0093c08c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093c08cc: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093c08d0: 200afff0  adrp	x0, #0xfffffff007507000
0xfffffff0093c08d4: 00483a91  add	x0, x0, #0xe92
0xfffffff0093c08d8: d259be97  bl	#0xfffffff008357020
0xfffffff0093c08dc: e00314aa  mov	x0, x20
0xfffffff0093c08e0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0093c08e4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0093c08e8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0093c08ec: ff030291  add	sp, sp, #0x80
0xfffffff0093c08f0: ff0f5fd6  retab	
0xfffffff0093c08f4: f45a8052  mov	w20, #0x2d7
0xfffffff0093c08f8: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0093c08fc: d6ffff17  b	#0xfffffff0093c0854
0xfffffff0093c0900: 7f2303d5  pacibsp	
0xfffffff0093c0904: ff8300d1  sub	sp, sp, #0x20
0xfffffff0093c0908: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0093c090c: fd430091  add	x29, sp, #0x10
0xfffffff0093c0910: e8588052  mov	w8, #0x2c7
0xfffffff0093c0914: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0093c0918: 29849052  mov	w9, #0x8421
0xfffffff0093c091c: e90700f9  str	x9, [sp, #8]
0xfffffff0093c0920: 095440f9  ldr	x9, [x0, #0xa8]
0xfffffff0093c0924: 090400b4  cbz	x9, #0xfffffff0093c09a4
0xfffffff0093c0928: 29004079  ldrh	w9, [x1]
0xfffffff0093c092c: 0a040591  add	x10, x0, #0x141
0xfffffff0093c0930: 4a014079  ldrh	w10, [x10]
0xfffffff0093c0934: 4b25c91a  lsr	w11, w10, w9
0xfffffff0093c0938: eb020036  tbz	w11, #0, #0xfffffff0093c0994
0xfffffff0093c093c: 3f010071  cmp	w9, #0
0xfffffff0093c0940: 4209427a  ccmp	w10, #2, #2, eq
0xfffffff0093c0944: 43030054  b.lo	#0xfffffff0093c09ac
0xfffffff0093c0948: e9170079  strh	w9, [sp, #0xa]
0xfffffff0093c094c: 085c40f9  ldr	x8, [x0, #0xb8]
