; Candidate 5290
; ADRP+ADD at VM 0xfffffff0087e4e58 (fileoff 0x17e0e58): page=0x1fea05000 add_imm=0xe80

0xfffffff0087e4dd8: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e4ddc: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087e4de0: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e4de4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e4de8: 89878052  mov	w9, #0x43c
0xfffffff0087e4dec: 30fdff17  b	#0xfffffff0087e42ac
0xfffffff0087e4df0: ef3c0394  bl	#0xfffffff0088b41ac
0xfffffff0087e4df4: f80300aa  mov	x24, x0
0xfffffff0087e4df8: 80008052  mov	w0, #4
0xfffffff0087e4dfc: 955a0294  bl	#0xfffffff00887b850
0xfffffff0087e4e00: 604e40fd  ldr	d0, [x19, #0x98]
0xfffffff0087e4e04: 280be8d2  mov	x8, #0x4059000000000000
0xfffffff0087e4e08: 0101679e  fmov	d1, x8
0xfffffff0087e4e0c: 02106c1e  fmov	d2, #0.50000000
0xfffffff0087e4e10: 0008411f  fmadd	d0, d0, d1, d2
0xfffffff0087e4e14: 0800789e  fcvtzs	x8, d0
0xfffffff0087e4e18: e90317aa  mov	x9, x23
0xfffffff0087e4e1c: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0087e4e20: a9018052  mov	w9, #0xd
0xfffffff0087e4e24: f6a703a9  stp	x22, x9, [sp, #0x38]
0xfffffff0087e4e28: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e4e2c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e4e30: a9868052  mov	w9, #0x435
0xfffffff0087e4e34: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e4e38: 6851fff0  adrp	x8, #0xfffffff007213000
0xfffffff0087e4e3c: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e4e40: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e4e44: 680e8052  mov	w8, #0x73
0xfffffff0087e4e48: c352ffd0  adrp	x3, #0xfffffff00723e000
0xfffffff0087e4e4c: 63f00191  add	x3, x3, #0x7c
0xfffffff0087e4e50: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e4e54: f80300f9  str	x24, [sp]
0xfffffff0087e4e58: 2050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e4e5c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e4e60: 2191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e4e64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e4e68: 02008052  mov	w2, #0
0xfffffff0087e4e6c: b138ed97  bl	#0xfffffff008333130
0xfffffff0087e4e70: 18fdff17  b	#0xfffffff0087e42d0
0xfffffff0087e4e74: 607240fd  ldr	d0, [x19, #0xe0]
0xfffffff0087e4e78: 6051fff0  adrp	x0, #0xfffffff007213000
0xfffffff0087e4e7c: 007c2591  add	x0, x0, #0x95f
0xfffffff0087e4e80: e10316aa  mov	x1, x22
0xfffffff0087e4e84: e9040094  bl	#0xfffffff0087e6228
0xfffffff0087e4e88: 20070034  cbz	w0, #0xfffffff0087e4f6c
0xfffffff0087e4e8c: f70300aa  mov	x23, x0
0xfffffff0087e4e90: 600e8052  mov	w0, #0x73
0xfffffff0087e4e94: 81008052  mov	w1, #4
0xfffffff0087e4e98: 4e5a0294  bl	#0xfffffff00887b7d0
0xfffffff0087e4e9c: a0a1ff34  cbz	w0, #0xfffffff0087e42d0
0xfffffff0087e4ea0: 600e8052  mov	w0, #0x73
0xfffffff0087e4ea4: 5d5a0294  bl	#0xfffffff00887b818
0xfffffff0087e4ea8: f90300aa  mov	x25, x0
0xfffffff0087e4eac: c03c0394  bl	#0xfffffff0088b41ac
0xfffffff0087e4eb0: f80300aa  mov	x24, x0
0xfffffff0087e4eb4: 80008052  mov	w0, #4
0xfffffff0087e4eb8: 665a0294  bl	#0xfffffff00887b850
0xfffffff0087e4ebc: 59090034  cbz	w25, #0xfffffff0087e4fe4
0xfffffff0087e4ec0: 607240fd  ldr	d0, [x19, #0xe0]
0xfffffff0087e4ec4: 280be8d2  mov	x8, #0x4059000000000000
0xfffffff0087e4ec8: 0101679e  fmov	d1, x8
0xfffffff0087e4ecc: 02106c1e  fmov	d2, #0.50000000
0xfffffff0087e4ed0: 0008411f  fmadd	d0, d0, d1, d2
0xfffffff0087e4ed4: 0800789e  fcvtzs	x8, d0
