; Candidate 15335
; ADRP+ADD at VM 0xfffffff009b513fc (fileoff 0x2b4d3fc): page=0x1fdad7000 add_imm=0xed0

0xfffffff009b5137c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b51380: e00314aa  mov	x0, x20
0xfffffff009b51384: 010080d2  mov	x1, #0
0xfffffff009b51388: f10308aa  mov	x17, x8
0xfffffff009b5138c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b51390: 31093fd7  blraa	x9, x17
0xfffffff009b51394: f70300aa  mov	x23, x0
0xfffffff009b51398: 900240f9  ldr	x16, [x20]
0xfffffff009b5139c: f10314aa  mov	x17, x20
0xfffffff009b513a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b513a4: 301ac1da  autda	x16, x17
0xfffffff009b513a8: f10310aa  mov	x17, x16
0xfffffff009b513ac: f147c1da  xpacd	x17
0xfffffff009b513b0: 1f0211eb  cmp	x16, x17
0xfffffff009b513b4: 40000054  b.eq	#0xfffffff009b513bc
0xfffffff009b513b8: 408e38d4  brk	#0xc472
0xfffffff009b513bc: 08620891  add	x8, x16, #0x218
0xfffffff009b513c0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b513c4: e00314aa  mov	x0, x20
0xfffffff009b513c8: 010080d2  mov	x1, #0
0xfffffff009b513cc: f10308aa  mov	x17, x8
0xfffffff009b513d0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b513d4: 31093fd7  blraa	x9, x17
0xfffffff009b513d8: 68324039  ldrb	w8, [x19, #0xc]
0xfffffff009b513dc: 697240b9  ldr	w9, [x19, #0x70]
0xfffffff009b513e0: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009b513e4: c8d6fed0  adrp	x8, #0xfffffff00762b000
0xfffffff009b513e8: 08611091  add	x8, x8, #0x418
0xfffffff009b513ec: c9d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b513f0: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b513f4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b513f8: f70300a9  stp	x23, x0, [sp]
0xfffffff009b513fc: a0d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b51400: 00403b91  add	x0, x0, #0xed0
0xfffffff009b51404: e3d6fe90  adrp	x3, #0xfffffff00762d000
0xfffffff009b51408: 63900591  add	x3, x3, #0x164
0xfffffff009b5140c: e10316aa  mov	x1, x22
0xfffffff009b51410: e20315aa  mov	x2, x21
0xfffffff009b51414: 47879f97  bl	#0xfffffff008333130
0xfffffff009b51418: 15008052  mov	w21, #0
0xfffffff009b5141c: e00315aa  mov	x0, x21
0xfffffff009b51420: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009b51424: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009b51428: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009b5142c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009b51430: ff030291  add	sp, sp, #0x80
0xfffffff009b51434: ff0f5fd6  retab	
0xfffffff009b51438: 900240f9  ldr	x16, [x20]
0xfffffff009b5143c: f10314aa  mov	x17, x20
0xfffffff009b51440: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b51444: 301ac1da  autda	x16, x17
0xfffffff009b51448: 113d80d2  mov	x17, #0x1e8
0xfffffff009b5144c: 1002118b  add	x16, x16, x17
0xfffffff009b51450: 080240f9  ldr	x8, [x16]
0xfffffff009b51454: e90310aa  mov	x9, x16
0xfffffff009b51458: e00314aa  mov	x0, x20
0xfffffff009b5145c: 010080d2  mov	x1, #0
0xfffffff009b51460: f10309aa  mov	x17, x9
0xfffffff009b51464: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b51468: 11093fd7  blraa	x8, x17
0xfffffff009b5146c: 900240f9  ldr	x16, [x20]
0xfffffff009b51470: f10314aa  mov	x17, x20
0xfffffff009b51474: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b51478: 301ac1da  autda	x16, x17
