; Candidate 5042
; ADRP+ADD at VM 0xfffffff0087d4094 (fileoff 0x17d0094): page=0x1fea15000 add_imm=0xe80

0xfffffff0087d4014: f60300aa  mov	x22, x0
0xfffffff0087d4018: 65800394  bl	#0xfffffff0088b41ac
0xfffffff0087d401c: f50300aa  mov	x21, x0
0xfffffff0087d4020: e0008052  mov	w0, #7
0xfffffff0087d4024: 0b9e0294  bl	#0xfffffff00887b850
0xfffffff0087d4028: d6010034  cbz	w22, #0xfffffff0087d4060
0xfffffff0087d402c: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d4030: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d4034: 09892291  add	x9, x8, #0x8a2
0xfffffff0087d4038: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d403c: 08712591  add	x8, x8, #0x95c
0xfffffff0087d4040: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d4044: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d4048: 080a8052  mov	w8, #0x50
0xfffffff0087d404c: e051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d4050: 00dc2791  add	x0, x0, #0x9f7
0xfffffff0087d4054: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d4058: 028dd797  bl	#0xfffffff007db7460
0xfffffff0087d405c: 16000014  b	#0xfffffff0087d40b4
0xfffffff0087d4060: 53800394  bl	#0xfffffff0088b41ac
0xfffffff0087d4064: f50300aa  mov	x21, x0
0xfffffff0087d4068: e0008052  mov	w0, #7
0xfffffff0087d406c: f99d0294  bl	#0xfffffff00887b850
0xfffffff0087d4070: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d4074: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d4078: 09892291  add	x9, x8, #0x8a2
0xfffffff0087d407c: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d4080: 08712591  add	x8, x8, #0x95c
0xfffffff0087d4084: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d4088: 080a8052  mov	w8, #0x50
0xfffffff0087d408c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d4090: f50300f9  str	x21, [sp]
0xfffffff0087d4094: a050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d4098: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d409c: a191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d40a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d40a4: 2353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d40a8: 637c0e91  add	x3, x3, #0x39f
0xfffffff0087d40ac: 02008052  mov	w2, #0
0xfffffff0087d40b0: 207ced97  bl	#0xfffffff008333130
0xfffffff0087d40b4: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff0087d40b8: 96138052  mov	w22, #0x9c
0xfffffff0087d40bc: d674a572  movk	w22, #0x2ba6, lsl #16
0xfffffff0087d40c0: 80138052  mov	w0, #0x9c
0xfffffff0087d40c4: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d40c8: 01018052  mov	w1, #8
0xfffffff0087d40cc: 030080d2  mov	x3, #0
0xfffffff0087d40d0: 040080d2  mov	x4, #0
0xfffffff0087d40d4: 050080d2  mov	x5, #0
0xfffffff0087d40d8: 8ba7e697  bl	#0xfffffff00817df04
0xfffffff0087d40dc: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d40e0: 100040f9  ldr	x16, [x0]
0xfffffff0087d40e4: f10300aa  mov	x17, x0
0xfffffff0087d40e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d40ec: 301ac1da  autda	x16, x17
0xfffffff0087d40f0: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d40f4: e90310aa  mov	x9, x16
0xfffffff0087d40f8: 700300b0  adrp	x16, #0xfffffff008841000
0xfffffff0087d40fc: 10723891  add	x16, x16, #0xe1c
0xfffffff0087d4100: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d4104: 3002c1da  pacia	x16, x17
0xfffffff0087d4108: e10310aa  mov	x1, x16
0xfffffff0087d410c: e20314aa  mov	x2, x20
0xfffffff0087d4110: 030080d2  mov	x3, #0
