; Candidate 8787
; ADRP+ADD at VM 0xfffffff0088c4bfc (fileoff 0x18c0bfc): page=0x1fe925000 add_imm=0xe80

0xfffffff0088c4b7c: 67adfd97  bl	#0xfffffff008830118
0xfffffff0088c4b80: e0040036  tbz	w0, #0, #0xfffffff0088c4c1c
0xfffffff0088c4b84: 60008052  mov	w0, #3
0xfffffff0088c4b88: 24dbfe97  bl	#0xfffffff00887b818
0xfffffff0088c4b8c: f40300aa  mov	x20, x0
0xfffffff0088c4b90: 87bdff97  bl	#0xfffffff0088b41ac
0xfffffff0088c4b94: 58adfd97  bl	#0xfffffff0088300f4
0xfffffff0088c4b98: d4010036  tbz	w20, #0, #0xfffffff0088c4bd0
0xfffffff0088c4b9c: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4ba0: 08712191  add	x8, x8, #0x85c
0xfffffff0088c4ba4: a91f8052  mov	w9, #0xfd
0xfffffff0088c4ba8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c4bac: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4bb0: 08892091  add	x8, x8, #0x822
0xfffffff0088c4bb4: e1031eaa  mov	x1, x30
0xfffffff0088c4bb8: 4badfd97  bl	#0xfffffff0088300e4
0xfffffff0088c4bbc: fe0301aa  mov	x30, x1
0xfffffff0088c4bc0: 604aff90  adrp	x0, #0xfffffff007210000
0xfffffff0088c4bc4: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c4bc8: 26cad397  bl	#0xfffffff007db7460
0xfffffff0088c4bcc: 14000014  b	#0xfffffff0088c4c1c
0xfffffff0088c4bd0: 77bdff97  bl	#0xfffffff0088b41ac
0xfffffff0088c4bd4: 3dadfd97  bl	#0xfffffff0088300c8
0xfffffff0088c4bd8: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4bdc: 08712191  add	x8, x8, #0x85c
0xfffffff0088c4be0: a91f8052  mov	w9, #0xfd
0xfffffff0088c4be4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c4be8: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4bec: 08892091  add	x8, x8, #0x822
0xfffffff0088c4bf0: e1031eaa  mov	x1, x30
0xfffffff0088c4bf4: 46adfd97  bl	#0xfffffff00883010c
0xfffffff0088c4bf8: fe0301aa  mov	x30, x1
0xfffffff0088c4bfc: 2049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c4c00: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c4c04: 218aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c4c08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c4c0c: 434cff90  adrp	x3, #0xfffffff00724c000
0xfffffff0088c4c10: 63883891  add	x3, x3, #0xe22
0xfffffff0088c4c14: 02008052  mov	w2, #0
0xfffffff0088c4c18: 46b9e997  bl	#0xfffffff008333130
0xfffffff0088c4c1c: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4c20: 08c91a91  add	x8, x8, #0x6b2
0xfffffff0088c4c24: a91f8052  mov	w9, #0xfd
0xfffffff0088c4c28: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c4c2c: e04affd0  adrp	x0, #0xfffffff007222000
0xfffffff0088c4c30: 00a82191  add	x0, x0, #0x86a
0xfffffff0088c4c34: 363eef97  bl	#0xfffffff00849450c
0xfffffff0088c4c38: 7f2303d5  pacibsp	
0xfffffff0088c4c3c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c4c40: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c4c44: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c4c48: fd030191  add	x29, sp, #0x40
0xfffffff0088c4c4c: 60008052  mov	w0, #3
0xfffffff0088c4c50: f2dafe97  bl	#0xfffffff00887b818
0xfffffff0088c4c54: f40300aa  mov	x20, x0
0xfffffff0088c4c58: 55bdff97  bl	#0xfffffff0088b41ac
0xfffffff0088c4c5c: 26adfd97  bl	#0xfffffff0088300f4
0xfffffff0088c4c60: 94010036  tbz	w20, #0, #0xfffffff0088c4c90
0xfffffff0088c4c64: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4c68: 08d52091  add	x8, x8, #0x835
0xfffffff0088c4c6c: e9218052  mov	w9, #0x10f
0xfffffff0088c4c70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c4c74: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4c78: 08052291  add	x8, x8, #0x881
