; Candidate 4804
; ADRP+ADD at VM 0xfffffff0087c7060 (fileoff 0x17c3060): page=0x1fea22000 add_imm=0xe80

0xfffffff0087c6fe0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c6fe4: 2852fff0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c6fe8: 08353891  add	x8, x8, #0xe0d
0xfffffff0087c6fec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6ff0: 68008052  mov	w8, #3
0xfffffff0087c6ff4: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c6ff8: 0051fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c6ffc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c7000: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c7004: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c7008: 8353ff90  adrp	x3, #0xfffffff007237000
0xfffffff0087c700c: 63a41c91  add	x3, x3, #0x729
0xfffffff0087c7010: 02008052  mov	w2, #0
0xfffffff0087c7014: 47b0ed97  bl	#0xfffffff008333130
0xfffffff0087c7018: 1a000014  b	#0xfffffff0087c7080
0xfffffff0087c701c: 64b40394  bl	#0xfffffff0088b41ac
0xfffffff0087c7020: f30300aa  mov	x19, x0
0xfffffff0087c7024: 80008052  mov	w0, #4
0xfffffff0087c7028: 0ad20294  bl	#0xfffffff00887b850
0xfffffff0087c702c: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff0087c7030: 896a4bb9  ldr	w9, [x20, #0xb68]
0xfffffff0087c7034: f5a703a9  stp	x21, x9, [sp, #0x38]
0xfffffff0087c7038: 2852ffd0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c703c: 08cd1991  add	x8, x8, #0x673
0xfffffff0087c7040: 69248052  mov	w9, #0x123
0xfffffff0087c7044: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087c7048: 2852ffd0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c704c: 08353891  add	x8, x8, #0xe0d
0xfffffff0087c7050: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c7054: 68008052  mov	w8, #3
0xfffffff0087c7058: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c705c: f30300f9  str	x19, [sp]
0xfffffff0087c7060: 0051ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c7064: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c7068: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c706c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c7070: 8353ff90  adrp	x3, #0xfffffff007237000
0xfffffff0087c7074: 63881d91  add	x3, x3, #0x762
0xfffffff0087c7078: 02008052  mov	w2, #0
0xfffffff0087c707c: 2db0ed97  bl	#0xfffffff008333130
0xfffffff0087c7080: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087c7084: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087c7088: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087c708c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087c7090: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0087c7094: ff830291  add	sp, sp, #0xa0
0xfffffff0087c7098: ff0f5fd6  retab	
0xfffffff0087c709c: 7f2303d5  pacibsp	
0xfffffff0087c70a0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087c70a4: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0087c70a8: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0087c70ac: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087c70b0: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087c70b4: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087c70b8: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087c70bc: fd830291  add	x29, sp, #0xa0
0xfffffff0087c70c0: f50301aa  mov	x21, x1
0xfffffff0087c70c4: f30300aa  mov	x19, x0
0xfffffff0087c70c8: 28404cb9  ldr	w8, [x1, #0xc40]
0xfffffff0087c70cc: 29444cb9  ldr	w9, [x1, #0xc44]
0xfffffff0087c70d0: 3801080b  add	w24, w9, w8
0xfffffff0087c70d4: a00f8052  mov	w0, #0x7d
0xfffffff0087c70d8: e1008052  mov	w1, #7
0xfffffff0087c70dc: bdd10294  bl	#0xfffffff00887b7d0
