; Candidate 12582
; ADRP+ADD at VM 0xfffffff0090c0a80 (fileoff 0x20bca80): page=0x1fe399000 add_imm=0xe24

0xfffffff0090c0a00: 231dfff0  adrp	x3, #0xfffffff007467000
0xfffffff0090c0a04: 63683f91  add	x3, x3, #0xfda
0xfffffff0090c0a08: 451dffb0  adrp	x5, #0xfffffff007469000
0xfffffff0090c0a0c: a5a00191  add	x5, x5, #0x68
0xfffffff0090c0a10: e10314aa  mov	x1, x20
0xfffffff0090c0a14: 02008252  mov	w2, #0x1000
0xfffffff0090c0a18: 24f58052  mov	w4, #0x7a9
0xfffffff0090c0a1c: fc6eff97  bl	#0xfffffff00909c60c
0xfffffff0090c0a20: e00314aa  mov	x0, x20
0xfffffff0090c0a24: 01008252  mov	w1, #0x1000
0xfffffff0090c0a28: a26eff97  bl	#0xfffffff00909c4b0
0xfffffff0090c0a2c: 739200f0  adrp	x19, #0xfffffff00a30f000
0xfffffff0090c0a30: 73420c91  add	x19, x19, #0x310
0xfffffff0090c0a34: 98000034  cbz	w24, #0xfffffff0090c0a44
0xfffffff0090c0a38: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff0090c0a3c: 400000b4  cbz	x0, #0xfffffff0090c0a44
0xfffffff0090c0a40: 79adff97  bl	#0xfffffff0090ac024
0xfffffff0090c0a44: 1f030071  cmp	w24, #0
0xfffffff0090c0a48: c8088052  mov	w8, #0x46
0xfffffff0090c0a4c: 49018052  mov	w9, #0xa
0xfffffff0090c0a50: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c0a54: 69024039  ldrb	w9, [x19]
0xfffffff0090c0a58: 1f01096b  cmp	w8, w9
0xfffffff0090c0a5c: 83010054  b.lo	#0xfffffff0090c0a8c
0xfffffff0090c0a60: e80318aa  mov	x8, x24
0xfffffff0090c0a64: 087d4093  sxtw	x8, w8
0xfffffff0090c0a68: 491dffb0  adrp	x9, #0xfffffff007469000
0xfffffff0090c0a6c: 2aa10191  add	x10, x9, #0x68
0xfffffff0090c0a70: e91cffb0  adrp	x9, #0xfffffff00745d000
0xfffffff0090c0a74: 29413c91  add	x9, x9, #0xf10
0xfffffff0090c0a78: e92b00a9  stp	x9, x10, [sp]
0xfffffff0090c0a7c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c0a80: c01cffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090c0a84: 00903891  add	x0, x0, #0xe24
0xfffffff0090c0a88: 6659ca97  bl	#0xfffffff008357020
0xfffffff0090c0a8c: e00318aa  mov	x0, x24
0xfffffff0090c0a90: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0090c0a94: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0090c0a98: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0090c0a9c: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0090c0aa0: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0090c0aa4: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0090c0aa8: ff430391  add	sp, sp, #0xd0
0xfffffff0090c0aac: ff0f5fd6  retab	
0xfffffff0090c0ab0: 28f08052  mov	w8, #0x781
0xfffffff0090c0ab4: 291dfff0  adrp	x9, #0xfffffff007467000
0xfffffff0090c0ab8: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c0abc: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c0ac0: c81cffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090c0ac4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c0ac8: 0a1dffd0  adrp	x10, #0xfffffff007462000
0xfffffff0090c0acc: 4a6d2c91  add	x10, x10, #0xb1b
0xfffffff0090c0ad0: 12000014  b	#0xfffffff0090c0b18
0xfffffff0090c0ad4: 48f08052  mov	w8, #0x782
0xfffffff0090c0ad8: 291dfff0  adrp	x9, #0xfffffff007467000
0xfffffff0090c0adc: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c0ae0: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c0ae4: c81cffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090c0ae8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c0aec: 4a1dffb0  adrp	x10, #0xfffffff007469000
0xfffffff0090c0af0: 4a110291  add	x10, x10, #0x84
0xfffffff0090c0af4: 09000014  b	#0xfffffff0090c0b18
0xfffffff0090c0af8: 68f08052  mov	w8, #0x783
0xfffffff0090c0afc: 291dfff0  adrp	x9, #0xfffffff007467000
