; Candidate 15389
; ADRP+ADD at VM 0xfffffff009b59c7c (fileoff 0x2b55c7c): page=0x1fdacf000 add_imm=0xed0

0xfffffff009b59bfc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b59c00: e00313aa  mov	x0, x19
0xfffffff009b59c04: 010080d2  mov	x1, #0
0xfffffff009b59c08: f10308aa  mov	x17, x8
0xfffffff009b59c0c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b59c10: 31093fd7  blraa	x9, x17
0xfffffff009b59c14: f70300aa  mov	x23, x0
0xfffffff009b59c18: 700240f9  ldr	x16, [x19]
0xfffffff009b59c1c: f10313aa  mov	x17, x19
0xfffffff009b59c20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b59c24: 301ac1da  autda	x16, x17
0xfffffff009b59c28: f10310aa  mov	x17, x16
0xfffffff009b59c2c: f147c1da  xpacd	x17
0xfffffff009b59c30: 1f0211eb  cmp	x16, x17
0xfffffff009b59c34: 40000054  b.eq	#0xfffffff009b59c3c
0xfffffff009b59c38: 408e38d4  brk	#0xc472
0xfffffff009b59c3c: 08620891  add	x8, x16, #0x218
0xfffffff009b59c40: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b59c44: e00313aa  mov	x0, x19
0xfffffff009b59c48: 010080d2  mov	x1, #0
0xfffffff009b59c4c: f10308aa  mov	x17, x8
0xfffffff009b59c50: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b59c54: 31093fd7  blraa	x9, x17
0xfffffff009b59c58: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b59c5c: 0a697ab8  ldr	w10, [x8, x26]
0xfffffff009b59c60: 88d6fed0  adrp	x8, #0xfffffff00762b000
0xfffffff009b59c64: 08fd0e91  add	x8, x8, #0x3bf
0xfffffff009b59c68: 89d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b59c6c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b59c70: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b59c74: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b59c78: f70300f9  str	x23, [sp]
0xfffffff009b59c7c: 60d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b59c80: 00403b91  add	x0, x0, #0xed0
0xfffffff009b59c84: a3d6fe90  adrp	x3, #0xfffffff00762d000
0xfffffff009b59c88: 63d00391  add	x3, x3, #0xf4
0xfffffff009b59c8c: e10316aa  mov	x1, x22
0xfffffff009b59c90: e20315aa  mov	x2, x21
0xfffffff009b59c94: 27659f97  bl	#0xfffffff008333130
0xfffffff009b59c98: 0880b052  mov	w8, #-0x7c000000
0xfffffff009b59c9c: 9f020271  cmp	w20, #0x80
0xfffffff009b59ca0: c1000054  b.ne	#0xfffffff009b59cb8
0xfffffff009b59ca4: 69de40f9  ldr	x9, [x19, #0x1b8]
0xfffffff009b59ca8: 290d40b9  ldr	w9, [x9, #0xc]
0xfffffff009b59cac: 3f1d0071  cmp	w9, #7
0xfffffff009b59cb0: 0900b052  mov	w9, #-0xffffffff80000000
0xfffffff009b59cb4: 2801881a  csel	w8, w9, w8, eq
0xfffffff009b59cb8: bf3b03d5  dmb	ish
0xfffffff009b59cbc: 698e41f9  ldr	x9, [x19, #0x318]
0xfffffff009b59cc0: 2941388b  add	x9, x9, w24, uxtw
0xfffffff009b59cc4: 2a0149b9  ldr	w10, [x9, #0x900]
0xfffffff009b59cc8: 4801082a  orr	w8, w10, w8
0xfffffff009b59ccc: 280109b9  str	w8, [x9, #0x900]
0xfffffff009b59cd0: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b59cd4: 74002837  tbnz	w20, #5, #0xfffffff009b59ce0
0xfffffff009b59cd8: 00008052  mov	w0, #0
0xfffffff009b59cdc: 7b000014  b	#0xfffffff009b59ec8
0xfffffff009b59ce0: 5405f036  tbz	w20, #0x1e, #0xfffffff009b59d88
0xfffffff009b59ce4: 6ed08d97  bl	#0xfffffff007ecde9c
0xfffffff009b59ce8: 1f040071  cmp	w0, #1
0xfffffff009b59cec: e1040054  b.ne	#0xfffffff009b59d88
0xfffffff009b59cf0: 700240f9  ldr	x16, [x19]
0xfffffff009b59cf4: f10313aa  mov	x17, x19
0xfffffff009b59cf8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
