; Candidate 4713
; ADRP+ADD at VM 0xfffffff0087c396c (fileoff 0x17bf96c): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c38ec: 02018052  mov	w2, #8
0xfffffff0087c38f0: 74deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c38f4: 94060071  subs	w20, w20, #1
0xfffffff0087c38f8: 41ffff54  b.ne	#0xfffffff0087c38e0
0xfffffff0087c38fc: 63000014  b	#0xfffffff0087c3a88
0xfffffff0087c3900: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3904: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3908: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c390c: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3910: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3914: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3918: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c391c: 02008052  mov	w2, #0
0xfffffff0087c3920: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3924: 637c3691  add	x3, x3, #0xd9f
0xfffffff0087c3928: 02beed97  bl	#0xfffffff008333130
0xfffffff0087c392c: 54000014  b	#0xfffffff0087c3a7c
0xfffffff0087c3930: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3934: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3938: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c393c: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3940: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3944: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3948: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c394c: 02008052  mov	w2, #0
0xfffffff0087c3950: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3954: 63143791  add	x3, x3, #0xdc5
0xfffffff0087c3958: f6bded97  bl	#0xfffffff008333130
0xfffffff0087c395c: 48000014  b	#0xfffffff0087c3a7c
0xfffffff0087c3960: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3964: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3968: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c396c: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3970: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3974: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3978: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c397c: 02008052  mov	w2, #0
0xfffffff0087c3980: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3984: 63ac3791  add	x3, x3, #0xdeb
0xfffffff0087c3988: eabded97  bl	#0xfffffff008333130
0xfffffff0087c398c: 3c000014  b	#0xfffffff0087c3a7c
0xfffffff0087c3990: 794cffb0  adrp	x25, #0xfffffff007150000
0xfffffff0087c3994: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c3998: f5031caa  mov	x21, x28
0xfffffff0087c399c: 7b070034  cbz	w27, #0xfffffff0087c3a88
0xfffffff0087c39a0: 14008052  mov	w20, #0
0xfffffff0087c39a4: e00313aa  mov	x0, x19
0xfffffff0087c39a8: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c39ac: 21d42891  add	x1, x1, #0xa35
0xfffffff0087c39b0: 62008052  mov	w2, #3
0xfffffff0087c39b4: 43deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c39b8: 1f200071  cmp	w0, #8
0xfffffff0087c39bc: c20b0054  b.hs	#0xfffffff0087c3b34
0xfffffff0087c39c0: e00313aa  mov	x0, x19
0xfffffff0087c39c4: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c39c8: 21402991  add	x1, x1, #0xa50
0xfffffff0087c39cc: 22008052  mov	w2, #1
0xfffffff0087c39d0: 3cdeff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c39d4: e00313aa  mov	x0, x19
0xfffffff0087c39d8: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c39dc: 21002a91  add	x1, x1, #0xa80
0xfffffff0087c39e0: 22008052  mov	w2, #1
0xfffffff0087c39e4: 37deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c39e8: e00313aa  mov	x0, x19
