; Candidate 16226
; ADRP+ADD at VM 0xfffffff009e32858 (fileoff 0x2e2e858): page=0x5a1000 add_imm=0xe30

0xfffffff009e327d8: e8830039  strb	w8, [sp, #0x20]
0xfffffff009e327dc: 08098052  mov	w8, #0x48
0xfffffff009e327e0: e8470079  strh	w8, [sp, #0x22]
0xfffffff009e327e4: e8008052  mov	w8, #7
0xfffffff009e327e8: e81700f9  str	x8, [sp, #0x28]
0xfffffff009e327ec: 7f1e00f9  str	xzr, [x19, #0x38]
0xfffffff009e327f0: 600640f9  ldr	x0, [x19, #8]
0xfffffff009e327f4: 037c40f9  ldr	x3, [x0, #0xf8]
0xfffffff009e327f8: 88008052  mov	w8, #4
0xfffffff009e327fc: e80300b9  str	w8, [sp]
0xfffffff009e32800: 10000090  adrp	x16, #0xfffffff009e32000
0xfffffff009e32804: 10b22191  add	x16, x16, #0x86c
0xfffffff009e32808: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009e3280c: 3002c1da  pacia	x16, x17
0xfffffff009e32810: e50310aa  mov	x5, x16
0xfffffff009e32814: e4830091  add	x4, sp, #0x20
0xfffffff009e32818: 21008052  mov	w1, #1
0xfffffff009e3281c: 020080d2  mov	x2, #0
0xfffffff009e32820: e60313aa  mov	x6, x19
0xfffffff009e32824: 070080d2  mov	x7, #0
0xfffffff009e32828: 36d10294  bl	#0xfffffff009ee6d00
0xfffffff009e3282c: f40300aa  mov	x20, x0
0xfffffff009e32830: c0f9ff34  cbz	w0, #0xfffffff009e32768
0xfffffff009e32834: e80314aa  mov	x8, x20
0xfffffff009e32838: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3283c: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32840: 08f12e91  add	x8, x8, #0xbbc
0xfffffff009e32844: c9398052  mov	w9, #0x1ce
0xfffffff009e32848: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3284c: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e32850: 00543091  add	x0, x0, #0xc15
0xfffffff009e32854: 1c340194  bl	#0xfffffff009e7f8c4
0xfffffff009e32858: 002d00b0  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e3285c: 00c03891  add	x0, x0, #0xe30
0xfffffff009e32860: 01af8752  mov	w1, #0x3d78
0xfffffff009e32864: c101a072  movk	w1, #0xe, lsl #16
0xfffffff009e32868: 63ffff17  b	#0xfffffff009e325f4
0xfffffff009e3286c: 7f2303d5  pacibsp	
0xfffffff009e32870: ff0304d1  sub	sp, sp, #0x100
0xfffffff009e32874: fc6f0aa9  stp	x28, x27, [sp, #0xa0]
0xfffffff009e32878: fa670ba9  stp	x26, x25, [sp, #0xb0]
0xfffffff009e3287c: f85f0ca9  stp	x24, x23, [sp, #0xc0]
0xfffffff009e32880: f6570da9  stp	x22, x21, [sp, #0xd0]
0xfffffff009e32884: f44f0ea9  stp	x20, x19, [sp, #0xe0]
0xfffffff009e32888: fd7b0fa9  stp	x29, x30, [sp, #0xf0]
0xfffffff009e3288c: fdc30391  add	x29, sp, #0xf0
0xfffffff009e32890: f30301aa  mov	x19, x1
0xfffffff009e32894: f40300aa  mov	x20, x0
0xfffffff009e32898: e8f7fe90  adrp	x8, #0xfffffff007d2e000
0xfffffff009e3289c: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009e328a0: 080140f9  ldr	x8, [x8]
0xfffffff009e328a4: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff009e328a8: 08044039  ldrb	w8, [x0, #1]
0xfffffff009e328ac: 98cffe90  adrp	x24, #0xfffffff007822000
0xfffffff009e328b0: 185b3c91  add	x24, x24, #0xf16
0xfffffff009e328b4: 1f050071  cmp	w8, #1
0xfffffff009e328b8: a0030054  b.eq	#0xfffffff009e3292c
0xfffffff009e328bc: 890a40f9  ldr	x9, [x20, #0x10]
0xfffffff009e328c0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009e328c4: 684d8052  mov	w8, #0x26b
0xfffffff009e328c8: f82300a9  stp	x24, x8, [sp]
0xfffffff009e328cc: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e328d0: 00483b91  add	x0, x0, #0xed2
0xfffffff009e328d4: f1330194  bl	#0xfffffff009e7f898
