; Candidate 5034
; ADRP+ADD at VM 0xfffffff0087d37a4 (fileoff 0x17cf7a4): page=0x1fea16000 add_imm=0xe80

0xfffffff0087d3724: 000a8052  mov	w0, #0x50
0xfffffff0087d3728: 3ca00294  bl	#0xfffffff00887b818
0xfffffff0087d372c: f50300aa  mov	x21, x0
0xfffffff0087d3730: 9f820394  bl	#0xfffffff0088b41ac
0xfffffff0087d3734: f40300aa  mov	x20, x0
0xfffffff0087d3738: e0008052  mov	w0, #7
0xfffffff0087d373c: 45a00294  bl	#0xfffffff00887b850
0xfffffff0087d3740: b5010034  cbz	w21, #0xfffffff0087d3774
0xfffffff0087d3744: e851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087d3748: 08191d91  add	x8, x8, #0x746
0xfffffff0087d374c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d3750: e851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087d3754: 08712591  add	x8, x8, #0x95c
0xfffffff0087d3758: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d375c: 080a8052  mov	w8, #0x50
0xfffffff0087d3760: f42300a9  stp	x20, x8, [sp]
0xfffffff0087d3764: e051ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087d3768: 008c2c91  add	x0, x0, #0xb23
0xfffffff0087d376c: 3d8fd797  bl	#0xfffffff007db7460
0xfffffff0087d3770: 15000014  b	#0xfffffff0087d37c4
0xfffffff0087d3774: 8e820394  bl	#0xfffffff0088b41ac
0xfffffff0087d3778: f40300aa  mov	x20, x0
0xfffffff0087d377c: e0008052  mov	w0, #7
0xfffffff0087d3780: 34a00294  bl	#0xfffffff00887b850
0xfffffff0087d3784: e851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087d3788: 08191d91  add	x8, x8, #0x746
0xfffffff0087d378c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d3790: e851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087d3794: 08712591  add	x8, x8, #0x95c
0xfffffff0087d3798: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d379c: 080a8052  mov	w8, #0x50
0xfffffff0087d37a0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087d37a4: a050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d37a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d37ac: a191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d37b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d37b4: 4353ff90  adrp	x3, #0xfffffff00723b000
0xfffffff0087d37b8: 63100991  add	x3, x3, #0x244
0xfffffff0087d37bc: 02008052  mov	w2, #0
0xfffffff0087d37c0: 5c7eed97  bl	#0xfffffff008333130
0xfffffff0087d37c4: 95138052  mov	w21, #0x9c
0xfffffff0087d37c8: d574a572  movk	w21, #0x2ba6, lsl #16
0xfffffff0087d37cc: 80138052  mov	w0, #0x9c
0xfffffff0087d37d0: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d37d4: 41008052  mov	w1, #2
0xfffffff0087d37d8: 020080d2  mov	x2, #0
0xfffffff0087d37dc: 030080d2  mov	x3, #0
0xfffffff0087d37e0: 040080d2  mov	x4, #0
0xfffffff0087d37e4: 050080d2  mov	x5, #0
0xfffffff0087d37e8: c7a9e697  bl	#0xfffffff00817df04
0xfffffff0087d37ec: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d37f0: 100040f9  ldr	x16, [x0]
0xfffffff0087d37f4: f10300aa  mov	x17, x0
0xfffffff0087d37f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d37fc: 301ac1da  autda	x16, x17
0xfffffff0087d3800: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d3804: e90310aa  mov	x9, x16
0xfffffff0087d3808: 700300d0  adrp	x16, #0xfffffff008841000
0xfffffff0087d380c: 10020091  add	x16, x16, #0
0xfffffff0087d3810: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d3814: 3002c1da  pacia	x16, x17
0xfffffff0087d3818: e10310aa  mov	x1, x16
0xfffffff0087d381c: 020080d2  mov	x2, #0
0xfffffff0087d3820: 030080d2  mov	x3, #0
