; Candidate 3686
; ADRP+ADD at VM 0xfffffff00874e070 (fileoff 0x174a070): page=0x1fe9e3000 add_imm=0xd90

0xfffffff00874dff0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00874dff4: fd030091  mov	x29, sp
0xfffffff00874dff8: 000440f9  ldr	x0, [x0, #8]
0xfffffff00874dffc: 210840b9  ldr	w1, [x1, #8]
0xfffffff00874e000: 100040f9  ldr	x16, [x0]
0xfffffff00874e004: f10300aa  mov	x17, x0
0xfffffff00874e008: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00874e00c: 301ac1da  autda	x16, x17
0xfffffff00874e010: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff00874e014: e90310aa  mov	x9, x16
0xfffffff00874e018: f10309aa  mov	x17, x9
0xfffffff00874e01c: 31d3fef2  movk	x17, #0xf699, lsl #48
0xfffffff00874e020: 11093fd7  blraa	x8, x17
0xfffffff00874e024: 00008052  mov	w0, #0
0xfffffff00874e028: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00874e02c: ff0f5fd6  retab	
0xfffffff00874e030: 7f2303d5  pacibsp	
0xfffffff00874e034: ff8301d1  sub	sp, sp, #0x60
0xfffffff00874e038: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00874e03c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00874e040: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00874e044: fd430191  add	x29, sp, #0x50
0xfffffff00874e048: f30301aa  mov	x19, x1
0xfffffff00874e04c: f40300aa  mov	x20, x0
0xfffffff00874e050: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff00874e054: 9e76d997  bl	#0xfffffff007dabacc
0xfffffff00874e058: 883e4629  ldp	w8, w15, [x20, #0x30]
0xfffffff00874e05c: ff01086b  cmp	w15, w8
0xfffffff00874e060: c1010054  b.ne	#0xfffffff00874e098
0xfffffff00874e064: 4850ffd0  adrp	x8, #0xfffffff007158000
0xfffffff00874e068: 08312791  add	x8, x8, #0x9cc
0xfffffff00874e06c: e80300f9  str	x8, [sp]
0xfffffff00874e070: 004ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874e074: 00403691  add	x0, x0, #0xd90
0xfffffff00874e078: 6195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874e07c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874e080: 834fffd0  adrp	x3, #0xfffffff007140000
0xfffffff00874e084: 63a01891  add	x3, x3, #0x628
0xfffffff00874e088: 02008052  mov	w2, #0
0xfffffff00874e08c: 2994ef97  bl	#0xfffffff008333130
0xfffffff00874e090: 75008052  mov	w21, #3
0xfffffff00874e094: 1a000014  b	#0xfffffff00874e0fc
0xfffffff00874e098: 891240f9  ldr	x9, [x20, #0x20]
0xfffffff00874e09c: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff00874e0a0: 0b098052  mov	w11, #0x48
0xfffffff00874e0a4: 6d324429  ldp	w13, w12, [x19, #0x20]
0xfffffff00874e0a8: ee030f2a  mov	w14, w15
0xfffffff00874e0ac: ef25ab9b  umaddl	x15, w15, w11, x9
0xfffffff00874e0b0: ef0940b9  ldr	w15, [x15, #8]
0xfffffff00874e0b4: ff010a6b  cmp	w15, w10
0xfffffff00874e0b8: 61010054  b.ne	#0xfffffff00874e0e4
0xfffffff00874e0bc: cf250b9b  madd	x15, x14, x11, x9
0xfffffff00874e0c0: ef2540b9  ldr	w15, [x15, #0x24]
0xfffffff00874e0c4: ff010c6b  cmp	w15, w12
0xfffffff00874e0c8: e1000054  b.ne	#0xfffffff00874e0e4
0xfffffff00874e0cc: 9f050071  cmp	w12, #1
0xfffffff00874e0d0: 41040054  b.ne	#0xfffffff00874e158
0xfffffff00874e0d4: cf250b9b  madd	x15, x14, x11, x9
0xfffffff00874e0d8: ef2140b9  ldr	w15, [x15, #0x20]
0xfffffff00874e0dc: ff010d6b  cmp	w15, w13
0xfffffff00874e0e0: c0030054  b.eq	#0xfffffff00874e158
0xfffffff00874e0e4: ce050011  add	w14, w14, #1
0xfffffff00874e0e8: 8f2e40b9  ldr	w15, [x20, #0x2c]
0xfffffff00874e0ec: ef010e0a  and	w15, w15, w14
