; Candidate 8772
; ADRP+ADD at VM 0xfffffff0088c41a0 (fileoff 0x18c01a0): page=0x1fe925000 add_imm=0xe80

0xfffffff0088c4120: feaffd97  bl	#0xfffffff008830118
0xfffffff0088c4124: e0040036  tbz	w0, #0, #0xfffffff0088c41c0
0xfffffff0088c4128: 60008052  mov	w0, #3
0xfffffff0088c412c: bbddfe97  bl	#0xfffffff00887b818
0xfffffff0088c4130: f40300aa  mov	x20, x0
0xfffffff0088c4134: 1ec0ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c4138: efaffd97  bl	#0xfffffff0088300f4
0xfffffff0088c413c: d4010036  tbz	w20, #0, #0xfffffff0088c4174
0xfffffff0088c4140: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4144: 08c91d91  add	x8, x8, #0x772
0xfffffff0088c4148: 09128052  mov	w9, #0x90
0xfffffff0088c414c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c4150: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4154: 08891d91  add	x8, x8, #0x762
0xfffffff0088c4158: e1031eaa  mov	x1, x30
0xfffffff0088c415c: e2affd97  bl	#0xfffffff0088300e4
0xfffffff0088c4160: fe0301aa  mov	x30, x1
0xfffffff0088c4164: 604aff90  adrp	x0, #0xfffffff007210000
0xfffffff0088c4168: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c416c: bdccd397  bl	#0xfffffff007db7460
0xfffffff0088c4170: 14000014  b	#0xfffffff0088c41c0
0xfffffff0088c4174: 0ec0ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c4178: d4affd97  bl	#0xfffffff0088300c8
0xfffffff0088c417c: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4180: 08c91d91  add	x8, x8, #0x772
0xfffffff0088c4184: 09128052  mov	w9, #0x90
0xfffffff0088c4188: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c418c: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c4190: 08891d91  add	x8, x8, #0x762
0xfffffff0088c4194: e1031eaa  mov	x1, x30
0xfffffff0088c4198: ddaffd97  bl	#0xfffffff00883010c
0xfffffff0088c419c: fe0301aa  mov	x30, x1
0xfffffff0088c41a0: 2049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c41a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c41a8: 218aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c41ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c41b0: 434cff90  adrp	x3, #0xfffffff00724c000
0xfffffff0088c41b4: 63ac3291  add	x3, x3, #0xcab
0xfffffff0088c41b8: 02008052  mov	w2, #0
0xfffffff0088c41bc: ddbbe997  bl	#0xfffffff008333130
0xfffffff0088c41c0: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c41c4: 08c91a91  add	x8, x8, #0x6b2
0xfffffff0088c41c8: 09128052  mov	w9, #0x90
0xfffffff0088c41cc: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c41d0: e04affd0  adrp	x0, #0xfffffff007222000
0xfffffff0088c41d4: 00fc1d91  add	x0, x0, #0x77f
0xfffffff0088c41d8: cd40ef97  bl	#0xfffffff00849450c
0xfffffff0088c41dc: 7f2303d5  pacibsp	
0xfffffff0088c41e0: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c41e4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c41e8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c41ec: fd030191  add	x29, sp, #0x40
0xfffffff0088c41f0: 60008052  mov	w0, #3
0xfffffff0088c41f4: 89ddfe97  bl	#0xfffffff00887b818
0xfffffff0088c41f8: f40300aa  mov	x20, x0
0xfffffff0088c41fc: ecbfff97  bl	#0xfffffff0088b41ac
0xfffffff0088c4200: bdaffd97  bl	#0xfffffff0088300f4
0xfffffff0088c4204: 94010036  tbz	w20, #0, #0xfffffff0088c4234
0xfffffff0088c4208: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c420c: 082d1a91  add	x8, x8, #0x68b
0xfffffff0088c4210: e9138052  mov	w9, #0x9f
0xfffffff0088c4214: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c4218: e84affd0  adrp	x8, #0xfffffff007222000
0xfffffff0088c421c: 08551e91  add	x8, x8, #0x795
