; Candidate 5467
; ADRP+ADD at VM 0xfffffff0087f2550 (fileoff 0x17ee550): page=0x1fe9f7000 add_imm=0xe80

0xfffffff0087f24d0: 00050034  cbz	w0, #0xfffffff0087f2570
0xfffffff0087f24d4: e00e8052  mov	w0, #0x77
0xfffffff0087f24d8: d0240294  bl	#0xfffffff00887b818
0xfffffff0087f24dc: f70300aa  mov	x23, x0
0xfffffff0087f24e0: 33070394  bl	#0xfffffff0088b41ac
0xfffffff0087f24e4: f60300aa  mov	x22, x0
0xfffffff0087f24e8: c0008052  mov	w0, #6
0xfffffff0087f24ec: d9240294  bl	#0xfffffff00887b850
0xfffffff0087f24f0: 97010034  cbz	w23, #0xfffffff0087f2520
0xfffffff0087f24f4: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087f24f8: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f24fc: 08d51291  add	x8, x8, #0x4b5
0xfffffff0087f2500: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f2504: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f2508: e80e8052  mov	w8, #0x77
0xfffffff0087f250c: 0051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087f2510: 00b43791  add	x0, x0, #0xded
0xfffffff0087f2514: f62300a9  stp	x22, x8, [sp]
0xfffffff0087f2518: d213d797  bl	#0xfffffff007db7460
0xfffffff0087f251c: 15000014  b	#0xfffffff0087f2570
0xfffffff0087f2520: 23070394  bl	#0xfffffff0088b41ac
0xfffffff0087f2524: f60300aa  mov	x22, x0
0xfffffff0087f2528: c0008052  mov	w0, #6
0xfffffff0087f252c: c9240294  bl	#0xfffffff00887b850
0xfffffff0087f2530: e80315aa  mov	x8, x21
0xfffffff0087f2534: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087f2538: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f253c: 08d51291  add	x8, x8, #0x4b5
0xfffffff0087f2540: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f2544: e80e8052  mov	w8, #0x77
0xfffffff0087f2548: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f254c: f60300f9  str	x22, [sp]
0xfffffff0087f2550: a04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f2554: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f2558: a190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f255c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f2560: 6352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f2564: 63740091  add	x3, x3, #0x1d
0xfffffff0087f2568: 02008052  mov	w2, #0
0xfffffff0087f256c: f102ed97  bl	#0xfffffff008333130
0xfffffff0087f2570: e00315aa  mov	x0, x21
0xfffffff0087f2574: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0087f2578: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0087f257c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0087f2580: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0087f2584: ff030291  add	sp, sp, #0x80
0xfffffff0087f2588: ff0f5fd6  retab	
0xfffffff0087f258c: 7f2303d5  pacibsp	
0xfffffff0087f2590: ffc301d1  sub	sp, sp, #0x70
0xfffffff0087f2594: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0087f2598: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0087f259c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0087f25a0: fd830191  add	x29, sp, #0x60
0xfffffff0087f25a4: f30300aa  mov	x19, x0
0xfffffff0087f25a8: e00e8052  mov	w0, #0x77
0xfffffff0087f25ac: c1008052  mov	w1, #6
0xfffffff0087f25b0: 88240294  bl	#0xfffffff00887b7d0
0xfffffff0087f25b4: 40020034  cbz	w0, #0xfffffff0087f25fc
0xfffffff0087f25b8: e00e8052  mov	w0, #0x77
0xfffffff0087f25bc: 97240294  bl	#0xfffffff00887b818
0xfffffff0087f25c0: f50300aa  mov	x21, x0
0xfffffff0087f25c4: fa060394  bl	#0xfffffff0088b41ac
0xfffffff0087f25c8: f40300aa  mov	x20, x0
0xfffffff0087f25cc: c0008052  mov	w0, #6
