; Candidate 15012
; ADRP+ADD at VM 0xfffffff009a2a55c (fileoff 0x2a2655c): page=0x1fe27c000 add_imm=0xe40

0xfffffff009a2a4dc: 10e21091  add	x16, x16, #0x438
0xfffffff009a2a4e0: 10420091  add	x16, x16, #0x10
0xfffffff009a2a4e4: f10300aa  mov	x17, x0
0xfffffff009a2a4e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a2a4ec: 300ac1da  pacda	x16, x17
0xfffffff009a2a4f0: 100000f9  str	x16, [x0]
0xfffffff009a2a4f4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a2a4f8: ff0f5fd6  retab	
0xfffffff009a2a4fc: 5f2403d5  bti	c
0xfffffff009a2a500: 951e0014  b	#0xfffffff009a31f54
0xfffffff009a2a504: 5f2403d5  bti	c
0xfffffff009a2a508: 931e0014  b	#0xfffffff009a31f54
0xfffffff009a2a50c: 7f2303d5  pacibsp	
0xfffffff009a2a510: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a2a514: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a2a518: fd430091  add	x29, sp, #0x10
0xfffffff009a2a51c: f30300aa  mov	x19, x0
0xfffffff009a2a520: 8d1e0094  bl	#0xfffffff009a31f54
0xfffffff009a2a524: e013ff90  adrp	x0, #0xfffffff007ca6000
0xfffffff009a2a528: 00003991  add	x0, x0, #0xe40
0xfffffff009a2a52c: e10313aa  mov	x1, x19
0xfffffff009a2a530: 02388052  mov	w2, #0x1c0
0xfffffff009a2a534: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a2a538: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a2a53c: ff2303d5  autibsp	
0xfffffff009a2a540: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a2a544: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a2a54c
0xfffffff009a2a548: 208e38d4  brk	#0xc471
0xfffffff009a2a54c: 54f4a217  b	#0xfffffff0082e769c
0xfffffff009a2a550: 5f2403d5  bti	c
0xfffffff009a2a554: e20301aa  mov	x2, x1
0xfffffff009a2a558: e10300aa  mov	x1, x0
0xfffffff009a2a55c: e013ff90  adrp	x0, #0xfffffff007ca6000
0xfffffff009a2a560: 00003991  add	x0, x0, #0xe40
0xfffffff009a2a564: 4ef4a217  b	#0xfffffff0082e769c
0xfffffff009a2a568: 5f2403d5  bti	c
0xfffffff009a2a56c: 604c00b0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a2a570: 00a01091  add	x0, x0, #0x428
0xfffffff009a2a574: c0035fd6  ret	
0xfffffff009a2a578: 7f2303d5  pacibsp	
0xfffffff009a2a57c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a2a580: fd030091  mov	x29, sp
0xfffffff009a2a584: 01dffe90  adrp	x1, #0xfffffff00760a000
0xfffffff009a2a588: 21c00f91  add	x1, x1, #0x3f0
0xfffffff009a2a58c: 624c00b0  adrp	x2, #0xfffffff00a3b7000
0xfffffff009a2a590: 42601291  add	x2, x2, #0x498
0xfffffff009a2a594: 03388052  mov	w3, #0x1c0
0xfffffff009a2a598: 68e5a297  bl	#0xfffffff0082e3b38
0xfffffff009a2a59c: d013ffb0  adrp	x16, #0xfffffff007ca3000
0xfffffff009a2a5a0: 10622a91  add	x16, x16, #0xa98
0xfffffff009a2a5a4: 10420091  add	x16, x16, #0x10
0xfffffff009a2a5a8: f10300aa  mov	x17, x0
0xfffffff009a2a5ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a2a5b0: 300ac1da  pacda	x16, x17
0xfffffff009a2a5b4: 100000f9  str	x16, [x0]
0xfffffff009a2a5b8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a2a5bc: ff0f5fd6  retab	
0xfffffff009a2a5c0: 7f2303d5  pacibsp	
0xfffffff009a2a5c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a2a5c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a2a5cc: fd430091  add	x29, sp, #0x10
0xfffffff009a2a5d0: e013ff90  adrp	x0, #0xfffffff007ca6000
0xfffffff009a2a5d4: 00003991  add	x0, x0, #0xe40
0xfffffff009a2a5d8: 01388052  mov	w1, #0x1c0
