; Candidate 3869
; ADRP+ADD at VM 0xfffffff00876b958 (fileoff 0x1767958): page=0x1fe9c6000 add_imm=0xd90

0xfffffff00876b8d8: e3010054  b.lo	#0xfffffff00876b914
0xfffffff00876b8dc: 54588052  mov	w20, #0x2c2
0xfffffff00876b8e0: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00876b8e4: 684fffd0  adrp	x8, #0xfffffff007159000
0xfffffff00876b8e8: 08f13e91  add	x8, x8, #0xfbc
0xfffffff00876b8ec: e85300a9  stp	x8, x20, [sp]
0xfffffff00876b8f0: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876b8f4: 00403691  add	x0, x0, #0xd90
0xfffffff00876b8f8: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876b8fc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876b900: a34efff0  adrp	x3, #0xfffffff007142000
0xfffffff00876b904: 63a43f91  add	x3, x3, #0xfe9
0xfffffff00876b908: 02008052  mov	w2, #0
0xfffffff00876b90c: 091eef97  bl	#0xfffffff008333130
0xfffffff00876b910: 29000014  b	#0xfffffff00876b9b4
0xfffffff00876b914: 080b8052  mov	w8, #0x58
0xfffffff00876b918: d74ea89b  umaddl	x23, w22, w8, x19
0xfffffff00876b91c: f5820191  add	x21, x23, #0x60
0xfffffff00876b920: e00313aa  mov	x0, x19
0xfffffff00876b924: e10315aa  mov	x1, x21
0xfffffff00876b928: 42008052  mov	w2, #2
0xfffffff00876b92c: 08feff97  bl	#0xfffffff00876b14c
0xfffffff00876b930: f40300aa  mov	x20, x0
0xfffffff00876b934: e1c24079  ldrh	w1, [x23, #0x60]
0xfffffff00876b938: e00313aa  mov	x0, x19
0xfffffff00876b93c: 42008052  mov	w2, #2
0xfffffff00876b940: 26000094  bl	#0xfffffff00876b9d8
0xfffffff00876b944: e88640b9  ldr	w8, [x23, #0x84]
0xfffffff00876b948: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff00876b94c: 684fffd0  adrp	x8, #0xfffffff007159000
0xfffffff00876b950: 08f13e91  add	x8, x8, #0xfbc
0xfffffff00876b954: e80300f9  str	x8, [sp]
0xfffffff00876b958: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876b95c: 00403691  add	x0, x0, #0xd90
0xfffffff00876b960: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876b964: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876b968: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876b96c: 637c0091  add	x3, x3, #0x1f
0xfffffff00876b970: 02008052  mov	w2, #0
0xfffffff00876b974: ef1def97  bl	#0xfffffff008333130
0xfffffff00876b978: f63e40f9  ldr	x22, [x23, #0x78]
0xfffffff00876b97c: 360100b4  cbz	x22, #0xfffffff00876b9a0
0xfffffff00876b980: e00316aa  mov	x0, x22
0xfffffff00876b984: 40a2ff97  bl	#0xfffffff008754284
0xfffffff00876b988: e00316aa  mov	x0, x22
0xfffffff00876b98c: 16a2ff97  bl	#0xfffffff0087541e4
0xfffffff00876b990: c094ffd0  adrp	x0, #0xfffffff007a05000
0xfffffff00876b994: 00a00391  add	x0, x0, #0xe8
0xfffffff00876b998: e10316aa  mov	x1, x22
0xfffffff00876b99c: 5cabef97  bl	#0xfffffff00835670c
0xfffffff00876b9a0: bf2a00f9  str	xzr, [x21, #0x50]
0xfffffff00876b9a4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00876b9a8: a08201ad  stp	q0, q0, [x21, #0x30]
0xfffffff00876b9ac: a08200ad  stp	q0, q0, [x21, #0x10]
0xfffffff00876b9b0: a002803d  str	q0, [x21]
0xfffffff00876b9b4: 600640f9  ldr	x0, [x19, #8]
0xfffffff00876b9b8: 6103d997  bl	#0xfffffff007dac73c
0xfffffff00876b9bc: e00314aa  mov	x0, x20
0xfffffff00876b9c0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00876b9c4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00876b9c8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00876b9cc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00876b9d0: ff830191  add	sp, sp, #0x60
0xfffffff00876b9d4: ff0f5fd6  retab	
