; Candidate 16022
; ADRP+ADD at VM 0xfffffff009e03ff4 (fileoff 0x2dffff4): page=0x1fd8a0000 add_imm=0xe00

0xfffffff009e03f74: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009e03f78: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009e03f7c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009e03f80: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff009e03f84: fc6fc5a8  ldp	x28, x27, [sp], #0x50
0xfffffff009e03f88: ff0f5fd6  retab	
0xfffffff009e03f8c: b0677d97  bl	#0xfffffff007d5de4c
0xfffffff009e03f90: 7f2303d5  pacibsp	
0xfffffff009e03f94: ff8300d1  sub	sp, sp, #0x20
0xfffffff009e03f98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e03f9c: fd430091  add	x29, sp, #0x10
0xfffffff009e03fa0: 5ff80271  cmp	w2, #0xbe
0xfffffff009e03fa4: e0000054  b.eq	#0xfffffff009e03fc0
0xfffffff009e03fa8: 5f000371  cmp	w2, #0xc0
0xfffffff009e03fac: 00010054  b.eq	#0xfffffff009e03fcc
0xfffffff009e03fb0: 5ffc0271  cmp	w2, #0xbf
0xfffffff009e03fb4: c1040054  b.ne	#0xfffffff009e0404c
0xfffffff009e03fb8: 001040f9  ldr	x0, [x0, #0x20]
0xfffffff009e03fbc: 06000014  b	#0xfffffff009e03fd4
0xfffffff009e03fc0: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff009e03fc4: 00210091  add	x0, x8, #8
0xfffffff009e03fc8: 03000014  b	#0xfffffff009e03fd4
0xfffffff009e03fcc: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff009e03fd0: 00410091  add	x0, x8, #0x10
0xfffffff009e03fd4: 080040f9  ldr	x8, [x0]
0xfffffff009e03fd8: 280200b4  cbz	x8, #0xfffffff009e0401c
0xfffffff009e03fdc: 28f9fef0  adrp	x8, #0xfffffff007d2a000
0xfffffff009e03fe0: 08811d91  add	x8, x8, #0x760
0xfffffff009e03fe4: 085962f8  ldr	x8, [x8, w2, uxtw #3]
0xfffffff009e03fe8: a9d0fed0  adrp	x9, #0xfffffff007819000
0xfffffff009e03fec: 29c53091  add	x9, x9, #0xc31
0xfffffff009e03ff0: e92300a9  stp	x9, x8, [sp]
0xfffffff009e03ff4: 00c5fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e03ff8: 00003891  add	x0, x0, #0xe00
0xfffffff009e03ffc: 21f9fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e04000: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e04004: c3d0fef0  adrp	x3, #0xfffffff00781f000
0xfffffff009e04008: 634c3691  add	x3, x3, #0xd93
0xfffffff009e0400c: 02028052  mov	w2, #0x10
0xfffffff009e04010: 48bc9497  bl	#0xfffffff008333130
0xfffffff009e04014: 28008052  mov	w8, #1
0xfffffff009e04018: 25000014  b	#0xfffffff009e040ac
0xfffffff009e0401c: 48f9fe90  adrp	x8, #0xfffffff007d2c000
0xfffffff009e04020: 08c12b91  add	x8, x8, #0xaf0
0xfffffff009e04024: 3f0008eb  cmp	x1, x8
0xfffffff009e04028: 20030054  b.eq	#0xfffffff009e0408c
0xfffffff009e0402c: e20303aa  mov	x2, x3
0xfffffff009e04030: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e04034: ff830091  add	sp, sp, #0x20
0xfffffff009e04038: ff2303d5  autibsp	
0xfffffff009e0403c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009e04040: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009e04048
0xfffffff009e04044: 208e38d4  brk	#0xc471
0xfffffff009e04048: 79a10014  b	#0xfffffff009e2c62c
0xfffffff009e0404c: 28f9fed0  adrp	x8, #0xfffffff007d2a000
0xfffffff009e04050: 08811d91  add	x8, x8, #0x760
0xfffffff009e04054: 085962f8  ldr	x8, [x8, w2, uxtw #3]
0xfffffff009e04058: a9d0feb0  adrp	x9, #0xfffffff007819000
0xfffffff009e0405c: 29c53091  add	x9, x9, #0xc31
0xfffffff009e04060: e92300a9  stp	x9, x8, [sp]
0xfffffff009e04064: e0c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e04068: 00003891  add	x0, x0, #0xe00
0xfffffff009e0406c: 21f9feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e04070: 216844f9  ldr	x1, [x1, #0x8d0]
