; Candidate 8527
; ADRP+ADD at VM 0xfffffff0088af98c (fileoff 0x18ab98c): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088af90c: c32fff97  bl	#0xfffffff00887b818
0xfffffff0088af910: fa0300aa  mov	x26, x0
0xfffffff0088af914: 26120094  bl	#0xfffffff0088b41ac
0xfffffff0088af918: f90300aa  mov	x25, x0
0xfffffff0088af91c: e0008052  mov	w0, #7
0xfffffff0088af920: cc2fff97  bl	#0xfffffff00887b850
0xfffffff0088af924: ba010034  cbz	w26, #0xfffffff0088af958
0xfffffff0088af928: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0088af92c: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088af930: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088af934: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af938: 08dd0991  add	x8, x8, #0x277
0xfffffff0088af93c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088af940: c80f8052  mov	w8, #0x7e
0xfffffff0088af944: 204cffb0  adrp	x0, #0xfffffff007234000
0xfffffff0088af948: 00280b91  add	x0, x0, #0x2ca
0xfffffff0088af94c: f92300a9  stp	x25, x8, [sp]
0xfffffff0088af950: c41ed497  bl	#0xfffffff007db7460
0xfffffff0088af954: 16000014  b	#0xfffffff0088af9ac
0xfffffff0088af958: 15120094  bl	#0xfffffff0088b41ac
0xfffffff0088af95c: f90300aa  mov	x25, x0
0xfffffff0088af960: e0008052  mov	w0, #7
0xfffffff0088af964: bb2fff97  bl	#0xfffffff00887b850
0xfffffff0088af968: e80318aa  mov	x8, x24
0xfffffff0088af96c: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff0088af970: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088af974: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088af978: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af97c: 08dd0991  add	x8, x8, #0x277
0xfffffff0088af980: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088af984: c80f8052  mov	w8, #0x7e
0xfffffff0088af988: f92300a9  stp	x25, x8, [sp]
0xfffffff0088af98c: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088af990: 00003a91  add	x0, x0, #0xe80
0xfffffff0088af994: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088af998: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088af99c: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088af9a0: 63e40d91  add	x3, x3, #0x379
0xfffffff0088af9a4: 02008052  mov	w2, #0
0xfffffff0088af9a8: e20dea97  bl	#0xfffffff008333130
0xfffffff0088af9ac: e00318aa  mov	x0, x24
0xfffffff0088af9b0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0088af9b4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0088af9b8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0088af9bc: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0088af9c0: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0088af9c4: ffc30291  add	sp, sp, #0xb0
0xfffffff0088af9c8: ff0f5fd6  retab	
0xfffffff0088af9cc: 7f2303d5  pacibsp	
0xfffffff0088af9d0: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0088af9d4: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff0088af9d8: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff0088af9dc: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff0088af9e0: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff0088af9e4: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff0088af9e8: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff0088af9ec: fdc30291  add	x29, sp, #0xb0
0xfffffff0088af9f0: f60306aa  mov	x22, x6
0xfffffff0088af9f4: f90305aa  mov	x25, x5
0xfffffff0088af9f8: f80304aa  mov	x24, x4
0xfffffff0088af9fc: f70303aa  mov	x23, x3
0xfffffff0088afa00: f50302aa  mov	x21, x2
0xfffffff0088afa04: f40301aa  mov	x20, x1
0xfffffff0088afa08: f30300aa  mov	x19, x0
