; Candidate 4987
; ADRP+ADD at VM 0xfffffff0087d0648 (fileoff 0x17cc648): page=0x1fea19000 add_imm=0xe80

0xfffffff0087d05c8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d05cc: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d05d0: 08712591  add	x8, x8, #0x95c
0xfffffff0087d05d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d05d8: 080a8052  mov	w8, #0x50
0xfffffff0087d05dc: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d05e0: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d05e4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d05e8: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d05ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d05f0: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d05f4: 63d02091  add	x3, x3, #0x834
0xfffffff0087d05f8: 02008052  mov	w2, #0
0xfffffff0087d05fc: cd8aed97  bl	#0xfffffff008333130
0xfffffff0087d0600: cf000014  b	#0xfffffff0087d093c
0xfffffff0087d0604: ea8e0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0608: f60300aa  mov	x22, x0
0xfffffff0087d060c: 00018052  mov	w0, #8
0xfffffff0087d0610: 90ac0294  bl	#0xfffffff00887b850
0xfffffff0087d0614: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d0618: e95f40b9  ldr	w9, [sp, #0x5c]
0xfffffff0087d061c: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0087d0620: c81f8052  mov	w8, #0xfe
0xfffffff0087d0624: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d0628: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d062c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087d0630: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0634: 08712591  add	x8, x8, #0x95c
0xfffffff0087d0638: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d063c: 080a8052  mov	w8, #0x50
0xfffffff0087d0640: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d0644: f60300f9  str	x22, [sp]
0xfffffff0087d0648: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d064c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d0650: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d0654: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d0658: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d065c: 63fc2d91  add	x3, x3, #0xb7f
0xfffffff0087d0660: 02008052  mov	w2, #0
0xfffffff0087d0664: b38aed97  bl	#0xfffffff008333130
0xfffffff0087d0668: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff0087d066c: e25f40b9  ldr	w2, [sp, #0x5c]
0xfffffff0087d0670: e10314aa  mov	x1, x20
0xfffffff0087d0674: c96b0194  bl	#0xfffffff00882b598
0xfffffff0087d0678: 000a8052  mov	w0, #0x50
0xfffffff0087d067c: 01018052  mov	w1, #8
0xfffffff0087d0680: 54ac0294  bl	#0xfffffff00887b7d0
0xfffffff0087d0684: 60060034  cbz	w0, #0xfffffff0087d0750
0xfffffff0087d0688: 000a8052  mov	w0, #0x50
0xfffffff0087d068c: 63ac0294  bl	#0xfffffff00887b818
0xfffffff0087d0690: f70300aa  mov	x23, x0
0xfffffff0087d0694: c68e0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0698: f60300aa  mov	x22, x0
0xfffffff0087d069c: 00018052  mov	w0, #8
0xfffffff0087d06a0: 6cac0294  bl	#0xfffffff00887b850
0xfffffff0087d06a4: 57020034  cbz	w23, #0xfffffff0087d06ec
0xfffffff0087d06a8: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d06ac: e95f40b9  ldr	w9, [sp, #0x5c]
0xfffffff0087d06b0: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0087d06b4: 88208052  mov	w8, #0x104
0xfffffff0087d06b8: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d06bc: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d06c0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087d06c4: 0852ff90  adrp	x8, #0xfffffff007210000
