; Candidate 15155
; ADRP+ADD at VM 0xfffffff009ad02c0 (fileoff 0x2acc2c0): page=0x1fdb47000 add_imm=0xde2

0xfffffff009ad0240: 5f0108eb  cmp	x10, x8
0xfffffff009ad0244: 41050054  b.ne	#0xfffffff009ad02ec
0xfffffff009ad0248: ea0301aa  mov	x10, x1
0xfffffff009ad024c: 490d01f8  str	x9, [x10, #0x10]!
0xfffffff009ad0250: 2a0d00f9  str	x10, [x9, #0x18]
0xfffffff009ad0254: 04000014  b	#0xfffffff009ad0264
0xfffffff009ad0258: e90301aa  mov	x9, x1
0xfffffff009ad025c: 3f0d01f8  str	xzr, [x9, #0x10]!
0xfffffff009ad0260: 694e00f9  str	x9, [x19, #0x98]
0xfffffff009ad0264: 614a00f9  str	x1, [x19, #0x90]
0xfffffff009ad0268: 280c00f9  str	x8, [x1, #0x18]
0xfffffff009ad026c: 69e641b9  ldr	w9, [x19, #0x1e4]
0xfffffff009ad0270: 28050011  add	w8, w9, #1
0xfffffff009ad0274: 68e601b9  str	w8, [x19, #0x1e4]
0xfffffff009ad0278: cabf9f12  mov	w10, #-0xfdff
0xfffffff009ad027c: 29010a0b  add	w9, w9, w10
0xfffffff009ad0280: 3f010871  cmp	w9, #0x200
0xfffffff009ad0284: c8020054  b.hi	#0xfffffff009ad02dc
0xfffffff009ad0288: 69824739  ldrb	w9, [x19, #0x1e0]
0xfffffff009ad028c: 89020035  cbnz	w9, #0xfffffff009ad02dc
0xfffffff009ad0290: 3400a052  mov	w20, #0x10000
0xfffffff009ad0294: e85300a9  stp	x8, x20, [sp]
0xfffffff009ad0298: 00dafef0  adrp	x0, #0xfffffff007613000
0xfffffff009ad029c: 00801f91  add	x0, x0, #0x7e0
0xfffffff009ad02a0: 810fffb0  adrp	x1, #0xfffffff007cc1000
0xfffffff009ad02a4: 21b840f9  ldr	x1, [x1, #0x170]
0xfffffff009ad02a8: 43dafeb0  adrp	x3, #0xfffffff007619000
0xfffffff009ad02ac: 63580191  add	x3, x3, #0x56
0xfffffff009ad02b0: 22028052  mov	w2, #0x11
0xfffffff009ad02b4: 9f8ba197  bl	#0xfffffff008333130
0xfffffff009ad02b8: 68e641b9  ldr	w8, [x19, #0x1e4]
0xfffffff009ad02bc: e85300a9  stp	x8, x20, [sp]
0xfffffff009ad02c0: 20dafef0  adrp	x0, #0xfffffff007617000
0xfffffff009ad02c4: 00883791  add	x0, x0, #0xde2
0xfffffff009ad02c8: 561ba297  bl	#0xfffffff008357020
0xfffffff009ad02cc: e00313aa  mov	x0, x19
0xfffffff009ad02d0: 0f000094  bl	#0xfffffff009ad030c
0xfffffff009ad02d4: 28008052  mov	w8, #1
0xfffffff009ad02d8: 68820739  strb	w8, [x19, #0x1e0]
0xfffffff009ad02dc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009ad02e0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009ad02e4: ff030191  add	sp, sp, #0x40
0xfffffff009ad02e8: ff0f5fd6  retab	
0xfffffff009ad02ec: 09478052  mov	w9, #0x238
0xfffffff009ad02f0: 2adafef0  adrp	x10, #0xfffffff007617000
0xfffffff009ad02f4: 4a413791  add	x10, x10, #0xdd0
0xfffffff009ad02f8: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff009ad02fc: e82700a9  stp	x8, x9, [sp]
0xfffffff009ad0300: 20dafeb0  adrp	x0, #0xfffffff007615000
0xfffffff009ad0304: 00780a91  add	x0, x0, #0x29e
0xfffffff009ad0308: 8110a797  bl	#0xfffffff00849450c
0xfffffff009ad030c: 7f2303d5  pacibsp	
0xfffffff009ad0310: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009ad0314: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ad0318: fd430091  add	x29, sp, #0x10
0xfffffff009ad031c: 100040f9  ldr	x16, [x0]
0xfffffff009ad0320: f10300aa  mov	x17, x0
0xfffffff009ad0324: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ad0328: 301ac1da  autda	x16, x17
0xfffffff009ad032c: 117380d2  mov	x17, #0x398
0xfffffff009ad0330: 1002118b  add	x16, x16, x17
0xfffffff009ad0334: 080240f9  ldr	x8, [x16]
0xfffffff009ad0338: e90310aa  mov	x9, x16
0xfffffff009ad033c: f10309aa  mov	x17, x9
