; Candidate 12581
; ADRP+ADD at VM 0xfffffff0090c0650 (fileoff 0x20bc650): page=0x1fe399000 add_imm=0xe24

0xfffffff0090c05d0: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff0090c05d4: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff0090c05d8: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff0090c05dc: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff0090c05e0: 88118052  mov	w8, #0x8c
0xfffffff0090c05e4: e81700f9  str	x8, [sp, #0x28]
0xfffffff0090c05e8: a3c301d1  sub	x3, x29, #0x70
0xfffffff0090c05ec: e5c30091  add	x5, sp, #0x30
0xfffffff0090c05f0: e6a30091  add	x6, sp, #0x28
0xfffffff0090c05f4: e00315aa  mov	x0, x21
0xfffffff0090c05f8: c1058052  mov	w1, #0x2e
0xfffffff0090c05fc: 02008052  mov	w2, #0
0xfffffff0090c0600: 04038052  mov	w4, #0x18
0xfffffff0090c0604: 519081d2  mov	x17, #0xc82
0xfffffff0090c0608: 910a3fd7  blraa	x20, x17
0xfffffff0090c060c: 60060035  cbnz	w0, #0xfffffff0090c06d8
0xfffffff0090c0610: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0090c0614: 1f2d00f1  cmp	x8, #0xb
0xfffffff0090c0618: 09080054  b.ls	#0xfffffff0090c0718
0xfffffff0090c061c: e83340b9  ldr	w8, [sp, #0x30]
0xfffffff0090c0620: a8090034  cbz	w8, #0xfffffff0090c0754
0xfffffff0090c0624: 14008052  mov	w20, #0
0xfffffff0090c0628: e84343f8  ldur	x8, [sp, #0x34]
0xfffffff0090c062c: 680200f9  str	x8, [x19]
0xfffffff0090c0630: 48018052  mov	w8, #0xa
0xfffffff0090c0634: 49034039  ldrb	w9, [x26]
0xfffffff0090c0638: 1f01096b  cmp	w8, w9
0xfffffff0090c063c: 03010054  b.lo	#0xfffffff0090c065c
0xfffffff0090c0640: e80314aa  mov	x8, x20
0xfffffff0090c0644: 087d4093  sxtw	x8, w8
0xfffffff0090c0648: f96300a9  stp	x25, x24, [sp]
0xfffffff0090c064c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c0650: c01cffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090c0654: 00903891  add	x0, x0, #0xe24
0xfffffff0090c0658: 725aca97  bl	#0xfffffff008357020
0xfffffff0090c065c: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0090c0660: 4954ffb0  adrp	x9, #0xfffffff007b49000
0xfffffff0090c0664: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090c0668: 290140f9  ldr	x9, [x9]
0xfffffff0090c066c: 3f0108eb  cmp	x9, x8
0xfffffff0090c0670: 21090054  b.ne	#0xfffffff0090c0794
0xfffffff0090c0674: e00314aa  mov	x0, x20
0xfffffff0090c0678: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff0090c067c: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff0090c0680: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff0090c0684: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff0090c0688: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff0090c068c: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff0090c0690: ff030591  add	sp, sp, #0x140
0xfffffff0090c0694: ff0f5fd6  retab	
0xfffffff0090c0698: e8d48052  mov	w8, #0x6a7
0xfffffff0090c069c: 291dfff0  adrp	x9, #0xfffffff007467000
0xfffffff0090c06a0: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c06a4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090c06a8: c81cffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090c06ac: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c06b0: 4a1dffb0  adrp	x10, #0xfffffff007469000
0xfffffff0090c06b4: 4a4d0091  add	x10, x10, #0x13
0xfffffff0090c06b8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090c06bc: ea0300f9  str	x10, [sp]
0xfffffff0090c06c0: c01cffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090c06c4: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090c06c8: 565aca97  bl	#0xfffffff008357020
0xfffffff0090c06cc: c8088052  mov	w8, #0x46
