; Candidate 11410
; ADRP+ADD at VM 0xfffffff008f32004 (fileoff 0x1f2e004): page=0x1fe4e5000 add_imm=0xe2d

0xfffffff008f31f84: f10317aa  mov	x17, x23
0xfffffff008f31f88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f31f8c: 301ac1da  autda	x16, x17
0xfffffff008f31f90: 112080d2  mov	x17, #0x100
0xfffffff008f31f94: 1002118b  add	x16, x16, x17
0xfffffff008f31f98: 080240f9  ldr	x8, [x16]
0xfffffff008f31f9c: e90310aa  mov	x9, x16
0xfffffff008f31fa0: e4730091  add	x4, sp, #0x1c
0xfffffff008f31fa4: e00317aa  mov	x0, x23
0xfffffff008f31fa8: e20316aa  mov	x2, x22
0xfffffff008f31fac: e30315aa  mov	x3, x21
0xfffffff008f31fb0: e50314aa  mov	x5, x20
0xfffffff008f31fb4: e60313aa  mov	x6, x19
0xfffffff008f31fb8: f10309aa  mov	x17, x9
0xfffffff008f31fbc: 51bbeff2  movk	x17, #0x7dda, lsl #48
0xfffffff008f31fc0: 11093fd7  blraa	x8, x17
0xfffffff008f31fc4: 60020034  cbz	w0, #0xfffffff008f32010
0xfffffff008f31fc8: f70300aa  mov	x23, x0
0xfffffff008f31fcc: d00240f9  ldr	x16, [x22]
0xfffffff008f31fd0: f10316aa  mov	x17, x22
0xfffffff008f31fd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f31fd8: 301ac1da  autda	x16, x17
0xfffffff008f31fdc: 113d80d2  mov	x17, #0x1e8
0xfffffff008f31fe0: 1002118b  add	x16, x16, x17
0xfffffff008f31fe4: 080240f9  ldr	x8, [x16]
0xfffffff008f31fe8: e90310aa  mov	x9, x16
0xfffffff008f31fec: e00316aa  mov	x0, x22
0xfffffff008f31ff0: 010080d2  mov	x1, #0
0xfffffff008f31ff4: f10309aa  mov	x17, x9
0xfffffff008f31ff8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008f31ffc: 11093fd7  blraa	x8, x17
0xfffffff008f32000: e05f00a9  stp	x0, x23, [sp]
0xfffffff008f32004: 2027ffb0  adrp	x0, #0xfffffff007417000
0xfffffff008f32008: 00b43891  add	x0, x0, #0xe2d
0xfffffff008f3200c: 1515ba97  bl	#0xfffffff007db7460
0xfffffff008f32010: e21f40b9  ldr	w2, [sp, #0x1c]
0xfffffff008f32014: d00240f9  ldr	x16, [x22]
0xfffffff008f32018: f10316aa  mov	x17, x22
0xfffffff008f3201c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f32020: 301ac1da  autda	x16, x17
0xfffffff008f32024: 110a81d2  mov	x17, #0x850
0xfffffff008f32028: 1002118b  add	x16, x16, x17
0xfffffff008f3202c: 080240f9  ldr	x8, [x16]
0xfffffff008f32030: e90310aa  mov	x9, x16
0xfffffff008f32034: e00316aa  mov	x0, x22
0xfffffff008f32038: e10315aa  mov	x1, x21
0xfffffff008f3203c: e30314aa  mov	x3, x20
0xfffffff008f32040: e40313aa  mov	x4, x19
0xfffffff008f32044: f10309aa  mov	x17, x9
0xfffffff008f32048: 7170fef2  movk	x17, #0xf383, lsl #48
0xfffffff008f3204c: 11093fd7  blraa	x8, x17
0xfffffff008f32050: 60020034  cbz	w0, #0xfffffff008f3209c
0xfffffff008f32054: f70300aa  mov	x23, x0
0xfffffff008f32058: d00240f9  ldr	x16, [x22]
0xfffffff008f3205c: f10316aa  mov	x17, x22
0xfffffff008f32060: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f32064: 301ac1da  autda	x16, x17
0xfffffff008f32068: 113d80d2  mov	x17, #0x1e8
0xfffffff008f3206c: 1002118b  add	x16, x16, x17
0xfffffff008f32070: 080240f9  ldr	x8, [x16]
0xfffffff008f32074: e90310aa  mov	x9, x16
0xfffffff008f32078: e00316aa  mov	x0, x22
0xfffffff008f3207c: 010080d2  mov	x1, #0
0xfffffff008f32080: f10309aa  mov	x17, x9
