; Candidate 14850
; ADRP+ADD at VM 0xfffffff0099bf190 (fileoff 0x29bb190): page=0x1fdc38000 add_imm=0xcf9

0xfffffff0099bf110: e20313aa  mov	x2, x19
0xfffffff0099bf114: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0099bf118: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0099bf11c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0099bf120: ff030191  add	sp, sp, #0x40
0xfffffff0099bf124: ff2303d5  autibsp	
0xfffffff0099bf128: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0099bf12c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0099bf134
0xfffffff0099bf130: 208e38d4  brk	#0xc471
0xfffffff0099bf134: f10303aa  mov	x17, x3
0xfffffff0099bf138: 71a3f4f2  movk	x17, #0xa51b, lsl #48
0xfffffff0099bf13c: 110a1fd7  braa	x16, x17
0xfffffff0099bf140: 7f2303d5  pacibsp	
0xfffffff0099bf144: ff8301d1  sub	sp, sp, #0x60
0xfffffff0099bf148: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0099bf14c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0099bf150: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0099bf154: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0099bf158: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0099bf15c: fd430191  add	x29, sp, #0x50
0xfffffff0099bf160: f30303aa  mov	x19, x3
0xfffffff0099bf164: f40302aa  mov	x20, x2
0xfffffff0099bf168: f50301aa  mov	x21, x1
0xfffffff0099bf16c: f60300aa  mov	x22, x0
0xfffffff0099bf170: a84f00d0  adrp	x8, #0xfffffff00a3b5000
0xfffffff0099bf174: 08413d91  add	x8, x8, #0xf50
0xfffffff0099bf178: 08014039  ldrb	w8, [x8]
0xfffffff0099bf17c: d8e1fed0  adrp	x24, #0xfffffff0075f9000
0xfffffff0099bf180: 183f0d91  add	x24, x24, #0x34f
0xfffffff0099bf184: c8000036  tbz	w8, #0, #0xfffffff0099bf19c
0xfffffff0099bf188: 28a18352  mov	w8, #0x1d09
0xfffffff0099bf18c: f82300a9  stp	x24, x8, [sp]
0xfffffff0099bf190: c0e1fe90  adrp	x0, #0xfffffff0075f7000
0xfffffff0099bf194: 00e43391  add	x0, x0, #0xcf9
0xfffffff0099bf198: eec0aa97  bl	#0xfffffff00846f550
0xfffffff0099bf19c: c08e40f9  ldr	x0, [x22, #0x118]
0xfffffff0099bf1a0: e9ceff97  bl	#0xfffffff0099b2d44
0xfffffff0099bf1a4: c8624339  ldrb	w8, [x22, #0xd8]
0xfffffff0099bf1a8: 28020034  cbz	w8, #0xfffffff0099bf1ec
0xfffffff0099bf1ac: d9a28352  mov	w25, #0x1d16
0xfffffff0099bf1b0: f86700a9  stp	x24, x25, [sp]
0xfffffff0099bf1b4: d7e1fed0  adrp	x23, #0xfffffff0075f9000
0xfffffff0099bf1b8: f77a0e91  add	x23, x23, #0x39e
0xfffffff0099bf1bc: e00317aa  mov	x0, x23
0xfffffff0099bf1c0: 985fa697  bl	#0xfffffff008357020
0xfffffff0099bf1c4: f86700a9  stp	x24, x25, [sp]
0xfffffff0099bf1c8: e00317aa  mov	x0, x23
0xfffffff0099bf1cc: e1c0aa97  bl	#0xfffffff00846f550
0xfffffff0099bf1d0: 28008052  mov	w8, #1
0xfffffff0099bf1d4: 68020039  strb	w8, [x19]
0xfffffff0099bf1d8: c8660339  strb	w8, [x22, #0xd9]
0xfffffff0099bf1dc: d4de00b9  str	w20, [x22, #0xdc]
0xfffffff0099bf1e0: c08e40f9  ldr	x0, [x22, #0x118]
0xfffffff0099bf1e4: e3ceff97  bl	#0xfffffff0099b2d70
0xfffffff0099bf1e8: 08000014  b	#0xfffffff0099bf208
0xfffffff0099bf1ec: c08e40f9  ldr	x0, [x22, #0x118]
0xfffffff0099bf1f0: e0ceff97  bl	#0xfffffff0099b2d70
0xfffffff0099bf1f4: c08640f9  ldr	x0, [x22, #0x108]
0xfffffff0099bf1f8: 9716a797  bl	#0xfffffff008384c54
0xfffffff0099bf1fc: 00030036  tbz	w0, #0, #0xfffffff0099bf25c
0xfffffff0099bf200: e00316aa  mov	x0, x22
0xfffffff0099bf204: 2bd4ff97  bl	#0xfffffff0099b42b0
0xfffffff0099bf208: 4816ffd0  adrp	x8, #0xfffffff007c89000
0xfffffff0099bf20c: 084d40f9  ldr	x8, [x8, #0x98]
