; Candidate 8845
; ADRP+ADD at VM 0xfffffff0088dbb08 (fileoff 0x18d7b08): page=0x1fe98f000 add_imm=0xd25

0xfffffff0088dba88: f40300aa  mov	x20, x0
0xfffffff0088dba8c: 700240f9  ldr	x16, [x19]
0xfffffff0088dba90: f10313aa  mov	x17, x19
0xfffffff0088dba94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088dba98: 301ac1da  autda	x16, x17
0xfffffff0088dba9c: 113d80d2  mov	x17, #0x1e8
0xfffffff0088dbaa0: 1002118b  add	x16, x16, x17
0xfffffff0088dbaa4: 080240f9  ldr	x8, [x16]
0xfffffff0088dbaa8: e90310aa  mov	x9, x16
0xfffffff0088dbaac: e00313aa  mov	x0, x19
0xfffffff0088dbab0: 010080d2  mov	x1, #0
0xfffffff0088dbab4: f10309aa  mov	x17, x9
0xfffffff0088dbab8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088dbabc: 11093fd7  blraa	x8, x17
0xfffffff0088dbac0: f50300aa  mov	x21, x0
0xfffffff0088dbac4: 700240f9  ldr	x16, [x19]
0xfffffff0088dbac8: f10313aa  mov	x17, x19
0xfffffff0088dbacc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088dbad0: 301ac1da  autda	x16, x17
0xfffffff0088dbad4: 118e80d2  mov	x17, #0x470
0xfffffff0088dbad8: 1002118b  add	x16, x16, x17
0xfffffff0088dbadc: 080240f9  ldr	x8, [x16]
0xfffffff0088dbae0: e90310aa  mov	x9, x16
0xfffffff0088dbae4: e00313aa  mov	x0, x19
0xfffffff0088dbae8: e10314aa  mov	x1, x20
0xfffffff0088dbaec: f10309aa  mov	x17, x9
0xfffffff0088dbaf0: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0088dbaf4: 11093fd7  blraa	x8, x17
0xfffffff0088dbaf8: 884cff90  adrp	x8, #0xfffffff00726b000
0xfffffff0088dbafc: 08351591  add	x8, x8, #0x54d
0xfffffff0088dbb00: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088dbb04: f50300f9  str	x21, [sp]
0xfffffff0088dbb08: 604cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088dbb0c: 00943491  add	x0, x0, #0xd25
0xfffffff0088dbb10: 44ede997  bl	#0xfffffff008357020
0xfffffff0088dbb14: baffff17  b	#0xfffffff0088db9fc
0xfffffff0088dbb18: 7f2303d5  pacibsp	
0xfffffff0088dbb1c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088dbb20: fd030091  mov	x29, sp
0xfffffff0088dbb24: 814cff90  adrp	x1, #0xfffffff00726b000
0xfffffff0088dbb28: 21981591  add	x1, x1, #0x566
0xfffffff0088dbb2c: 02d00090  adrp	x2, #0xfffffff00a2db000
0xfffffff0088dbb30: 42e01e91  add	x2, x2, #0x7b8
0xfffffff0088dbb34: 03198052  mov	w3, #0xc8
0xfffffff0088dbb38: 0020e897  bl	#0xfffffff0082e3b38
0xfffffff0088dbb3c: d089ff90  adrp	x16, #0xfffffff007a13000
0xfffffff0088dbb40: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0088dbb44: 10420091  add	x16, x16, #0x10
0xfffffff0088dbb48: f10300aa  mov	x17, x0
0xfffffff0088dbb4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088dbb50: 300ac1da  pacda	x16, x17
0xfffffff0088dbb54: 100000f9  str	x16, [x0]
0xfffffff0088dbb58: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088dbb5c: ff0f5fd6  retab	
0xfffffff0088dbb60: 5f2403d5  bti	c
0xfffffff0088dbb64: e422e817  b	#0xfffffff0082e46f4
0xfffffff0088dbb68: 7f2303d5  pacibsp	
0xfffffff0088dbb6c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088dbb70: fd030091  mov	x29, sp
0xfffffff0088dbb74: 7e0b0094  bl	#0xfffffff0088de96c
0xfffffff0088dbb78: b089fff0  adrp	x16, #0xfffffff007a12000
0xfffffff0088dbb7c: 10223391  add	x16, x16, #0xcc8
0xfffffff0088dbb80: 10420091  add	x16, x16, #0x10
0xfffffff0088dbb84: f10300aa  mov	x17, x0
