; Candidate 16323
; ADRP+ADD at VM 0xfffffff009e5930c (fileoff 0x2e5530c): page=0x1fd9d4000 add_imm=0xd43

0xfffffff009e5928c: 290140f9  ldr	x9, [x9]
0xfffffff009e59290: 3f0108eb  cmp	x9, x8
0xfffffff009e59294: 61080054  b.ne	#0xfffffff009e593a0
0xfffffff009e59298: e00318aa  mov	x0, x24
0xfffffff009e5929c: ffc31191  add	sp, sp, #0x470
0xfffffff009e592a0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009e592a4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009e592a8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009e592ac: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009e592b0: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff009e592b4: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff009e592b8: ff0f5fd6  retab	
0xfffffff009e592bc: f80300aa  mov	x24, x0
0xfffffff009e592c0: 1f080071  cmp	w0, #2
0xfffffff009e592c4: 61fdff54  b.ne	#0xfffffff009e59270
0xfffffff009e592c8: a81240f9  ldr	x8, [x21, #0x20]
0xfffffff009e592cc: 280400b4  cbz	x8, #0xfffffff009e59350
0xfffffff009e592d0: 18008052  mov	w24, #0
0xfffffff009e592d4: 29008052  mov	w9, #1
0xfffffff009e592d8: 090100b9  str	w9, [x8]
0xfffffff009e592dc: e5ffff17  b	#0xfffffff009e59270
0xfffffff009e592e0: f80300aa  mov	x24, x0
0xfffffff009e592e4: 083e8452  mov	w8, #0x21f0
0xfffffff009e592e8: f502088b  add	x21, x23, x8
0xfffffff009e592ec: e00316aa  mov	x0, x22
0xfffffff009e592f0: c8ee8d97  bl	#0xfffffff0081d4e10
0xfffffff009e592f4: fb0302a9  stp	x27, x0, [sp, #0x20]
0xfffffff009e592f8: f56301a9  stp	x21, x24, [sp, #0x10]
0xfffffff009e592fc: a8cefe90  adrp	x8, #0xfffffff00782d000
0xfffffff009e59300: 08b13491  add	x8, x8, #0xd2c
0xfffffff009e59304: 09b38052  mov	w9, #0x598
0xfffffff009e59308: e82700a9  stp	x8, x9, [sp]
0xfffffff009e5930c: a0cefe90  adrp	x0, #0xfffffff00782d000
0xfffffff009e59310: 000c3591  add	x0, x0, #0xd43
0xfffffff009e59314: 0b000014  b	#0xfffffff009e59340
0xfffffff009e59318: f80300aa  mov	x24, x0
0xfffffff009e5931c: 083e8452  mov	w8, #0x21f0
0xfffffff009e59320: e802088b  add	x8, x23, x8
0xfffffff009e59324: 49b58052  mov	w9, #0x5aa
0xfffffff009e59328: aacefe90  adrp	x10, #0xfffffff00782d000
0xfffffff009e5932c: 4ab13491  add	x10, x10, #0xd2c
0xfffffff009e59330: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e59334: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff009e59338: a0cffeb0  adrp	x0, #0xfffffff00784e000
0xfffffff009e5933c: 00c00891  add	x0, x0, #0x230
0xfffffff009e59340: 61990094  bl	#0xfffffff009e7f8c4
0xfffffff009e59344: cbffff17  b	#0xfffffff009e59270
0xfffffff009e59348: e00318aa  mov	x0, x24
0xfffffff009e5934c: 54230294  bl	#0xfffffff009ee209c
0xfffffff009e59350: 18008052  mov	w24, #0
0xfffffff009e59354: c7ffff17  b	#0xfffffff009e59270
0xfffffff009e59358: fb0300aa  mov	x27, x0
0xfffffff009e5935c: e00318aa  mov	x0, x24
0xfffffff009e59360: 4f230294  bl	#0xfffffff009ee209c
0xfffffff009e59364: 083e8452  mov	w8, #0x21f0
0xfffffff009e59368: f502088b  add	x21, x23, x8
0xfffffff009e5936c: e00316aa  mov	x0, x22
0xfffffff009e59370: a8ee8d97  bl	#0xfffffff0081d4e10
0xfffffff009e59374: fa0302a9  stp	x26, x0, [sp, #0x20]
0xfffffff009e59378: f56f01a9  stp	x21, x27, [sp, #0x10]
0xfffffff009e5937c: a8cefe90  adrp	x8, #0xfffffff00782d000
0xfffffff009e59380: 08b13491  add	x8, x8, #0xd2c
0xfffffff009e59384: 29b78052  mov	w9, #0x5b9
0xfffffff009e59388: e82700a9  stp	x8, x9, [sp]
