; Candidate 16559
; ADRP+ADD at VM 0xfffffff009ee3ba4 (fileoff 0x2edfba4): page=0x1fd96d000 add_imm=0xd89

0xfffffff009ee3b24: 130080d2  mov	x19, #0
0xfffffff009ee3b28: e00313aa  mov	x0, x19
0xfffffff009ee3b2c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009ee3b30: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009ee3b34: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009ee3b38: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009ee3b3c: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009ee3b40: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff009ee3b44: ff430291  add	sp, sp, #0x90
0xfffffff009ee3b48: ff0f5fd6  retab	
0xfffffff009ee3b4c: e80240f9  ldr	x8, [x23]
0xfffffff009ee3b50: 08fd7cd3  lsr	x8, x8, #0x3c
0xfffffff009ee3b54: 10050051  sub	w16, w8, #1
0xfffffff009ee3b58: 1f360071  cmp	w16, #0xd
0xfffffff009ee3b5c: a8010054  b.hi	#0xfffffff009ee3b90
0xfffffff009ee3b60: 1a058052  mov	w26, #0x28
0xfffffff009ee3b64: 1f3600f1  cmp	x16, #0xd
0xfffffff009ee3b68: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff009ee3b6c: 110000b0  adrp	x17, #0xfffffff009ee4000
0xfffffff009ee3b70: 31621f91  add	x17, x17, #0x7d8
0xfffffff009ee3b74: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff009ee3b78: 11000010  adr	x17, #0xfffffff009ee3b78
0xfffffff009ee3b7c: 3002108b  add	x16, x17, x16
0xfffffff009ee3b80: 00021fd6  br	x16
0xfffffff009ee3b84: 9f2403d5  bti	j
0xfffffff009ee3b88: 1a038052  mov	w26, #0x18
0xfffffff009ee3b8c: 61000014  b	#0xfffffff009ee3d10
0xfffffff009ee3b90: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ee3b94: 68cbfeb0  adrp	x8, #0xfffffff007850000
0xfffffff009ee3b98: 08a53691  add	x8, x8, #0xda9
0xfffffff009ee3b9c: 093f8152  mov	w9, #0x9f8
0xfffffff009ee3ba0: e82700a9  stp	x8, x9, [sp]
0xfffffff009ee3ba4: 60cbfeb0  adrp	x0, #0xfffffff007850000
0xfffffff009ee3ba8: 00243691  add	x0, x0, #0xd89
0xfffffff009ee3bac: 66000014  b	#0xfffffff009ee3d44
0xfffffff009ee3bb0: 9f2403d5  bti	j
0xfffffff009ee3bb4: 94fbffb4  cbz	x20, #0xfffffff009ee3b24
0xfffffff009ee3bb8: 89624079  ldrh	w9, [x20, #0x30]
0xfffffff009ee3bbc: 0a108052  mov	w10, #0x80
0xfffffff009ee3bc0: 4e000014  b	#0xfffffff009ee3cf8
0xfffffff009ee3bc4: 9f2403d5  bti	j
0xfffffff009ee3bc8: 1a358052  mov	w26, #0x1a8
0xfffffff009ee3bcc: 51000014  b	#0xfffffff009ee3d10
0xfffffff009ee3bd0: 9f2403d5  bti	j
0xfffffff009ee3bd4: 94faffb4  cbz	x20, #0xfffffff009ee3b24
0xfffffff009ee3bd8: e9124079  ldrh	w9, [x23, #8]
0xfffffff009ee3bdc: 29610091  add	x9, x9, #0x18
0xfffffff009ee3be0: 8a064079  ldrh	w10, [x20, #2]
0xfffffff009ee3be4: 45000014  b	#0xfffffff009ee3cf8
0xfffffff009ee3be8: 9f2403d5  bti	j
0xfffffff009ee3bec: d4f9ffb4  cbz	x20, #0xfffffff009ee3b24
0xfffffff009ee3bf0: 89124079  ldrh	w9, [x20, #8]
0xfffffff009ee3bf4: 09000014  b	#0xfffffff009ee3c18
0xfffffff009ee3bf8: 9f2403d5  bti	j
0xfffffff009ee3bfc: 54f9ffb4  cbz	x20, #0xfffffff009ee3b24
0xfffffff009ee3c00: 892e4079  ldrh	w9, [x20, #0x16]
0xfffffff009ee3c04: 8a0a4079  ldrh	w10, [x20, #4]
0xfffffff009ee3c08: 2b7d0853  lsr	w11, w9, #8
0xfffffff009ee3c0c: 6b01290b  add	w11, w11, w9, uxtb
0xfffffff009ee3c10: 5f190071  cmp	w10, #6
0xfffffff009ee3c14: 6901891a  csel	w9, w11, w9, eq
0xfffffff009ee3c18: 0a058052  mov	w10, #0x28
0xfffffff009ee3c1c: 37000014  b	#0xfffffff009ee3cf8
0xfffffff009ee3c20: 9f2403d5  bti	j
