; Candidate 3252
; ADRP+ADD at VM 0xfffffff00872525c (fileoff 0x172125c): page=0x1fea0c000 add_imm=0xd90

0xfffffff0087251dc: 15fd7fd3  lsr	x21, x8, #0x3f
0xfffffff0087251e0: e00314aa  mov	x0, x20
0xfffffff0087251e4: 21008052  mov	w1, #1
0xfffffff0087251e8: 02008052  mov	w2, #0
0xfffffff0087251ec: 25d8ff97  bl	#0xfffffff00871b280
0xfffffff0087251f0: 75020039  strb	w21, [x19]
0xfffffff0087251f4: e6ffff17  b	#0xfffffff00872518c
0xfffffff0087251f8: e00314aa  mov	x0, x20
0xfffffff0087251fc: eafbff97  bl	#0xfffffff0087241a4
0xfffffff008725200: 600300b9  str	w0, [x27]
0xfffffff008725204: 081c0051  sub	w8, w0, #7
0xfffffff008725208: 1f390031  cmn	w8, #0xe
0xfffffff00872520c: e8e1ff54  b.hi	#0xfffffff008724e48
0xfffffff008725210: c8008052  mov	w8, #6
0xfffffff008725214: a9008012  mov	w9, #-6
0xfffffff008725218: 8a51ffb0  adrp	x10, #0xfffffff007156000
0xfffffff00872521c: 4ac10991  add	x10, x10, #0x270
0xfffffff008725220: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008725224: ea0301a9  stp	x10, x0, [sp, #0x10]
0xfffffff008725228: 289a8152  mov	w8, #0xcd1
0xfffffff00872522c: 8951ffb0  adrp	x9, #0xfffffff007156000
0xfffffff008725230: 29550791  add	x9, x9, #0x1d5
0xfffffff008725234: e92300a9  stp	x9, x8, [sp]
0xfffffff008725238: 6050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00872523c: 00403691  add	x0, x0, #0xd90
0xfffffff008725240: c196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008725244: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008725248: a350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00872524c: 63882f91  add	x3, x3, #0xbe2
0xfffffff008725250: 02008052  mov	w2, #0
0xfffffff008725254: b737f097  bl	#0xfffffff008333130
0xfffffff008725258: 12000014  b	#0xfffffff0087252a0
0xfffffff00872525c: 6050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008725260: 00403691  add	x0, x0, #0xd90
0xfffffff008725264: c196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008725268: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872526c: a350ff90  adrp	x3, #0xfffffff007139000
0xfffffff008725270: 63d83191  add	x3, x3, #0xc76
0xfffffff008725274: 02008052  mov	w2, #0
0xfffffff008725278: ae37f097  bl	#0xfffffff008333130
0xfffffff00872527c: 09000014  b	#0xfffffff0087252a0
0xfffffff008725280: 6050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008725284: 00403691  add	x0, x0, #0xd90
0xfffffff008725288: c196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00872528c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008725290: a350ff90  adrp	x3, #0xfffffff007139000
0xfffffff008725294: 63743291  add	x3, x3, #0xc9d
0xfffffff008725298: 02008052  mov	w2, #0
0xfffffff00872529c: a537f097  bl	#0xfffffff008333130
0xfffffff0087252a0: e00313aa  mov	x0, x19
0xfffffff0087252a4: 0c000094  bl	#0xfffffff0087252d4
0xfffffff0087252a8: 16008012  mov	w22, #-1
0xfffffff0087252ac: 760200b9  str	w22, [x19]
0xfffffff0087252b0: e00316aa  mov	x0, x22
0xfffffff0087252b4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087252b8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087252bc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087252c0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087252c4: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0087252c8: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0087252cc: ff830291  add	sp, sp, #0xa0
0xfffffff0087252d0: ff0f5fd6  retab	
0xfffffff0087252d4: 7f2303d5  pacibsp	
0xfffffff0087252d8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
