; Candidate 12222
; ADRP+ADD at VM 0xfffffff00907212c (fileoff 0x206e12c): page=0x1fe3e3000 add_imm=0xcf5

0xfffffff0090720ac: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff0090720b0: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff0090720b4: 100040f9  ldr	x16, [x0]
0xfffffff0090720b8: f10300aa  mov	x17, x0
0xfffffff0090720bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090720c0: 301ac1da  autda	x16, x17
0xfffffff0090720c4: 112380d2  mov	x17, #0x118
0xfffffff0090720c8: 1002118b  add	x16, x16, x17
0xfffffff0090720cc: 080240f9  ldr	x8, [x16]
0xfffffff0090720d0: e90310aa  mov	x9, x16
0xfffffff0090720d4: 011ffff0  adrp	x1, #0xfffffff007455000
0xfffffff0090720d8: 21d43391  add	x1, x1, #0xcf5
0xfffffff0090720dc: f10309aa  mov	x17, x9
0xfffffff0090720e0: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0090720e4: 11093fd7  blraa	x8, x17
0xfffffff0090720e8: 8856fff0  adrp	x8, #0xfffffff007b45000
0xfffffff0090720ec: 082945f9  ldr	x8, [x8, #0xa50]
0xfffffff0090720f0: 150140f9  ldr	x21, [x8]
0xfffffff0090720f4: e10315aa  mov	x1, x21
0xfffffff0090720f8: ffc6c997  bl	#0xfffffff0082e3cf4
0xfffffff0090720fc: 800100b4  cbz	x0, #0xfffffff00907212c
0xfffffff009072100: 100040f9  ldr	x16, [x0]
0xfffffff009072104: f10300aa  mov	x17, x0
0xfffffff009072108: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00907210c: 301ac1da  autda	x16, x17
0xfffffff009072110: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff009072114: e90310aa  mov	x9, x16
0xfffffff009072118: f10309aa  mov	x17, x9
0xfffffff00907211c: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff009072120: 11093fd7  blraa	x8, x17
0xfffffff009072124: 080040b9  ldr	w8, [x0]
0xfffffff009072128: 68fa00b9  str	w8, [x19, #0xf8]
0xfffffff00907212c: 001ffff0  adrp	x0, #0xfffffff007455000
0xfffffff009072130: 00d43391  add	x0, x0, #0xcf5
0xfffffff009072134: e1a30091  add	x1, sp, #0x28
0xfffffff009072138: 82008052  mov	w2, #4
0xfffffff00907213c: 9febcf97  bl	#0xfffffff00846cfb8
0xfffffff009072140: 60000034  cbz	w0, #0xfffffff00907214c
0xfffffff009072144: e82b40b9  ldr	w8, [sp, #0x28]
0xfffffff009072148: 68fa00b9  str	w8, [x19, #0xf8]
0xfffffff00907214c: 68624239  ldrb	w8, [x19, #0x98]
0xfffffff009072150: 161ffff0  adrp	x22, #0xfffffff007455000
0xfffffff009072154: d63a3391  add	x22, x22, #0xcce
0xfffffff009072158: 88020836  tbz	w8, #1, #0xfffffff0090721a8
0xfffffff00907215c: 700240f9  ldr	x16, [x19]
0xfffffff009072160: f10313aa  mov	x17, x19
0xfffffff009072164: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009072168: 301ac1da  autda	x16, x17
0xfffffff00907216c: 113d80d2  mov	x17, #0x1e8
0xfffffff009072170: 1002118b  add	x16, x16, x17
0xfffffff009072174: 080240f9  ldr	x8, [x16]
0xfffffff009072178: e90310aa  mov	x9, x16
0xfffffff00907217c: e00313aa  mov	x0, x19
0xfffffff009072180: 010080d2  mov	x1, #0
0xfffffff009072184: f10309aa  mov	x17, x9
0xfffffff009072188: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00907218c: 11093fd7  blraa	x8, x17
0xfffffff009072190: 68fa40b9  ldr	w8, [x19, #0xf8]
0xfffffff009072194: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff009072198: e00300f9  str	x0, [sp]
0xfffffff00907219c: 001ffff0  adrp	x0, #0xfffffff007455000
0xfffffff0090721a0: 00043491  add	x0, x0, #0xd01
0xfffffff0090721a4: 9f93cb97  bl	#0xfffffff008357020
0xfffffff0090721a8: 607240f9  ldr	x0, [x19, #0xe0]
