; Candidate 3905
; ADRP+ADD at VM 0xfffffff008771c84 (fileoff 0x176dc84): page=0x1fe9c0000 add_imm=0xd90

0xfffffff008771c04: 1f1102b9  str	wzr, [x8, #0x210]
0xfffffff008771c08: c80240f9  ldr	x8, [x22]
0xfffffff008771c0c: 1f1502b9  str	wzr, [x8, #0x214]
0xfffffff008771c10: c80240f9  ldr	x8, [x22]
0xfffffff008771c14: 1f1902b9  str	wzr, [x8, #0x218]
0xfffffff008771c18: c80240f9  ldr	x8, [x22]
0xfffffff008771c1c: 1f1d02b9  str	wzr, [x8, #0x21c]
0xfffffff008771c20: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff008771c24: c80a0034  cbz	w8, #0xfffffff008771d7c
0xfffffff008771c28: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008771c2c: 09008452  mov	w9, #0x2000
0xfffffff008771c30: 09696938  ldrb	w9, [x8, x9]
0xfffffff008771c34: 89000034  cbz	w9, #0xfffffff008771c44
0xfffffff008771c38: 090d60b9  ldr	w9, [x8, #0x200c]
0xfffffff008771c3c: 0a1160b9  ldr	w10, [x8, #0x2010]
0xfffffff008771c40: 02000014  b	#0xfffffff008771c48
0xfffffff008771c44: 0a008052  mov	w10, #0
0xfffffff008771c48: ed2b40b9  ldr	w13, [sp, #0x28]
0xfffffff008771c4c: ee1340f9  ldr	x14, [sp, #0x20]
0xfffffff008771c50: 0b7147f9  ldr	x11, [x8, #0xee0]
0xfffffff008771c54: 683540b9  ldr	w8, [x11, #0x34]
0xfffffff008771c58: 0901092b  adds	w9, w8, w9
0xfffffff008771c5c: 63000054  b.lo	#0xfffffff008771c68
0xfffffff008771c60: 28008052  mov	w8, #1
0xfffffff008771c64: 05000014  b	#0xfffffff008771c78
0xfffffff008771c68: 683940b9  ldr	w8, [x11, #0x38]
0xfffffff008771c6c: 08010a2b  adds	w8, w8, w10
0xfffffff008771c70: c3010054  b.lo	#0xfffffff008771ca8
0xfffffff008771c74: 48008052  mov	w8, #2
0xfffffff008771c78: e94effd0  adrp	x9, #0xfffffff00714f000
0xfffffff008771c7c: 29bd1991  add	x9, x9, #0x66f
0xfffffff008771c80: e92300a9  stp	x9, x8, [sp]
0xfffffff008771c84: 004eff90  adrp	x0, #0xfffffff007131000
0xfffffff008771c88: 00403691  add	x0, x0, #0xd90
0xfffffff008771c8c: 6194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008771c90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008771c94: 834effd0  adrp	x3, #0xfffffff007143000
0xfffffff008771c98: 63783591  add	x3, x3, #0xd5e
0xfffffff008771c9c: 02008052  mov	w2, #0
0xfffffff008771ca0: 2405ef97  bl	#0xfffffff008333130
0xfffffff008771ca4: 13ffff17  b	#0xfffffff0087718f0
0xfffffff008771ca8: 6a0940f9  ldr	x10, [x11, #0x10]
0xfffffff008771cac: 4a4129ab  adds	x10, x10, w9, uxtw
0xfffffff008771cb0: 02e2ff54  b.hs	#0xfffffff0087718f0
0xfffffff008771cb4: 6b1240f9  ldr	x11, [x19, #0x20]
0xfffffff008771cb8: 6c4d4839  ldrb	w12, [x11, #0x213]
0xfffffff008771cbc: 8a218a13  extr	w10, w12, w10, #8
0xfffffff008771cc0: 6a1102b9  str	w10, [x11, #0x210]
0xfffffff008771cc4: 6a0e40f9  ldr	x10, [x19, #0x18]
0xfffffff008771cc8: 4a7147f9  ldr	x10, [x10, #0xee0]
0xfffffff008771ccc: 4a0940f9  ldr	x10, [x10, #0x10]
0xfffffff008771cd0: 4a4128ab  adds	x10, x10, w8, uxtw
0xfffffff008771cd4: e2e0ff54  b.hs	#0xfffffff0087718f0
0xfffffff008771cd8: 6b1240f9  ldr	x11, [x19, #0x20]
0xfffffff008771cdc: 6c5d4839  ldrb	w12, [x11, #0x217]
0xfffffff008771ce0: 8a218a13  extr	w10, w12, w10, #8
0xfffffff008771ce4: 6a1502b9  str	w10, [x11, #0x214]
0xfffffff008771ce8: 6a0e40f9  ldr	x10, [x19, #0x18]
0xfffffff008771cec: 4a7147f9  ldr	x10, [x10, #0xee0]
0xfffffff008771cf0: 4a0940f9  ldr	x10, [x10, #0x10]
0xfffffff008771cf4: 490109ab  adds	x9, x10, x9
0xfffffff008771cf8: c2dfff54  b.hs	#0xfffffff0087718f0
0xfffffff008771cfc: 6a1240f9  ldr	x10, [x19, #0x20]
0xfffffff008771d00: 4b1942b9  ldr	w11, [x10, #0x218]
