; Candidate 9341
; ADRP+ADD at VM 0xfffffff008a297a0 (fileoff 0x1a257a0): page=0x1fe870000 add_imm=0xe40

0xfffffff008a29720: 1801182a  orr	w24, w8, w24
0xfffffff008a29724: 3f03176b  cmp	w25, w23
0xfffffff008a29728: 82000054  b.hs	#0xfffffff008a29738
0xfffffff008a2972c: 39070011  add	w25, w25, #1
0xfffffff008a29730: d6120011  add	w22, w22, #4
0xfffffff008a29734: 78fd0736  tbz	w24, #0, #0xfffffff008a296e0
0xfffffff008a29738: 78040037  tbnz	w24, #0, #0xfffffff008a297c4
0xfffffff008a2973c: 900240f9  ldr	x16, [x20]
0xfffffff008a29740: f10314aa  mov	x17, x20
0xfffffff008a29744: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a29748: 301ac1da  autda	x16, x17
0xfffffff008a2974c: 115081d2  mov	x17, #0xa80
0xfffffff008a29750: 1002118b  add	x16, x16, x17
0xfffffff008a29754: 080240f9  ldr	x8, [x16]
0xfffffff008a29758: e90310aa  mov	x9, x16
0xfffffff008a2975c: e00314aa  mov	x0, x20
0xfffffff008a29760: f10309aa  mov	x17, x9
0xfffffff008a29764: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a29768: 11093fd7  blraa	x8, x17
0xfffffff008a2976c: 900240f9  ldr	x16, [x20]
0xfffffff008a29770: f10314aa  mov	x17, x20
0xfffffff008a29774: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a29778: 301ac1da  autda	x16, x17
0xfffffff008a2977c: 115081d2  mov	x17, #0xa80
0xfffffff008a29780: 1002118b  add	x16, x16, x17
0xfffffff008a29784: 080240f9  ldr	x8, [x16]
0xfffffff008a29788: e90310aa  mov	x9, x16
0xfffffff008a2978c: e00314aa  mov	x0, x20
0xfffffff008a29790: f10309aa  mov	x17, x9
0xfffffff008a29794: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a29798: 11093fd7  blraa	x8, x17
0xfffffff008a2979c: e00300f9  str	x0, [sp]
0xfffffff008a297a0: 8043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a297a4: 00003991  add	x0, x0, #0xe40
0xfffffff008a297a8: 0181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a297ac: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a297b0: a343fff0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a297b4: 63183b91  add	x3, x3, #0xec6
0xfffffff008a297b8: 02008052  mov	w2, #0
0xfffffff008a297bc: 5d26e497  bl	#0xfffffff008333130
0xfffffff008a297c0: fcff9f52  mov	w28, #0xffff
0xfffffff008a297c4: e0031c2a  mov	w0, w28
0xfffffff008a297c8: 01048052  mov	w1, #0x20
0xfffffff008a297cc: c8d6e397  bl	#0xfffffff00831f2ec
0xfffffff008a297d0: f40300aa  mov	x20, x0
0xfffffff008a297d4: 700240f9  ldr	x16, [x19]
0xfffffff008a297d8: f10313aa  mov	x17, x19
0xfffffff008a297dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a297e0: 301ac1da  autda	x16, x17
0xfffffff008a297e4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a297e8: 1002118b  add	x16, x16, x17
0xfffffff008a297ec: 080240f9  ldr	x8, [x16]
0xfffffff008a297f0: e90310aa  mov	x9, x16
0xfffffff008a297f4: e00313aa  mov	x0, x19
0xfffffff008a297f8: 010080d2  mov	x1, #0
0xfffffff008a297fc: f10309aa  mov	x17, x9
0xfffffff008a29800: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a29804: 11093fd7  blraa	x8, x17
0xfffffff008a29808: 700240f9  ldr	x16, [x19]
0xfffffff008a2980c: f10313aa  mov	x17, x19
0xfffffff008a29810: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a29814: 301ac1da  autda	x16, x17
0xfffffff008a29818: f10310aa  mov	x17, x16
0xfffffff008a2981c: f147c1da  xpacd	x17
