; Candidate 6787
; ADRP+ADD at VM 0xfffffff008841a18 (fileoff 0x183da18): page=0x1fe9a8000 add_imm=0xe80

0xfffffff008841998: 18499752  mov	w24, #0xba48
0xfffffff00884199c: 7800a072  movk	w24, #3, lsl #16
0xfffffff0088419a0: c81a40b9  ldr	w8, [x22, #0x18]
0xfffffff0088419a4: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff0088419a8: 006140f9  ldr	x0, [x8, #0xc0]
0xfffffff0088419ac: e10316aa  mov	x1, x22
0xfffffff0088419b0: e49e0094  bl	#0xfffffff008869540
0xfffffff0088419b4: f7060091  add	x23, x23, #1
0xfffffff0088419b8: 885281b9  ldrsw	x8, [x20, #0x150]
0xfffffff0088419bc: d602188b  add	x22, x22, x24
0xfffffff0088419c0: ff0208eb  cmp	x23, x8
0xfffffff0088419c4: ebfeff54  b.lt	#0xfffffff0088419a0
0xfffffff0088419c8: f50300aa  mov	x21, x0
0xfffffff0088419cc: 9f5201b9  str	wzr, [x20, #0x150]
0xfffffff0088419d0: 1b000014  b	#0xfffffff008841a3c
0xfffffff0088419d4: f6c90194  bl	#0xfffffff0088b41ac
0xfffffff0088419d8: f50300aa  mov	x21, x0
0xfffffff0088419dc: 80008052  mov	w0, #4
0xfffffff0088419e0: 9ce70094  bl	#0xfffffff00887b850
0xfffffff0088419e4: f3ff03a9  stp	x19, xzr, [sp, #0x38]
0xfffffff0088419e8: c84efff0  adrp	x8, #0xfffffff00721c000
0xfffffff0088419ec: 0a450491  add	x10, x8, #0x111
0xfffffff0088419f0: c8808052  mov	w8, #0x406
0xfffffff0088419f4: 094ffff0  adrp	x9, #0xfffffff007224000
0xfffffff0088419f8: 29590b91  add	x9, x9, #0x2d6
0xfffffff0088419fc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008841a00: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008841a04: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008841a08: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008841a0c: 480a8052  mov	w8, #0x52
0xfffffff008841a10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008841a14: f50300f9  str	x21, [sp]
0xfffffff008841a18: 404dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008841a1c: 00003a91  add	x0, x0, #0xe80
0xfffffff008841a20: 218efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008841a24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008841a28: 6350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff008841a2c: 63802c91  add	x3, x3, #0xb20
0xfffffff008841a30: 02008052  mov	w2, #0
0xfffffff008841a34: bfc5eb97  bl	#0xfffffff008333130
0xfffffff008841a38: 157d8012  mov	w21, #-0x3e9
0xfffffff008841a3c: 400a8052  mov	w0, #0x52
0xfffffff008841a40: e1008052  mov	w1, #7
0xfffffff008841a44: 63e70094  bl	#0xfffffff00887b7d0
0xfffffff008841a48: 80050034  cbz	w0, #0xfffffff008841af8
0xfffffff008841a4c: 400a8052  mov	w0, #0x52
0xfffffff008841a50: 72e70094  bl	#0xfffffff00887b818
0xfffffff008841a54: f70300aa  mov	x23, x0
0xfffffff008841a58: d5c90194  bl	#0xfffffff0088b41ac
0xfffffff008841a5c: f60300aa  mov	x22, x0
0xfffffff008841a60: e0008052  mov	w0, #7
0xfffffff008841a64: 7be70094  bl	#0xfffffff00887b850
0xfffffff008841a68: d7010034  cbz	w23, #0xfffffff008841aa0
0xfffffff008841a6c: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff008841a70: 084ffff0  adrp	x8, #0xfffffff007224000
0xfffffff008841a74: 08590b91  add	x8, x8, #0x2d6
0xfffffff008841a78: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008841a7c: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008841a80: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008841a84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008841a88: 480a8052  mov	w8, #0x52
0xfffffff008841a8c: 604efff0  adrp	x0, #0xfffffff007210000
0xfffffff008841a90: 00f42b91  add	x0, x0, #0xafd
0xfffffff008841a94: f62300a9  stp	x22, x8, [sp]
