; Candidate 4232
; ADRP+ADD at VM 0xfffffff008797ad8 (fileoff 0x1793ad8): page=0x1fe99a000 add_imm=0xd90

0xfffffff008797a58: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008797a5c: e90310aa  mov	x9, x16
0xfffffff008797a60: e10313aa  mov	x1, x19
0xfffffff008797a64: f10309aa  mov	x17, x9
0xfffffff008797a68: 5138edf2  movk	x17, #0x69c2, lsl #48
0xfffffff008797a6c: 11093fd7  blraa	x8, x17
0xfffffff008797a70: f50300aa  mov	x21, x0
0xfffffff008797a74: 08448352  mov	w8, #0x1a20
0xfffffff008797a78: 8802088b  add	x8, x20, x8
0xfffffff008797a7c: 092c8552  mov	w9, #0x2960
0xfffffff008797a80: 8902098b  add	x9, x20, x9
0xfffffff008797a84: 290108eb  subs	x9, x9, x8
0xfffffff008797a88: 830d0054  b.lo	#0xfffffff008797c38
0xfffffff008797a8c: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff008797a90: 4a0d00b5  cbnz	x10, #0xfffffff008797c38
0xfffffff008797a94: 6a0a0012  and	w10, w19, #7
0xfffffff008797a98: 0b3d8052  mov	w11, #0x1e8
0xfffffff008797a9c: 4a7d0b1b  mul	w10, w10, w11
0xfffffff008797aa0: 4ba10711  add	w11, w10, #0x1e8
0xfffffff008797aa4: 7f01096b  cmp	w11, w9
0xfffffff008797aa8: e80c0054  b.hi	#0xfffffff008797c44
0xfffffff008797aac: 16412aab  adds	x22, x8, w10, uxtw
0xfffffff008797ab0: e9379f1a  cset	w9, hs
0xfffffff008797ab4: 28014093  sbfx	x8, x9, #0, #1
0xfffffff008797ab8: 090109ca  eor	x9, x8, x9
0xfffffff008797abc: a90c00b5  cbnz	x9, #0xfffffff008797c50
0xfffffff008797ac0: 880cf8b7  tbnz	x8, #0x3f, #0xfffffff008797c50
0xfffffff008797ac4: c8e241b9  ldr	w8, [x22, #0x1e0]
0xfffffff008797ac8: a8010034  cbz	w8, #0xfffffff008797afc
0xfffffff008797acc: 884241b9  ldr	w8, [x20, #0x140]
0xfffffff008797ad0: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff008797ad4: f80300f9  str	x24, [sp]
0xfffffff008797ad8: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797adc: 00403691  add	x0, x0, #0xd90
0xfffffff008797ae0: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797ae4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797ae8: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797aec: 63342f91  add	x3, x3, #0xbcd
0xfffffff008797af0: 02008052  mov	w2, #0
0xfffffff008797af4: 8f6dee97  bl	#0xfffffff008333130
0xfffffff008797af8: dfe201b9  str	wzr, [x22, #0x1e0]
0xfffffff008797afc: 55040034  cbz	w21, #0xfffffff008797b84
0xfffffff008797b00: 17008052  mov	w23, #0
0xfffffff008797b04: 885e70b9  ldr	w8, [x20, #0x305c]
0xfffffff008797b08: 1f050071  cmp	w8, #1
0xfffffff008797b0c: c1000054  b.ne	#0xfffffff008797b24
0xfffffff008797b10: e00314aa  mov	x0, x20
0xfffffff008797b14: e10313aa  mov	x1, x19
0xfffffff008797b18: e20317aa  mov	x2, x23
0xfffffff008797b1c: 66feff97  bl	#0xfffffff0087974b4
0xfffffff008797b20: 14000014  b	#0xfffffff008797b70
0xfffffff008797b24: 80be41f9  ldr	x0, [x20, #0x378]
0xfffffff008797b28: 100040f9  ldr	x16, [x0]
0xfffffff008797b2c: f10300aa  mov	x17, x0
0xfffffff008797b30: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008797b34: 301ac1da  autda	x16, x17
0xfffffff008797b38: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008797b3c: e90310aa  mov	x9, x16
0xfffffff008797b40: e10317aa  mov	x1, x23
0xfffffff008797b44: e20313aa  mov	x2, x19
0xfffffff008797b48: f10309aa  mov	x17, x9
0xfffffff008797b4c: 711ae8f2  movk	x17, #0x40d3, lsl #48
0xfffffff008797b50: 11093fd7  blraa	x8, x17
0xfffffff008797b54: 1f040031  cmn	w0, #1
