; Candidate 13594
; ADRP+ADD at VM 0xfffffff0093ad454 (fileoff 0x23a9454): page=0x1fe155000 add_imm=0xd20

0xfffffff0093ad3d4: 957e00f0  adrp	x21, #0xfffffff00a380000
0xfffffff0093ad3d8: b5622b91  add	x21, x21, #0xad8
0xfffffff0093ad3dc: e00315aa  mov	x0, x21
0xfffffff0093ad3e0: 5eddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad3e4: 900240f9  ldr	x16, [x20]
0xfffffff0093ad3e8: f10314aa  mov	x17, x20
0xfffffff0093ad3ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad3f0: 301ac1da  autda	x16, x17
0xfffffff0093ad3f4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad3f8: e90310aa  mov	x9, x16
0xfffffff0093ad3fc: e00314aa  mov	x0, x20
0xfffffff0093ad400: f10309aa  mov	x17, x9
0xfffffff0093ad404: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad408: 11093fd7  blraa	x8, x17
0xfffffff0093ad40c: 53ddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad410: e00315aa  mov	x0, x21
0xfffffff0093ad414: 51ddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad418: f50300aa  mov	x21, x0
0xfffffff0093ad41c: 900240f9  ldr	x16, [x20]
0xfffffff0093ad420: f10314aa  mov	x17, x20
0xfffffff0093ad424: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad428: 301ac1da  autda	x16, x17
0xfffffff0093ad42c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad430: e90310aa  mov	x9, x16
0xfffffff0093ad434: e00314aa  mov	x0, x20
0xfffffff0093ad438: f10309aa  mov	x17, x9
0xfffffff0093ad43c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad440: 11093fd7  blraa	x8, x17
0xfffffff0093ad444: 45ddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad448: 680240b9  ldr	w8, [x19]
0xfffffff0093ad44c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093ad450: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093ad454: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093ad458: 00803491  add	x0, x0, #0xd20
0xfffffff0093ad45c: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ad460: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ad464: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093ad468: 63f82091  add	x3, x3, #0x83e
0xfffffff0093ad46c: 22008052  mov	w2, #1
0xfffffff0093ad470: 3017be97  bl	#0xfffffff008333130
0xfffffff0093ad474: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0093ad478: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0093ad47c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0093ad480: ff830191  add	sp, sp, #0x60
0xfffffff0093ad484: ff0f5fd6  retab	
0xfffffff0093ad488: 807e00f0  adrp	x0, #0xfffffff00a380000
0xfffffff0093ad48c: 00602b91  add	x0, x0, #0xad8
0xfffffff0093ad490: 32ddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad494: e05b00a9  stp	x0, x22, [sp]
0xfffffff0093ad498: a00affd0  adrp	x0, #0xfffffff007503000
0xfffffff0093ad49c: 006c2591  add	x0, x0, #0x95b
0xfffffff0093ad4a0: e0a6be97  bl	#0xfffffff008357020
0xfffffff0093ad4a4: ccffff17  b	#0xfffffff0093ad3d4
0xfffffff0093ad4a8: 7f2303d5  pacibsp	
0xfffffff0093ad4ac: ff8301d1  sub	sp, sp, #0x60
0xfffffff0093ad4b0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0093ad4b4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0093ad4b8: fd430191  add	x29, sp, #0x50
0xfffffff0093ad4bc: f30300aa  mov	x19, x0
0xfffffff0093ad4c0: 100040f9  ldr	x16, [x0]
0xfffffff0093ad4c4: f10300aa  mov	x17, x0
0xfffffff0093ad4c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad4cc: 301ac1da  autda	x16, x17
0xfffffff0093ad4d0: 11e080d2  mov	x17, #0x700
