; Candidate 8989
; ADRP+ADD at VM 0xfffffff008919478 (fileoff 0x1915478): page=0x1fe95d000 add_imm=0xd27

0xfffffff0089193f8: 300ac1da  pacda	x16, x17
0xfffffff0089193fc: 100000f9  str	x16, [x0]
0xfffffff008919400: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff008919404: 00883391  add	x0, x0, #0xce2
0xfffffff008919408: 8c3fe897  bl	#0xfffffff008329238
0xfffffff00891940c: 08ce00f0  adrp	x8, #0xfffffff00a2dc000
0xfffffff008919410: 002102f9  str	x0, [x8, #0x440]
0xfffffff008919414: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff008919418: 00ac3391  add	x0, x0, #0xceb
0xfffffff00891941c: 873fe897  bl	#0xfffffff008329238
0xfffffff008919420: 08ce00f0  adrp	x8, #0xfffffff00a2dc000
0xfffffff008919424: 002502f9  str	x0, [x8, #0x448]
0xfffffff008919428: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff00891942c: 00c43391  add	x0, x0, #0xcf1
0xfffffff008919430: 823fe897  bl	#0xfffffff008329238
0xfffffff008919434: 08ce00f0  adrp	x8, #0xfffffff00a2dc000
0xfffffff008919438: 002902f9  str	x0, [x8, #0x450]
0xfffffff00891943c: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff008919440: 00003491  add	x0, x0, #0xd00
0xfffffff008919444: 7d3fe897  bl	#0xfffffff008329238
0xfffffff008919448: 08ce00f0  adrp	x8, #0xfffffff00a2dc000
0xfffffff00891944c: 002d02f9  str	x0, [x8, #0x458]
0xfffffff008919450: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff008919454: 00483491  add	x0, x0, #0xd12
0xfffffff008919458: 783fe897  bl	#0xfffffff008329238
0xfffffff00891945c: 08ce00f0  adrp	x8, #0xfffffff00a2dc000
0xfffffff008919460: 003102f9  str	x0, [x8, #0x460]
0xfffffff008919464: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff008919468: 007c3491  add	x0, x0, #0xd1f
0xfffffff00891946c: 733fe897  bl	#0xfffffff008329238
0xfffffff008919470: 08ce00f0  adrp	x8, #0xfffffff00a2dc000
0xfffffff008919474: 003502f9  str	x0, [x8, #0x468]
0xfffffff008919478: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff00891947c: 009c3491  add	x0, x0, #0xd27
0xfffffff008919480: 6e3fe897  bl	#0xfffffff008329238
0xfffffff008919484: 08ce00f0  adrp	x8, #0xfffffff00a2dc000
0xfffffff008919488: 003902f9  str	x0, [x8, #0x470]
0xfffffff00891948c: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff008919490: 002c3a91  add	x0, x0, #0xe8b
0xfffffff008919494: bf3fe897  bl	#0xfffffff008329390
0xfffffff008919498: 13ce00f0  adrp	x19, #0xfffffff00a2dc000
0xfffffff00891949c: 73421591  add	x19, x19, #0x550
0xfffffff0089194a0: 600200f9  str	x0, [x19]
0xfffffff0089194a4: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff0089194a8: 00403a91  add	x0, x0, #0xe90
0xfffffff0089194ac: b93fe897  bl	#0xfffffff008329390
0xfffffff0089194b0: 600600f9  str	x0, [x19, #8]
0xfffffff0089194b4: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff0089194b8: 00503a91  add	x0, x0, #0xe94
0xfffffff0089194bc: b53fe897  bl	#0xfffffff008329390
0xfffffff0089194c0: 600a00f9  str	x0, [x19, #0x10]
0xfffffff0089194c4: e04affb0  adrp	x0, #0xfffffff007276000
0xfffffff0089194c8: 00843a91  add	x0, x0, #0xea1
0xfffffff0089194cc: b13fe897  bl	#0xfffffff008329390
0xfffffff0089194d0: 600e00f9  str	x0, [x19, #0x18]
0xfffffff0089194d4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0089194d8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0089194dc: ff0f5fd6  retab	
0xfffffff0089194e0: 5f2403d5  bti	c
0xfffffff0089194e4: 00ce00f0  adrp	x0, #0xfffffff00a2dc000
0xfffffff0089194e8: 00601091  add	x0, x0, #0x418
0xfffffff0089194ec: 822ce717  b	#0xfffffff0082e46f4
0xfffffff0089194f0: 7f2303d5  pacibsp	
0xfffffff0089194f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
