; Candidate 11476
; ADRP+ADD at VM 0xfffffff008f58444 (fileoff 0x1f54444): page=0x1fe4c7000 add_imm=0xd67

0xfffffff008f583c4: 41008052  mov	w1, #2
0xfffffff008f583c8: 9fb04094  bl	#0xfffffff009f84644
0xfffffff008f583cc: 21000014  b	#0xfffffff008f58450
0xfffffff008f583d0: f7d300a9  stp	x23, x20, [sp, #8]
0xfffffff008f583d4: e00300f9  str	x0, [sp]
0xfffffff008f583d8: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f583dc: 009c3591  add	x0, x0, #0xd67
0xfffffff008f583e0: 10fbcf97  bl	#0xfffffff008357020
0xfffffff008f583e4: 94578052  mov	w20, #0x2bc
0xfffffff008f583e8: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008f583ec: 750e40f9  ldr	x21, [x19, #0x18]
0xfffffff008f583f0: 700240f9  ldr	x16, [x19]
0xfffffff008f583f4: f10313aa  mov	x17, x19
0xfffffff008f583f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f583fc: 301ac1da  autda	x16, x17
0xfffffff008f58400: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f58404: e90310aa  mov	x9, x16
0xfffffff008f58408: e00313aa  mov	x0, x19
0xfffffff008f5840c: f10309aa  mov	x17, x9
0xfffffff008f58410: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f58414: 11093fd7  blraa	x8, x17
0xfffffff008f58418: 5031ce97  bl	#0xfffffff0082e4958
0xfffffff008f5841c: 350400b4  cbz	x21, #0xfffffff008f584a0
0xfffffff008f58420: e05f00a9  stp	x0, x23, [sp]
0xfffffff008f58424: 2226fff0  adrp	x2, #0xfffffff00741f000
0xfffffff008f58428: 429c3691  add	x2, x2, #0xda7
0xfffffff008f5842c: e00315aa  mov	x0, x21
0xfffffff008f58430: 21008052  mov	w1, #1
0xfffffff008f58434: 84b04094  bl	#0xfffffff009f84644
0xfffffff008f58438: 0fffff17  b	#0xfffffff008f58074
0xfffffff008f5843c: f7a300a9  stp	x23, x8, [sp, #8]
0xfffffff008f58440: e00300f9  str	x0, [sp]
0xfffffff008f58444: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f58448: 009c3591  add	x0, x0, #0xd67
0xfffffff008f5844c: f5facf97  bl	#0xfffffff008357020
0xfffffff008f58450: 740e40f9  ldr	x20, [x19, #0x18]
0xfffffff008f58454: 700240f9  ldr	x16, [x19]
0xfffffff008f58458: f10313aa  mov	x17, x19
0xfffffff008f5845c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f58460: 301ac1da  autda	x16, x17
0xfffffff008f58464: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f58468: e90310aa  mov	x9, x16
0xfffffff008f5846c: e00313aa  mov	x0, x19
0xfffffff008f58470: f10309aa  mov	x17, x9
0xfffffff008f58474: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f58478: 11093fd7  blraa	x8, x17
0xfffffff008f5847c: 3731ce97  bl	#0xfffffff0082e4958
0xfffffff008f58480: 940100b4  cbz	x20, #0xfffffff008f584b0
0xfffffff008f58484: e05f00a9  stp	x0, x23, [sp]
0xfffffff008f58488: 2226fff0  adrp	x2, #0xfffffff00741f000
0xfffffff008f5848c: 42003691  add	x2, x2, #0xd80
0xfffffff008f58490: e00314aa  mov	x0, x20
0xfffffff008f58494: 21008052  mov	w1, #1
0xfffffff008f58498: 6bb04094  bl	#0xfffffff009f84644
0xfffffff008f5849c: 09000014  b	#0xfffffff008f584c0
0xfffffff008f584a0: e05f00a9  stp	x0, x23, [sp]
0xfffffff008f584a4: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f584a8: 009c3691  add	x0, x0, #0xda7
0xfffffff008f584ac: f1feff17  b	#0xfffffff008f58070
0xfffffff008f584b0: e05f00a9  stp	x0, x23, [sp]
0xfffffff008f584b4: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f584b8: 00003691  add	x0, x0, #0xd80
0xfffffff008f584bc: d9facf97  bl	#0xfffffff008357020
0xfffffff008f584c0: 602a40f9  ldr	x0, [x19, #0x50]
